Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
E0,17/08/96,Arsenal,West Ham,2,0,H,2,0,H,,,,,,,,,,,
E0,17/08/96,Blackburn,Tottenham,0,2,A,0,1,A,,,,,,,,,,,
E0,17/08/96,Coventry,Nott'm Forest,0,3,A,0,2,A,,,,,,,,,,,
E0,17/08/96,Derby,Leeds,3,3,D,0,1,A,,,,,,,,,,,
E0,17/08/96,Everton,Newcastle,2,0,H,2,0,H,,,,,,,,,,,
E0,17/08/96,Middlesbrough,Liverpool,3,3,D,2,2,D,,,,,,,,,,,
E0,17/08/96,Sheffield Weds,Aston Villa,2,1,H,0,0,D,,,,,,,,,,,
E0,17/08/96,Sunderland,Leicester,0,0,D,0,0,D,,,,,,,,,,,
E0,17/08/96,Wimbledon,Man United,0,3,A,0,1,A,,,,,,,,,,,
E0,18/08/96,Southampton,Chelsea,0,0,D,0,0,D,,,,,,,,,,,
E0,19/08/96,Liverpool,Arsenal,2,0,H,0,0,D,,,,,,,,,,,
E0,20/08/96,Leeds,Sheffield Weds,0,2,A,0,1,A,,,,,,,,,,,
E0,21/08/96,Aston Villa,Blackburn,1,0,H,0,0,D,,,,,,,,,,,
E0,21/08/96,Chelsea,Middlesbrough,1,0,H,0,0,D,,,,,,,,,,,
E0,21/08/96,Leicester,Southampton,2,1,H,2,0,H,,,,,,,,,,,
E0,21/08/96,Man United,Everton,2,2,D,0,2,A,,,,,,,,,,,
E0,21/08/96,Newcastle,Wimbledon,2,0,H,1,0,H,,,,,,,,,,,
E0,21/08/96,Nott'm Forest,Sunderland,1,4,A,1,4,A,,,,,,,,,,,
E0,21/08/96,Tottenham,Derby,1,1,D,1,0,H,,,,,,,,,,,
E0,21/08/96,West Ham,Coventry,1,1,D,0,1,A,,,,,,,,,,,
E0,24/08/96,Aston Villa,Derby,2,0,H,1,0,H,,,,,,,,,,,
E0,24/08/96,Chelsea,Coventry,2,0,H,1,0,H,,,,,,,,,,,
E0,24/08/96,Leicester,Arsenal,0,2,A,0,1,A,,,,,,,,,,,
E0,24/08/96,Liverpool,Sunderland,0,0,D,0,0,D,,,,,,,,,,,
E0,24/08/96,Newcastle,Sheffield Weds,1,2,A,1,1,D,,,,,,,,,,,
E0,24/08/96,Nott'm Forest,Middlesbrough,1,1,D,0,0,D,,,,,,,,,,,
E0,24/08/96,Tottenham,Everton,0,0,D,0,0,D,,,,,,,,,,,
E0,24/08/96,West Ham,Southampton,2,1,H,0,1,A,,,,,,,,,,,
E0,25/08/96,Man United,Blackburn,2,2,D,1,1,D,,,,,,,,,,,
E0,26/08/96,Leeds,Wimbledon,1,0,H,0,0,D,,,,,,,,,,,
E0,02/09/96,Sheffield Weds,Leicester,2,1,H,1,1,D,,,,,,,,,,,
E0,04/09/96,Arsenal,Chelsea,3,3,D,1,2,A,,,,,,,,,,,
E0,04/09/96,Blackburn,Leeds,0,1,A,0,1,A,,,,,,,,,,,
E0,04/09/96,Coventry,Liverpool,0,1,A,0,0,D,,,,,,,,,,,
E0,04/09/96,Derby,Man United,1,1,D,1,1,D,,,,,,,,,,,
E0,04/09/96,Everton,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,
E0,04/09/96,Middlesbrough,West Ham,4,1,H,2,0,H,,,,,,,,,,,
E0,04/09/96,Southampton,Nott'm Forest,2,2,D,0,2,A,,,,,,,,,,,
E0,04/09/96,Sunderland,Newcastle,1,2,A,1,0,H,,,,,,,,,,,
E0,04/09/96,Wimbledon,Tottenham,1,0,H,1,0,H,,,,,,,,,,,
E0,07/09/96,Aston Villa,Arsenal,2,2,D,1,0,H,,,,,,,,,,,
E0,07/09/96,Leeds,Man United,0,4,A,0,1,A,,,,,,,,,,,
E0,07/09/96,Liverpool,Southampton,2,1,H,1,0,H,,,,,,,,,,,
E0,07/09/96,Middlesbrough,Coventry,4,0,H,2,0,H,,,,,,,,,,,
E0,07/09/96,Nott'm Forest,Leicester,0,0,D,0,0,D,,,,,,,,,,,
E0,07/09/96,Sheffield Weds,Chelsea,0,2,A,0,1,A,,,,,,,,,,,
E0,07/09/96,Tottenham,Newcastle,1,2,A,1,1,D,,,,,,,,,,,
E0,07/09/96,Wimbledon,Everton,4,0,H,1,0,H,,,,,,,,,,,
E0,08/09/96,Sunderland,West Ham,0,0,D,0,0,D,,,,,,,,,,,
E0,09/09/96,Blackburn,Derby,1,2,A,1,1,D,,,,,,,,,,,
E0,14/09/96,Coventry,Leeds,2,1,H,0,1,A,,,,,,,,,,,
E0,14/09/96,Derby,Sunderland,1,0,H,0,0,D,,,,,,,,,,,
E0,14/09/96,Everton,Middlesbrough,1,2,A,1,0,H,,,,,,,,,,,
E0,14/09/96,Man United,Nott'm Forest,4,1,H,2,1,H,,,,,,,,,,,
E0,14/09/96,Newcastle,Blackburn,2,1,H,1,0,H,,,,,,,,,,,
E0,14/09/96,Southampton,Tottenham,0,1,A,0,0,D,,,,,,,,,,,
E0,14/09/96,West Ham,Wimbledon,0,2,A,0,0,D,,,,,,,,,,,
E0,15/09/96,Chelsea,Aston Villa,1,1,D,1,1,D,,,,,,,,,,,
E0,15/09/96,Leicester,Liverpool,0,3,A,0,0,D,,,,,,,,,,,
E0,16/09/96,Arsenal,Sheffield Weds,4,1,H,0,1,A,,,,,,,,,,,
E0,21/09/96,Aston Villa,Man United,0,0,D,0,0,D,,,,,,,,,,,
E0,21/09/96,Blackburn,Everton,1,1,D,1,1,D,,,,,,,,,,,
E0,21/09/96,Leeds,Newcastle,0,1,A,0,0,D,,,,,,,,,,,
E0,21/09/96,Liverpool,Chelsea,5,1,H,3,0,H,,,,,,,,,,,
E0,21/09/96,Middlesbrough,Arsenal,0,2,A,0,2,A,,,,,,,,,,,
E0,21/09/96,Nott'm Forest,West Ham,0,2,A,0,1,A,,,,,,,,,,,
E0,21/09/96,Sheffield Weds,Derby,0,0,D,0,0,D,,,,,,,,,,,
E0,21/09/96,Sunderland,Coventry,1,0,H,0,0,D,,,,,,,,,,,
E0,22/09/96,Tottenham,Leicester,1,2,A,0,1,A,,,,,,,,,,,
E0,23/09/96,Wimbledon,Southampton,3,1,H,2,0,H,,,,,,,,,,,
E0,28/09/96,Arsenal,Sunderland,2,0,H,0,0,D,,,,,,,,,,,
E0,28/09/96,Chelsea,Nott'm Forest,1,1,D,0,0,D,,,,,,,,,,,
E0,28/09/96,Coventry,Blackburn,0,0,D,0,0,D,,,,,,,,,,,
E0,28/09/96,Derby,Wimbledon,0,2,A,0,0,D,,,,,,,,,,,
E0,28/09/96,Everton,Sheffield Weds,2,0,H,1,0,H,,,,,,,,,,,
E0,28/09/96,Leicester,Leeds,1,0,H,0,0,D,,,,,,,,,,,
E0,28/09/96,Southampton,Middlesbrough,4,0,H,2,0,H,,,,,,,,,,,
E0,29/09/96,Man United,Tottenham,2,0,H,1,0,H,,,,,,,,,,,
E0,29/09/96,West Ham,Liverpool,1,2,A,1,1,D,,,,,,,,,,,
E0,30/09/96,Newcastle,Aston Villa,4,3,H,3,1,H,,,,,,,,,,,
E0,12/10/96,Blackburn,Arsenal,0,2,A,0,1,A,,,,,,,,,,,
E0,12/10/96,Derby,Newcastle,0,1,A,0,0,D,,,,,,,,,,,
E0,12/10/96,Everton,West Ham,2,1,H,1,0,H,,,,,,,,,,,
E0,12/10/96,Leeds,Nott'm Forest,2,0,H,0,0,D,,,,,,,,,,,
E0,12/10/96,Leicester,Chelsea,1,3,A,1,0,H,,,,,,,,,,,
E0,12/10/96,Man United,Liverpool,1,0,H,1,0,H,,,,,,,,,,,
E0,12/10/96,Tottenham,Aston Villa,1,0,H,0,0,D,,,,,,,,,,,
E0,12/10/96,Wimbledon,Sheffield Weds,4,2,H,2,1,H,,,,,,,,,,,
E0,13/10/96,Coventry,Southampton,1,1,D,0,1,A,,,,,,,,,,,
E0,14/10/96,Sunderland,Middlesbrough,2,2,D,1,1,D,,,,,,,,,,,
E0,19/10/96,Arsenal,Coventry,0,0,D,0,0,D,,,,,,,,,,,
E0,19/10/96,Aston Villa,Leeds,2,0,H,0,0,D,,,,,,,,,,,
E0,19/10/96,Chelsea,Wimbledon,2,4,A,1,2,A,,,,,,,,,,,
E0,19/10/96,Middlesbrough,Tottenham,0,3,A,0,2,A,,,,,,,,,,,
E0,19/10/96,Nott'm Forest,Derby,1,1,D,1,0,H,,,,,,,,,,,
E0,19/10/96,Sheffield Weds,Blackburn,1,1,D,1,0,H,,,,,,,,,,,
E0,19/10/96,Southampton,Sunderland,3,0,H,1,0,H,,,,,,,,,,,
E0,19/10/96,West Ham,Leicester,1,0,H,0,0,D,,,,,,,,,,,
E0,20/10/96,Newcastle,Man United,5,0,H,2,0,H,,,,,,,,,,,
E0,26/10/96,Arsenal,Leeds,3,0,H,2,0,H,,,,,,,,,,,
E0,26/10/96,Chelsea,Tottenham,3,1,H,1,1,D,,,,,,,,,,,
E0,26/10/96,Coventry,Sheffield Weds,0,0,D,0,0,D,,,,,,,,,,,
