Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
E1,09/08/97,Birmingham,Stoke,2,0,H,1,0,H,,,,,,,,,,,
E1,09/08/97,Bradford,Stockport,2,1,H,1,0,H,,,,,,,,,,,
E1,09/08/97,Bury,Reading,1,1,D,0,1,A,,,,,,,,,,,
E1,09/08/97,Man City,Portsmouth,2,2,D,1,1,D,,,,,,,,,,,
E1,09/08/97,Middlesbrough,Charlton,2,1,H,0,1,A,,,,,,,,,,,
E1,09/08/97,Norwich,Wolves,0,2,A,0,1,A,,,,,,,,,,,
E1,09/08/97,Oxford,Huddersfield,2,0,H,0,0,D,,,,,,,,,,,
E1,09/08/97,Port Vale,Nott'm Forest,0,1,A,0,1,A,,,,,,,,,,,
E1,09/08/97,QPR,Ipswich,0,0,D,0,0,D,,,,,,,,,,,
E1,09/08/97,Swindon,Crewe,2,0,H,1,0,H,,,,,,,,,,,
E1,09/08/97,West Brom,Tranmere,2,1,H,2,0,H,,,,,,,,,,,
E1,10/08/97,Sheffield United,Sunderland,2,0,H,2,0,H,,,,,,,,,,,
E1,15/08/97,Bradford,Stoke,0,0,D,0,0,D,,,,,,,,,,,
E1,15/08/97,Nott'm Forest,Norwich,4,1,H,1,1,D,,,,,,,,,,,
E1,15/08/97,Sunderland,Man City,3,1,H,1,0,H,,,,,,,,,,,
E1,15/08/97,Tranmere,QPR,2,1,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/08/97,Charlton,Oxford,3,2,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/08/97,Crewe,West Brom,2,3,A,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/08/97,Portsmouth,Port Vale,3,1,H,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/08/97,Reading,Swindon,0,1,A,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/08/97,Stockport,Bury,0,0,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,16/08/97,Wolves,Sheffield United,0,0,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,22/08/97,Man City,Tranmere,1,1,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,Birmingham,Reading,3,0,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,Bradford,Ipswich,2,1,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,Bury,Charlton,0,0,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,Middlesbrough,Stoke,0,1,A,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,Norwich,Crewe,0,2,A,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,Oxford,Nott'm Forest,0,1,A,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,Port Vale,Sunderland,3,1,H,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,QPR,Stockport,2,1,H,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,23/08/97,Sheffield United,Portsmouth,2,1,H,2,0,H,,,,,,,,,,,
E1,23/08/97,Swindon,Huddersfield,1,1,D,1,1,D,,,,,,,,,,,
E1,24/08/97,West Brom,Wolves,1,0,H,1,0,H,,,,,,,,,,,
E1,29/08/97,Stockport,Birmingham,2,2,D,1,0,H,,,,,,,,,,,
E1,30/08/97,Charlton,Man City,2,1,H,0,1,A,,,,,,,,,,,
E1,30/08/97,Huddersfield,Sheffield United,0,0,D,0,0,D,,,,,,,,,,,
E1,30/08/97,Ipswich,West Brom,1,1,D,1,0,H,,,,,,,,,,,
E1,30/08/97,Nott'm Forest,QPR,4,0,H,1,0,H,,,,,,,,,,,
E1,30/08/97,Portsmouth,Oxford,2,1,H,1,1,D,,,,,,,,,,,
E1,30/08/97,Reading,Bradford,0,3,A,0,2,A,,,,,,,,,,,
E1,30/08/97,Stoke,Swindon,1,2,A,1,0,H,,,,,,,,,,,
E1,30/08/97,Sunderland,Norwich,0,1,A,0,0,D,,,,,,,,,,,
E1,30/08/97,Tranmere,Middlesbrough,0,2,A,0,1,A,,,,,,,,,,,
E1,30/08/97,Wolves,Bury,4,2,H,2,1,H,,,,,,,,,,,
E1,02/09/97,Crewe,Bury,1,2,A,1,1,D,,,,,,,,,,,
E1,02/09/97,Huddersfield,Bradford,1,2,A,0,1,A,,,,,,,,,,,
E1,02/09/97,Ipswich,Swindon,2,1,H,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/09/97,Portsmouth,Norwich,1,1,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/09/97,Reading,QPR,1,2,A,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/09/97,Stockport,Middlesbrough,1,1,D,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/09/97,Sunderland,Oxford,3,1,H,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,02/09/97,Tranmere,Birmingham,0,3,A,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,03/09/97,Nott'm Forest,Man City,1,3,A,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,03/09/97,Stoke,West Brom,0,0,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,03/09/97,Wolves,Port Vale,1,1,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,05/09/97,Bradford,Sunderland,0,4,A,0,4,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,07/09/97,Bury,Tranmere,1,0,H,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,07/09/97,Oxford,Wolves,3,0,H,2,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,07/09/97,Swindon,Nott'm Forest,0,0,D,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,
