Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Chester,Lincoln,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Colchester,Darlington,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Exeter,Hartlepool,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Leyton Orient,Cardiff,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Macclesfield,Torquay,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Mansfield,Hull,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Notts County,Rochdale,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Peterboro,Scunthorpe,0,1,A,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Rotherham,Barnet,2,3,A,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Scarborough,Cambridge,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Shrewsbury,Doncaster,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,09/08/97,Swansea,Brighton,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Barnet,Exeter,1,2,A,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Brighton,Macclesfield,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Cambridge,Rotherham,2,1,H,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Doncaster,Peterboro,0,5,A,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Hartlepool,Colchester,3,2,H,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Hull,Notts County,0,3,A,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Lincoln,Shrewsbury,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Rochdale,Mansfield,2,0,H,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Scunthorpe,Leyton Orient,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,16/08/97,Torquay,Scarborough,1,0,H,,,,,,,,,,,,,,,,,,,,,
E3,22/08/97,Colchester,Barnet,1,1,D,,,,,,,,,,,,,,,,,,,,,
E3,22/08/97,Scarborough,Brighton,2,1,H,,,,,,,,,,,,,,,,,,,,,
