Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,,
E0,07/08/99,Arsenal,Leicester,2,1,H,0,0,D,,,,,,,,,,,,
E0,07/08/99,Chelsea,Sunderland,4,0,H,2,0,H,,,,,,,,,,,,
E0,07/08/99,Coventry,Southampton,0,1,A,0,0,D,,,,,,,,,,,,
E0,07/08/99,Leeds,Derby,0,0,D,0,0,D,,,,,,,,,,,,
E0,07/08/99,Middlesbrough,Bradford,0,1,A,0,0,D,,,,,,,,,,,,
E0,07/08/99,Newcastle,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,,
E0,07/08/99,Sheffield Weds,Liverpool,1,2,A,0,0,D,,,,,,,,,,,,
E0,07/08/99,Watford,Wimbledon,2,3,A,1,2,A,,,,,,,,,,,,
E0,07/08/99,West Ham,Tottenham,1,0,H,1,0,H,,,,,,,,,,,,
E0,08/08/99,Everton,Man United,1,1,D,0,1,A,,,,,,,,,,,,
E0,09/08/99,Tottenham,Newcastle,3,1,H,2,1,H,,,,,,,,,,,,
E0,10/08/99,Derby,Arsenal,1,2,A,1,1,D,,,,,,,,,,,,
E0,10/08/99,Sunderland,Watford,2,0,H,0,0,D,,,,,,,,,,,,
E0,10/08/99,Wimbledon,Middlesbrough,2,3,A,1,2,A,,,,,,,,,,,,
E0,11/08/99,Aston Villa,Everton,3,0,H,1,0,H,,,,,,,,,,,,
E0,11/08/99,Leicester,Coventry,1,0,H,1,0,H,,,,,,,,,,,,
E0,11/08/99,Man United,Sheffield Weds,4,0,H,2,0,H,,,,,,,,,,,,
E0,11/08/99,Southampton,Leeds,0,3,A,0,1,A,,,,,,,,,,,,
E0,14/08/99,Bradford,Sheffield Weds,1,1,D,0,1,A,,,,,,,,,,,,
E0,14/08/99,Derby,Middlesbrough,1,3,A,1,2,A,,,,,,,,,,,,
E0,14/08/99,Leicester,Chelsea,2,2,D,1,0,H,,,,,,,,,,,,
E0,14/08/99,Liverpool,Watford,0,1,A,0,1,A,,,,,,,,,,,,
E0,14/08/99,Man United,Leeds,2,0,H,0,0,D,,,,,,,,,,,,
E0,14/08/99,Sunderland,Arsenal,0,0,D,0,0,D,,,,,,,,,,,,
E0,14/08/99,Tottenham,Everton,3,2,H,1,1,D,,,,,,,,,,,,
E0,14/08/99,Wimbledon,Coventry,1,1,D,0,0,D,,,,,,,,,,,,
E0,15/08/99,Southampton,Newcastle,4,2,H,0,1,A,,,,,,,,,,,,
E0,16/08/99,Aston Villa,West Ham,2,2,D,1,1,D,,,,,,,,,,,,
E0,21/08/99,Chelsea,Aston Villa,1,0,H,0,0,D,,,,,,,,,,,,
E0,21/08/99,Coventry,Derby,2,0,H,1,0,H,,,,,,,,,,,,
E0,21/08/99,Everton,Southampton,4,1,H,2,0,H,,,,,,,,,,,,
E0,21/08/99,Leeds,Sunderland,2,1,H,0,1,A,,,,,,,,,,,,
E0,21/08/99,Middlesbrough,Liverpool,1,0,H,0,0,D,,,,,,,,,,,,
E0,21/08/99,Newcastle,Wimbledon,3,3,D,2,1,H,,,,,,,,,,,,
E0,21/08/99,Sheffield Weds,Tottenham,1,2,A,1,2,A,,,,,,,,,,,,
E0,21/08/99,Watford,Bradford,1,0,H,0,0,D,,,,,,,,,,,,
E0,21/08/99,West Ham,Leicester,2,1,H,1,1,D,,,,,,,,,,,,
E0,22/08/99,Arsenal,Man United,1,2,A,1,0,H,,,,,,,,,,,,
E0,23/08/99,Leeds,Liverpool,1,2,A,1,1,D,,,,,,,,,,,,
E0,24/08/99,Middlesbrough,Leicester,0,3,A,0,2,A,,,,,,,,,,,,
E0,24/08/99,Watford,Aston Villa,0,1,A,0,0,D,,,,,,,,,,,,
E0,25/08/99,Arsenal,Bradford,2,0,H,2,0,H,,,,,,,,,,,,
E0,25/08/99,Coventry,Man United,1,2,A,0,0,D,,,,,,,,,,,,
E0,25/08/99,Everton,Wimbledon,4,0,H,1,0,H,,,,,,,,,,,,
E0,25/08/99,Newcastle,Sunderland,1,2,A,1,0,H,,,,,,,,,,,,
E0,25/08/99,Sheffield Weds,Derby,0,2,A,0,0,D,,,,,,,,,,,,
E0,28/08/99,Aston Villa,Middlesbrough,1,0,H,1,0,H,,,,,,,,,,,,
E0,28/08/99,Bradford,West Ham,0,3,A,0,2,A,,,,,,,,,,,,
E0,28/08/99,Derby,Everton,1,0,H,0,0,D,,,,,,,,,,,,
E0,28/08/99,Liverpool,Arsenal,2,0,H,1,0,H,,,,,,,,,,,,
E0,28/08/99,Southampton,Sheffield Weds,2,0,H,0,0,D,,,,,,,,,,,,
E0,28/08/99,Tottenham,Leeds,1,2,A,1,0,H,,,,,,,,,,,,
E0,28/08/99,Wimbledon,Chelsea,0,1,A,0,0,D,,,,,,,,,,,,
E0,29/08/99,Sunderland,Coventry,1,1,D,0,1,A,,,,,,,,,,,,
E0,30/08/99,Leicester,Watford,1,0,H,1,0,H,,,,,,,,,,,,
E0,30/08/99,Man United,Newcastle,5,1,H,1,1,D,,,,,,,,,,,,
E0,11/09/99,Arsenal,Aston Villa,3,1,H,1,1,D,,,,,,,,,,,,
E0,11/09/99,Chelsea,Newcastle,1,0,H,1,0,H,,,,,,,,,,,,
E0,11/09/99,Coventry,Leeds,3,4,A,2,3,A,,,,,,,,,,,,
E0,11/09/99,Liverpool,Man United,2,3,A,1,3,A,,,,,,,,,,,,
E0,11/09/99,Middlesbrough,Southampton,3,2,H,1,1,D,,,,,,,,,,,,
E0,11/09/99,Sheffield Weds,Everton,0,2,A,0,2,A,,,,,,,,,,,,
