Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
E0,17/08/2002,Blackburn,Sunderland,0,0,D,0,0,D,D Elleray,15,7,5,3,14,11,9,1,1,2,0,0,1.727,3.25,4.333,1.6,3.4,4.5,1.8,3.1,3.8,1.615,3.25,5,1.83,3.4,3.75,1.727,3.2,5,1.66,3.3,4.5,1.82,1.82,,
E0,17/08/2002,Charlton,Chelsea,2,3,A,2,1,H,G Barber,5,21,5,12,10,12,3,6,0,3,1,0,2.8,3.25,2.2,2.96,3.15,2.25,2.9,3,2.2,2.8,3.2,2.2,2.75,3.25,2.25,3,3.25,2.2,2.75,3.1,2.3,1.87,1.77,,
E0,17/08/2002,Everton,Tottenham,2,2,D,1,0,H,N Barry,13,10,9,5,18,4,10,5,1,1,0,0,2.25,3.25,2.75,2.39,3.11,2.81,2.3,3,2.7,2.25,3.2,2.75,2.38,3.2,2.63,2.4,3.1,2.8,2.3,3.1,2.75,1.92,1.72,,
E0,17/08/2002,Fulham,Bolton,4,1,H,3,1,H,A Wiley,13,3,6,1,16,12,7,4,1,2,0,0,1.727,3.25,4.333,1.83,3.26,4.05,1.8,3.1,3.8,1.833,3.2,3.75,1.91,3.25,3.5,1.8,3.2,4.333,1.72,3.2,4.33,1.82,1.82,,
E0,17/08/2002,Leeds,Man City,3,0,H,2,0,H,G Poll,13,18,8,10,13,13,2,7,1,1,0,0,1.667,3.4,4.5,1.73,3.45,4.6,1.7,3.2,4.2,1.615,3.5,4.5,1.67,3.4,4.5,1.727,3.4,4.5,1.66,3.3,4.5,1.72,1.92,,
E0,17/08/2002,Man United,West Brom,1,0,H,0,0,D,S Bennett,20,6,13,5,9,12,9,1,1,1,0,1,1.2,5,12,1.24,5.2,12,1.2,5,10,1.2,5,11,1.2,5,13,1.2,5.5,13,1.2,5,11,1.52,2.22,,
E0,17/08/2002,Southampton,Middlesboro,0,0,D,0,0,D,B Knight,12,11,5,5,11,14,3,4,0,0,0,0,2.25,3.25,2.75,2.36,3.27,2.79,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.2,3.25,3,2.62,3.1,2.37,1.97,1.67,,
E0,18/08/2002,Arsenal,Birmingham,2,0,H,2,0,H,M Riley,15,7,7,1,6,11,9,2,0,1,0,1,1.222,5,10,1.2,4.8,13.2,1.25,4.5,9,1.25,4.5,10,1.25,4.5,10,1.25,5,11,1.22,5,9.5,1.57,2.13,,
E0,18/08/2002,Aston Villa,Liverpool,0,1,A,0,0,D,A D'Urso,11,12,5,6,9,5,6,8,2,2,0,0,3,3.25,2.1,3.01,3.26,2.15,2.9,3,2.2,3,3.2,2.1,2.88,3.25,2.2,3.4,3.1,2.1,3.2,3,2.1,1.87,1.77,,
E0,19/08/2002,Newcastle,West Ham,4,0,H,0,0,D,P Durkin,13,7,10,4,7,9,7,1,1,2,0,0,1.571,3.4,5.5,1.66,3.55,4.75,1.65,3.3,4.4,1.615,3.5,4.5,1.5,3.5,6,1.667,3.4,5,1.57,3.5,5,1.65,1.95,,
E0,23/08/2002,Chelsea,Man United,2,2,D,2,1,H,G Poll,11,9,5,7,13,9,3,3,3,2,0,0,2.75,3.25,2.25,2.79,3.26,2.45,2.5,3,2.5,2.75,3.2,2.25,2.75,3.25,2.25,2.875,3.1,2.375,2.7,3,2.37,1.65,1.97,,
E0,24/08/2002,Birmingham,Blackburn,0,1,A,0,1,A,D Gallagher,15,13,10,9,10,17,6,4,1,2,0,0,2.625,3.2,2.375,2.6,3.25,2.52,2.6,3,2.4,2.4,3.25,2.5,2.63,3.2,2.38,2.625,3.2,2.5,2.5,3.1,2.5,1.87,1.75,,
E0,24/08/2002,Bolton,Charlton,1,2,A,1,1,D,M Messias,15,8,9,4,9,11,4,6,1,1,0,0,2.1,3.25,3,2.26,3.2,3.1,2.2,3,2.9,2.2,3.25,2.75,2.2,3.25,2.8,2.2,3.25,3,2.1,3.1,3.1,1.85,1.85,,
E0,24/08/2002,Liverpool,Southampton,3,0,H,1,0,H,J Winter,16,7,9,1,11,8,5,8,0,1,0,0,1.333,4.333,7.5,1.36,4.4,9.2,1.3,4.2,8,1.364,3.75,8,1.29,4.5,8.5,1.333,4.333,9,1.28,4.33,8.5,1.74,1.9,,
E0,24/08/2002,Man City,Newcastle,1,0,H,1,0,H,U Rennie,20,9,12,6,12,14,6,8,1,1,0,0,2.5,3.2,2.5,2.83,3.25,2.4,2.7,3,2.3,2.75,3.25,2.2,2.75,3.25,2.25,2.7,3.25,2.4,2.62,3.25,2.3,1.77,1.97,,
E0,24/08/2002,Middlesboro,Fulham,2,2,D,1,0,H,M Dean,6,10,3,4,18,7,8,11,4,2,0,0,2,3.25,3.25,2.07,3.2,3.55,2,3.1,3.2,2,3.4,3,2,3.25,3.25,2.05,3.1,3.5,1.83,3.2,3.75,1.92,1.8
E0,24/08/2002,Sunderland,Everton,0,1,A,0,1,A,R Styles,13,11,3,5,10,15,10,4,1,0,0,0,2.1,3,3.25,2.08,3.15,3.35,2,3.1,3.2,2.1,3.2,3,2,3.25,3.25,2.1,3.2,3.25,2.1,3.1,3.1,1.97,1.8
E0,24/08/2002,Tottenham,Aston Villa,1,0,H,1,0,H,C Wilkes,8,18,3,8,20,15,2,5,2,0,0,0,1.833,3.25,3.75,1.98,3.2,3.9,1.9,3.1,3.5,1.909,3.2,3.5,1.83,3.25,3.75,1.95,3.2,3.75,1.8,3.1,4,1.75,1.85
E0,24/08/2002,West Brom,Leeds,1,3,A,0,1,A,S Dunn,12,11,2,4,9,11,7,3,1,1,0,0,3.75,3.25,1.833,4.1,3.35,1.86,3.5,3.1,1.9,4,3.2,1.8,4.5,3.4,1.67,3.8,3.25,1.909,4.2,3.25,1.72,1.85,1.75
E0,24/08/2002,West Ham,Arsenal,2,2,D,1,0,H,N Barry,8,9,4,5,18,14,4,4,2,5,0,0,4,3.5,1.727,4.85,3.5,1.75,4.2,3.2,1.7,4,3.4,1.727,4.33,3.25,1.73,4.75,3.3,1.727,4.33,3.2,1.72,1.75,1.87
E0,27/08/2002,Arsenal,West Brom,5,2,H,3,0,H,P Durkin,10,8,8,6,9,9,1,1,3,2,0,0,1.17,5.5,13,1.15,6.5,12,1.2,5,10,1.2,5,11,1.18,6,13,1.17,5.5,13,1.16,5.5,12,,
E0,27/08/2002,Charlton,Tottenham,0,1,A,0,1,A,A Wiley,10,7,5,1,9,23,6,9,1,2,0,0,2.4,3.2,2.6,2.5,3.25,2.5,2.3,3,2.7,2.4,3.25,2.5,2.5,3.2,2.62,2.5,3.2,2.5,2.5,3.1,2.5,1.8,1.8
E0,28/08/2002,Aston Villa,Man City,1,0,H,0,0,D,D Pugh,11,7,6,1,13,11,5,4,1,3,0,0,2.2,3.25,2.8,2.25,3.2,2.85,2.1,3,3.1,2.2,3.25,2.75,2.25,3.25,2.9,2.25,3.25,2.75,2.2,3.2,2.8,1.8,1.9
E0,28/08/2002,Blackburn,Liverpool,2,2,D,1,1,D,S Bennett,7,5,4,3,17,10,5,2,3,1,0,0,3,3.25,2.1,3,3.25,2.15,2.8,2.9,2.3,3.4,3.25,1.91,3,3.25,2.2,3.25,3.25,2,3,3.2,2.1,1.9,1.8
E0,28/08/2002,Everton,Birmingham,1,1,D,0,0,D,E Wolstenholme,11,5,4,2,18,12,7,4,0,3,1,0,1.67,3.4,4.5,1.65,3.3,5,1.6,3.4,4.6,1.67,3.25,4.5,1.62,3.4,5.5,1.67,3.4,4.5,1.66,3.3,4.5,1.85,1.75
E0,28/08/2002,Leeds,Sunderland,0,1,A,0,0,D,M Halsey,20,9,9,4,13,11,8,1,2,0,0,0,1.5,3.4,6.5,1.4,3.8,7.5,1.4,3.9,6,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,7,1.36,3.75,8,1.92,1.85
E0,28/08/2002,Southampton,Chelsea,1,1,D,0,0,D,C Foy,12,10,4,3,16,11,5,6,2,1,0,0,3,3.25,2.1,3,3.25,2.15,3.2,3.1,2,2.75,3.25,2.2,3,3.25,2.2,3,3.25,2.1,3.2,3.2,2,1.85,1.79
E0,31/08/2002,Birmingham,Leeds,2,1,H,1,0,H,P Durkin,9,8,5,6,14,16,2,5,3,3,0,0,4,3.25,1.8,4.2,3.42,1.91,3.5,3.1,1.9,4.333,3.4,1.667,4,3.2,1.8,4,3.25,1.85,4,3.1,1.8,1.85,1.75
E0,31/08/2002,Man City,Everton,3,1,H,2,1,H,B Knight,7,14,6,8,12,11,7,6,1,0,1,0,1.727,3.25,4.333,1.8,3.3,4.1,1.8,3.1,3.8,1.8,3.2,4,1.8,3.2,4,1.85,3.25,4,1.72,3.2,4.33,1.75,1.86
E0,31/08/2002,Middlesboro,Blackburn,1,0,H,0,0,D,M Halsey,7,10,3,7,19,16,8,6,3,3,0,0,2.2,3.25,2.8,2.22,3,3.2,2.2,3,2.9,2.2,3.25,2.75,2.25,3.25,2.75,2.25,3.25,2.9,2.2,3.2,2.8,1.85,1.75
E0,31/08/2002,Sunderland,Man United,1,1,D,0,1,A,U Rennie,12,20,5,10,13,16,6,8,1,2,0,1,5,3.4,1.615,5.6,3.6,1.6,4.4,3.3,1.65,4.5,3.25,1.667,5,3.5,1.57,5.5,3.4,1.615,5.5,3.4,1.53,1.65,1.95
