Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
F1,08/08/09,Auxerre,Sochaux,0,1,A,0,1,A,12,9,2,3,10,18,6,10,0,2,0,0,2,3,4.33,2,3.2,3.45,1.95,3.1,4,1.9,3.2,4.1,1.91,3,3.75,2,3.1,3.6,2,3,3.4,2.1,3,4,2,3,3.75,1.95,3.1,3.75,32,2.08,1.99,3.21,3.1,4.55,3.88,28,2.5,2.39,1.57,1.52,17,0,1.46,1.42,2.9,2.64
F1,08/08/09,Grenoble,Marseille,0,2,A,0,1,A,6,16,1,5,14,19,3,6,2,1,0,0,4.75,3.1,1.91,4.75,3.25,1.7,4,3.1,1.95,4,3.25,1.9,3.75,3,1.91,4,3.1,1.9,4,3.1,1.8,4,3.2,2,3.75,3.1,1.91,4,3.1,1.91,31,4.75,4.16,3.38,3.15,2,1.9,27,2.3,2.18,1.67,1.62,16,0.5,1.99,1.96,1.95,1.91
F1,08/08/09,Le Mans,Lyon,2,2,D,1,1,D,8,20,4,6,18,18,3,11,3,2,0,0,3.75,3.1,2.1,3.8,3,2,3.5,3.1,2.1,3.45,3.2,2.1,3.5,3,2,3.75,3,2,3.4,3.1,1.95,3.8,3.2,2.05,3.6,3,2,3.3,3,2.15,32,3.81,3.58,3.32,3.08,2.17,2.08,28,2.28,2.17,1.65,1.62,17,0,2.65,2.5,1.53,1.46
F1,08/08/09,Monaco,Toulouse,1,0,H,1,0,H,11,11,6,4,17,19,8,4,2,3,1,0,2.3,3,3.4,2.2,2.9,3.3,2.3,3,3.1,2.2,3,3.4,2.2,2.8,3.2,2.25,3,3.1,2.25,2.88,3,2.25,3,3.5,2.38,2.9,3,2.2,3,3.2,31,2.49,2.33,3.2,2.99,3.4,3.13,27,2.5,2.41,1.57,1.51,16,0,1.74,1.65,2.2,2.14
F1,08/08/09,Montpellier,Paris SG,1,1,D,0,0,D,10,10,2,2,15,18,4,2,1,3,1,0,3.5,3,2.25,3.25,2.95,2.2,3.1,3,2.3,3.2,3,2.3,3,2.9,2.25,3,3,2.3,3,2.88,2.25,3.6,3.2,2.15,3.2,2.9,2.25,3.2,3,2.2,31,3.7,3.27,3.17,2.98,2.35,2.25,27,2.3,2.19,1.68,1.61,16,0,2.3,2.18,1.63,1.58
F1,08/08/09,Rennes,Boulogne,3,0,H,2,0,H,15,13,6,4,12,7,12,4,1,0,0,0,1.53,3.6,7.5,1.5,3.4,7,1.53,3.6,6.5,1.5,3.8,6.7,1.5,3.5,6,1.5,3.6,6.5,1.44,3.6,6.5,1.6,3.4,7,1.5,3.6,6.5,1.53,3.5,6,32,1.61,1.52,3.97,3.64,7.79,6.67,28,2.25,2.11,1.7,1.67,18,-1,1.98,1.93,1.98,1.9
F1,08/08/09,St Etienne,Nice,0,2,A,0,1,A,13,8,5,3,15,19,8,1,1,2,0,0,1.91,3.2,4.33,1.9,3.2,3.8,1.9,3.1,4.2,1.9,3.2,4.1,1.91,3,3.75,1.9,3.1,4,1.91,3,3.75,2.05,3,4.2,1.9,3,4.2,1.91,3.1,4,32,2.03,1.92,3.23,3.12,4.7,4.12,28,2.5,2.33,1.58,1.54,17,0,1.4,1.37,3,2.85
F1,08/08/09,Valenciennes,Nancy,1,3,A,1,1,D,19,11,2,5,22,16,10,2,3,3,1,0,2.2,2.9,3.75,2.2,2.9,3.3,2.25,2.9,3.3,2.2,3.1,3.3,2.25,2.9,3,2.1,3,3.4,2.25,2.88,3,2.15,3,3.75,2.1,2.9,3.6,2.2,2.9,3.3,32,2.25,2.17,3.25,2.99,3.92,3.44,28,2.6,2.41,1.56,1.52,17,0,1.63,1.55,2.5,2.29
F1,09/08/09,Bordeaux,Lens,4,1,H,1,1,D,13,7,5,1,14,20,4,3,0,1,0,0,1.5,3.5,7,1.45,3.75,6.8,1.5,3.6,7,1.55,3.7,6,1.5,3.5,6,1.45,3.75,7,1.4,3.75,7,1.53,3.6,7.5,1.44,3.6,7.5,1.44,3.75,7,31,1.5,1.46,4.33,3.76,8.54,7.26,28,2.25,2.12,1.75,1.66,19,-1,1.87,1.8,2.14,2.03
F1,09/08/09,Lille,Lorient,1,2,A,0,1,A,19,6,6,4,20,17,15,2,2,5,0,0,1.67,3.3,5.5,1.75,3.3,4.35,1.72,3.25,5,1.65,3.4,5.5,1.73,3.1,4.5,1.7,3.3,4.75,1.67,3.1,5,1.7,3.4,5.5,1.67,3.25,4.75,1.8,3.2,4.33,30,1.77,1.71,3.58,3.29,5.65,5.06,27,2.25,2.14,1.7,1.64,17,-0.5,1.75,1.71,2.26,2.2
F1,15/08/09,Lens,Auxerre,2,0,H,1,0,H,8,12,4,2,14,17,3,5,1,1,0,0,2.15,3,3.8,2.15,3,3.25,2.25,3,3.2,2.1,3.1,3.6,2.2,2.8,3.2,2.25,3,3.1,2.15,2.88,3.25,2.25,3,3.5,2.1,3,3.4,2.25,2.88,3.3,30,2.25,2.19,3.21,2.99,3.9,3.46,29,2.51,2.38,1.6,1.53,20,0,1.6,1.53,2.5,2.36
F1,15/08/09,Lorient,Montpellier,2,2,D,0,0,D,12,14,5,6,10,23,2,2,1,3,0,0,1.91,3.25,4.33,1.8,3.15,4.4,1.9,3.1,4.2,1.9,3.2,4,1.8,3.2,4,1.85,3.2,4,1.91,3,3.75,2,3,4.33,1.85,3.1,4,1.83,3.1,4.5,30,2,1.89,3.33,3.16,4.65,4.23,29,2.4,2.26,1.65,1.58,20,0,1.41,1.37,3.05,2.87
F1,15/08/09,Lyon,Valenciennes,1,0,H,1,0,H,24,5,9,1,14,16,5,2,1,3,0,0,1.33,4.5,12,1.25,5,10,1.3,4.75,9,1.3,4.8,9.5,1.22,5,10,1.25,4.75,11,1.3,4.33,8,1.27,5.5,11,1.3,4.5,8.5,1.33,4.33,9,31,1.35,1.3,5.5,4.72,12.12,9.99,30,2.03,1.94,1.91,1.8,21,-1.5,2.11,2.05,1.83,1.79
F1,15/08/09,Nancy,Monaco,4,0,H,2,0,H,7,19,5,8,10,10,2,6,1,2,0,0,2.25,3,3.5,2.2,2.95,3.25,2.2,3,3.3,2.2,3,3.4,2.2,2.8,3.2,2.25,3.1,3,2.2,2.88,3.1,2.2,3,3.6,2.2,3,3.2,2.25,3,3.2,30,2.3,2.22,3.18,2.97,3.75,3.36,29,2.55,2.39,1.6,1.52,18,0,1.6,1.55,2.46,2.29
F1,15/08/09,Paris SG,Le Mans,3,1,H,1,1,D,13,9,5,5,13,17,8,6,0,2,0,0,1.62,3.6,6,1.6,3.4,5.5,1.6,3.5,5.5,1.55,3.5,6.6,1.57,3.25,5.5,1.6,3.4,5.5,1.57,3.3,5.5,1.53,3.75,7,1.6,3.4,5.5,1.67,3.4,5,31,1.67,1.6,3.75,3.48,7,5.87,30,2.2,2.09,1.75,1.67,20,0,1.2,1.18,4.6,4.31
F1,15/08/09,Sochaux,Bordeaux,2,3,A,0,2,A,8,19,7,7,12,13,8,7,2,0,0,0,4,3.25,2,4.1,3.3,1.8,4,3.1,1.95,3.6,3.1,2.1,3.6,3.1,1.91,3.6,3.1,2,3.5,3.1,1.95,4,3,2.1,3.75,3.2,1.9,4,3.1,1.95,30,4.4,3.91,3.35,3.16,2.1,1.97,29,2.31,2.2,1.68,1.61,18,0.5,1.9,1.84,2.1,2.02
