Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,01/08/97,Schalke 04,Leverkusen,2,1,H,0,1,A,,,,,,,,,,,
D1,01/08/97,Stuttgart,Munich 1860,1,1,D,1,0,H,,,,,,,,,,,
D1,02/08/97,Bayern Munich,Kaiserslautern,0,1,A,0,0,D,,,,,,,,,,,
D1,02/08/97,Bochum,Bielefeld,1,0,H,0,0,D,,,,,,,,,,,
D1,02/08/97,FC Koln,Duisburg,3,2,H,1,1,D,,,,,,,,,,,
D1,02/08/97,Hansa Rostock,Wolfsburg,0,1,A,0,0,D,,,,,,,,,,,
D1,02/08/97,Karlsruhe,Werder Bremen,3,1,H,1,0,H,,,,,,,,,,,
D1,03/08/97,Hamburg,M'gladbach,2,2,D,0,1,A,,,,,,,,,,,
D1,03/08/97,Hertha,Dortmund,1,1,D,1,1,D,,,,,,,,,,,
D1,05/08/97,Bielefeld,Stuttgart,2,1,H,0,1,A,,,,,,,,,,,
D1,05/08/97,Duisburg,Schalke 04,1,0,H,0,0,D,,,,,,,,,,,
D1,05/08/97,Leverkusen,Bochum,3,2,H,0,1,A,,,,,,,,,,,
D1,05/08/97,Munich 1860,Karlsruhe,2,2,D,1,1,D,,,,,,,,,,,
D1,05/08/97,Werder Bremen,Hansa Rostock,1,1,D,1,0,H,,,,,,,,,,,
D1,06/08/97,Dortmund,FC Koln,3,0,H,2,0,H,,,,,,,,,,,
D1,06/08/97,Kaiserslautern,Hertha,1,0,H,0,0,D,,,,,,,,,,,
D1,06/08/97,M'gladbach,Bayern Munich,1,1,D,1,0,H,,,,,,,,,,,
D1,06/08/97,Wolfsburg,Hamburg,1,1,D,1,1,D,,,,,,,,,,,
D1,08/08/97,Bochum,Duisburg,0,0,D,0,0,D,,,,,,,,,,,
D1,08/08/97,Stuttgart,Leverkusen,1,0,H,1,0,H,,,,,,,,,,,
D1,09/08/97,Bayern Munich,Wolfsburg,5,2,H,3,1,H,,,,,,,,,,,
D1,09/08/97,FC Koln,Kaiserslautern,0,0,D,0,0,D,,,,,,,,,,,
D1,09/08/97,Hansa Rostock,Hamburg,2,1,H,2,0,H,,,,,,,,,,,
D1,09/08/97,Karlsruhe,Bielefeld,3,1,H,1,0,H,,,,,,,,,,,
D1,09/08/97,Schalke 04,Dortmund,1,0,H,0,0,D,,,,,,,,,,,
D1,09/08/97,Werder Bremen,Munich 1860,3,3,D,2,1,H,,,,,,,,,,,
D1,10/08/97,Hertha,M'gladbach,2,2,D,1,0,H,,,,,,,,,,,
D1,22/08/97,Munich 1860,Hansa Rostock,0,1,A,0,0,D,,,,,,,,,,,
D1,22/08/97,Wolfsburg,Hertha,2,1,H,1,0,H,,,,,,,,,,,
D1,23/08/97,Bielefeld,Werder Bremen,3,0,H,1,0,H,,,,,,,,,,,
D1,23/08/97,Dortmund,Bochum,5,2,H,3,1,H,,,,,,,,,,,
D1,23/08/97,Duisburg,Stuttgart,0,3,A,0,1,A,,,,,,,,,,,
D1,23/08/97,Kaiserslautern,Schalke 04,3,0,H,2,0,H,,,,,,,,,,,
D1,23/08/97,Leverkusen,Karlsruhe,6,1,H,2,1,H,,,,,,,,,,,
D1,23/08/97,M'gladbach,FC Koln,4,1,H,3,0,H,,,,,,,,,,,
D1,24/08/97,Hamburg,Bayern Munich,0,2,A,0,1,A,,,,,,,,,,,
D1,29/08/97,Bochum,Kaiserslautern,1,3,A,0,1,A,,,,,,,,,,,
D1,29/08/97,Hertha,Hamburg,0,2,A,0,1,A,,,,,,,,,,,
D1,30/08/97,FC Koln,Wolfsburg,5,3,H,2,1,H,,,,,,,,,,,
D1,30/08/97,Hansa Rostock,Bayern Munich,1,3,A,0,0,D,,,,,,,,,,,
D1,30/08/97,Schalke 04,M'gladbach,2,0,H,1,0,H,,,,,,,,,,,
D1,30/08/97,Stuttgart,Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,30/08/97,Werder Bremen,Leverkusen,2,1,H,1,0,H,,,,,,,,,,,
D1,31/08/97,Karlsruhe,Duisburg,1,2,A,0,0,D,,,,,,,,,,,
D1,01/09/97,Munich 1860,Bielefeld,1,0,H,0,0,D,,,,,,,,,,,
D1,12/09/97,Bielefeld,Hansa Rostock,0,1,A,0,1,A,,,,,,,,,,,
D1,12/09/97,Hamburg,FC Koln,2,1,H,2,0,H,,,,,,,,,,,
D1,13/09/97,Bayern Munich,Hertha,3,0,H,1,0,H,,,,,,,,,,,
D1,13/09/97,Dortmund,Karlsruhe,2,2,D,0,1,A,,,,,,,,,,,
D1,13/09/97,Duisburg,Werder Bremen,2,1,H,2,1,H,,,,,,,,,,,
D1,13/09/97,Leverkusen,Munich 1860,2,2,D,0,0,D,,,,,,,,,,,
D1,13/09/97,M'gladbach,Bochum,2,1,H,0,1,A,,,,,,,,,,,
D1,13/09/97,Wolfsburg,Schalke 04,0,0,D,0,0,D,,,,,,,,,,,
D1,14/09/97,Kaiserslautern,Stuttgart,4,3,H,1,2,A,,,,,,,,,,,
D1,19/09/97,Karlsruhe,Kaiserslautern,2,4,A,0,2,A,,,,,,,,,,,
D1,19/09/97,Munich 1860,Duisburg,0,1,A,0,1,A,,,,,,,,,,,
D1,20/09/97,Bielefeld,Leverkusen,2,1,H,1,1,D,,,,,,,,,,,
D1,20/09/97,Bochum,Wolfsburg,2,1,H,2,0,H,,,,,,,,,,,
D1,20/09/97,FC Koln,Bayern Munich,1,3,A,1,2,A,,,,,,,,,,,
D1,20/09/97,Hansa Rostock,Hertha,4,0,H,2,0,H,,,,,,,,,,,
D1,20/09/97,Schalke 04,Hamburg,2,2,D,1,2,A,,,,,,,,,,,
D1,20/09/97,Werder Bremen,Dortmund,2,1,H,2,1,H,,,,,,,,,,,
D1,21/09/97,Stuttgart,M'gladbach,3,0,H,2,0,H,,,,,,,,,,,
D1,26/09/97,Bayern Munich,Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
D1,26/09/97,Duisburg,Bielefeld,2,1,H,2,0,H,,,,,,,,,,,
D1,27/09/97,Dortmund,Munich 1860,2,3,A,1,2,A,,,,,,,,,,,
D1,27/09/97,Hamburg,Bochum,2,1,H,0,0,D,,,,,,,,,,,
D1,27/09/97,Kaiserslautern,Werder Bremen,1,3,A,1,0,H,,,,,,,,,,,
D1,27/09/97,Leverkusen,Hansa Rostock,1,1,D,0,1,A,,,,,,,,,,,
D1,27/09/97,M'gladbach,Karlsruhe,1,1,D,0,0,D,,,,,,,,,,,
D1,27/09/97,Wolfsburg,Stuttgart,1,0,H,0,0,D,,,,,,,,,,,
D1,28/09/97,Hertha,FC Koln,1,0,H,1,0,H,,,,,,,,,,,
D1,03/10/97,Munich 1860,Kaiserslautern,1,3,A,1,2,A,,,,,,,,,,,
D1,03/10/97,Werder Bremen,M'gladbach,1,0,H,0,0,D,,,,,,,,,,,
D1,04/10/97,Bielefeld,Dortmund,3,1,H,0,0,D,,,,,,,,,,,
D1,04/10/97,Bochum,Bayern Munich,2,3,A,1,2,A,,,,,,,,,,,
D1,04/10/97,Hansa Rostock,FC Koln,1,2,A,0,1,A,,,,,,,,,,,
D1,04/10/97,Karlsruhe,Wolfsburg,2,1,H,2,0,H,,,,,,,,,,,
D1,04/10/97,Leverkusen,Duisburg,2,1,H,2,1,H,,,,,,,,,,,
D1,04/10/97,Schalke 04,Hertha,1,0,H,0,0,D,,,,,,,,,,,
D1,05/10/97,Stuttgart,Hamburg,5,2,H,1,1,D,,,,,,,,,,,
D1,14/10/97,Dortmund,Leverkusen,0,1,A,0,0,D,,,,,,,,,,,
D1,14/10/97,FC Koln,Schalke 04,0,2,A,0,1,A,,,,,,,,,,,
D1,14/10/97,Hamburg,Karlsruhe,3,1,H,1,1,D,,,,,,,,,,,
D1,14/10/97,Hertha,Bochum,2,2,D,1,1,D,,,,,,,,,,,
D1,14/10/97,Wolfsburg,Werder Bremen,1,0,H,0,0,D,,,,,,,,,,,
D1,15/10/97,Bayern Munich,Stuttgart,3,3,D,1,1,D,,,,,,,,,,,
D1,15/10/97,Duisburg,Hansa Rostock,0,1,A,0,1,A,,,,,,,,,,,
D1,15/10/97,Kaiserslautern,Bielefeld,3,1,H,2,1,H,,,,,,,,,,,
D1,15/10/97,M'gladbach,Munich 1860,5,1,H,2,1,H,,,,,,,,,,,
D1,17/10/97,Bochum,FC Koln,2,1,H,1,0,H,,,,,,,,,,,
D1,17/10/97,Werder Bremen,Hamburg,0,0,D,0,0,D,,,,,,,,,,,
D1,18/10/97,Duisburg,Dortmund,0,0,D,0,0,D,,,,,,,,,,,
D1,18/10/97,Hansa Rostock,Schalke 04,4,1,H,2,0,H,,,,,,,,,,,
D1,18/10/97,Karlsruhe,Bayern Munich,1,1,D,1,0,H,,,,,,,,,,,
D1,18/10/97,Leverkusen,Kaiserslautern,1,1,D,0,0,D,,,,,,,,,,,
D1,18/10/97,Munich 1860,Wolfsburg,2,1,H,2,0,H,,,,,,,,,,,
D1,18/10/97,Stuttgart,Hertha,4,1,H,2,0,H,,,,,,,,,,,
D1,19/10/97,Bielefeld,M'gladbach,3,1,H,2,1,H,,,,,,,,,,,
D1,24/10/97,Kaiserslautern,Duisburg,1,0,H,1,0,H,,,,,,,,,,,
D1,24/10/97,Schalke 04,Bochum,2,0,H,0,0,D,,,,,,,,,,,
D1,25/10/97,Bayern Munich,Werder Bremen,2,0,H,1,0,H,,,,,,,,,,,
D1,25/10/97,Dortmund,Hansa Rostock,3,2,H,2,1,H,,,,,,,,,,,
D1,25/10/97,Hamburg,Munich 1860,1,2,A,0,1,A,,,,,,,,,,,
D1,25/10/97,Hertha,Karlsruhe,3,1,H,0,1,A,,,,,,,,,,,
D1,25/10/97,M'gladbach,Leverkusen,2,2,D,1,1,D,,,,,,,,,,,
D1,25/10/97,Wolfsburg,Bielefeld,2,0,H,1,0,H,,,,,,,,,,,
D1,26/10/97,FC Koln,Stuttgart,4,2,H,3,1,H,,,,,,,,,,,
D1,31/10/97,Dortmund,Kaiserslautern,2,2,D,2,1,H,,,,,,,,,,,
D1,31/10/97,Duisburg,M'gladbach,4,5,A,2,2,D,,,,,,,,,,,
D1,31/10/97,Leverkusen,Wolfsburg,2,1,H,1,0,H,,,,,,,,,,,
