Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
D2,20/08/94,F Koln,Chemnitz,3,0,H,,,,,,,,,,,,,,,,,,,,,
D2,20/08/94,Hannover,Meppen,1,0,H,,,,,,,,,,,,,,,,,,,,,
D2,20/08/94,Hertha,Hansa Rostock,0,1,A,,,,,,,,,,,,,,,,,,,,,
D2,20/08/94,Mainz,Homburg,4,1,H,,,,,,,,,,,,,,,,,,,,,
D2,20/08/94,Saarbrucken,Dusseldorf,1,2,A,,,,,,,,,,,,,,,,,,,,,
D2,20/08/94,St Pauli,Wolfsburg,0,0,D,,,,,,,,,,,,,,,,,,,,,
D2,20/08/94,Wattenscheid,Leipzig,4,2,H,,,,,,,,,,,,,,,,,,,,,
D2,20/08/94,Zwickau,FSV Frankfurt,2,2,D,,,,,,,,,,,,,,,,,,,,,
D2,21/08/94,Nurnberg,Mannheim,0,0,D,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,Chemnitz,Saarbrucken,1,1,D,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,Dusseldorf,Wattenscheid,1,1,D,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,FSV Frankfurt,F Koln,0,5,A,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,Hansa Rostock,St Pauli,3,0,H,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,Homburg,Zwickau,3,1,H,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,Leipzig,Hannover,3,1,H,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,Mannheim,Hertha,3,0,H,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,Meppen,Nurnberg,1,2,A,,,,,,,,,,,,,,,,,,,,,
D2,24/08/94,Wolfsburg,Mainz,2,0,H,,,,,,,,,,,,,,,,,,,,,
D2,27/08/94,FSV Frankfurt,Homburg,1,2,A,,,,,,,,,,,,,,,,,,,,,
