Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA
G1,16/09/00,Olympiakos,Eth Asteras,6,0,H,2,0,H,,,,,,
G1,16/09/00,Panathinaikos,Yiannina,2,1,H,1,0,H,,,,,,
G1,17/09/00,Ionikos,Athinaikos,1,0,H,1,0,H,,,,,,
G1,17/09/00,Kalamata,PAOK,0,0,D,0,0,D,,,,,,
G1,17/09/00,Panahaiki,Xanthi,1,1,D,1,0,H,,,,,,
G1,17/09/00,Paniliakos,Panionios,1,1,D,1,1,D,,,,,,
G1,18/09/00,AEK,Iraklis,2,0,H,1,0,H,,,,,,
G1,18/09/00,OFI,Aris,2,3,A,2,1,H,,,,,,
G1,23/09/00,Panionios,Panathinaikos,0,2,A,0,1,A,,,,,,
G1,24/09/00,Aris,Paniliakos,1,0,H,1,0,H,,,,,,
G1,24/09/00,Athinaikos,AEK,0,3,A,0,2,A,,,,,,
G1,24/09/00,Eth Asteras,Ionikos,1,0,H,1,0,H,,,,,,
G1,24/09/00,Iraklis,Panahaiki,2,0,H,0,0,D,,,,,,
G1,24/09/00,OFI,Olympiakos,1,2,A,0,1,A,,,,,,
G1,24/09/00,Yiannina,PAOK,1,3,A,1,2,A,,,,,,
G1,25/09/00,Xanthi,Kalamata,2,1,H,2,0,H,,,,,,
G1,30/09/00,Yiannina,Xanthi,1,1,D,0,1,A,,,,,,
G1,01/10/00,AEK,Eth Asteras,2,2,D,2,0,H,,,,,,
G1,01/10/00,Kalamata,Iraklis,0,0,D,0,0,D,,,,,,
G1,01/10/00,Olympiakos,Ionikos,3,3,D,0,1,A,,,,,,
G1,01/10/00,Panahaiki,Athinaikos,3,1,H,2,0,H,,,,,,
G1,01/10/00,Panathinaikos,Aris,2,2,D,0,1,A,,,,,,
G1,01/10/00,Paniliakos,OFI,0,0,D,0,0,D,,,,,,
G1,02/10/00,PAOK,Panionios,1,1,D,1,0,H,,,,,,
G1,29/10/00,Athinaikos,Kalamata,3,2,H,0,1,A,,,,,,
G1,29/10/00,Ionikos,AEK,0,2,A,0,0,D,,,,,,
G1,29/10/00,Iraklis,Yiannina,2,1,H,0,1,A,,,,,,
G1,29/10/00,OFI,Panathinaikos,0,0,D,0,0,D,,,,,,
G1,29/10/00,Paniliakos,Olympiakos,0,4,A,0,1,A,,,,,,
G1,29/10/00,Panionios,Xanthi,0,0,D,0,0,D,,,,,,
G1,30/10/00,Eth Asteras,Panahaiki,3,1,H,1,1,D,,,,,,
G1,01/11/00,Aris,PAOK,4,0,H,2,0,H,,,,,,
G1,04/11/00,Olympiakos,AEK,4,1,H,1,1,D,,,,,,
G1,05/11/00,Kalamata,Eth Asteras,2,2,D,0,2,A,,,,,,
G1,05/11/00,Panathinaikos,Paniliakos,2,0,H,0,0,D,,,,,,
G1,05/11/00,Panionios,Iraklis,1,1,D,0,1,A,,,,,,
G1,05/11/00,PAOK,OFI,4,1,H,2,0,H,,,,,,
G1,05/11/00,Xanthi,Aris,1,0,H,1,0,H,,,,,,
G1,05/11/00,Yiannina,Athinaikos,3,1,H,0,0,D,,,,,,
G1,06/11/00,Panahaiki,Ionikos,2,3,A,0,1,A,,,,,,
G1,11/11/00,Athinaikos,Panionios,2,0,H,0,0,D,,,,,,
G1,12/11/00,AEK,Panahaiki,2,1,H,2,0,H,,,,,,
G1,12/11/00,Aris,Iraklis,0,2,A,0,1,A,,,,,,
G1,12/11/00,Eth Asteras,Yiannina,2,1,H,1,1,D,,,,,,
G1,12/11/00,Ionikos,Kalamata,4,1,H,2,0,H,,,,,,
G1,12/11/00,Panathinaikos,Olympiakos,0,0,D,0,0,D,,,,,,
G1,12/11/00,Paniliakos,PAOK,1,1,D,1,0,H,,,,,,
G1,13/11/00,OFI,Xanthi,0,1,A,0,0,D,,,,,,
G1,18/11/00,PAOK,Panathinaikos,2,2,D,2,0,H,,,,,,
G1,19/11/00,Aris,Athinaikos,2,0,H,0,0,D,,,,,,
G1,19/11/00,Iraklis,OFI,3,0,H,0,0,D,,,,,,
G1,19/11/00,Kalamata,AEK,3,1,H,1,0,H,,,,,,
G1,19/11/00,Olympiakos,Panahaiki,3,0,H,2,0,H,,,,,,
G1,19/11/00,Xanthi,Paniliakos,2,0,H,1,0,H,,,,,,
G1,20/11/00,Panionios,Eth Asteras,4,3,H,3,0,H,,,,,,
G1,20/11/00,Yiannina,Ionikos,1,1,D,1,0,H,,,,,,
G1,25/11/00,Panathinaikos,Xanthi,3,0,H,1,0,H,,,,,,
G1,26/11/00,Eth Asteras,Aris,1,0,H,1,0,H,,,,,,
G1,26/11/00,Ionikos,Panionios,2,0,H,2,0,H,,,,,,
G1,26/11/00,OFI,Athinaikos,5,3,H,2,1,H,,,,,,
G1,26/11/00,Panahaiki,Kalamata,3,2,H,3,0,H,,,,,,
G1,26/11/00,Paniliakos,Iraklis,1,2,A,1,1,D,,,,,,
G1,27/11/00,AEK,Yiannina,4,2,H,2,1,H,,,,,,
G1,27/11/00,PAOK,Olympiakos,2,4,A,0,1,A,,,,,,
G1,02/12/00,Panionios,AEK,2,0,H,2,0,H,,,,,,
G1,03/12/00,Aris,Ionikos,0,0,D,0,0,D,,,,,,
G1,03/12/00,Eth Asteras,OFI,1,0,H,1,0,H,,,,,,
G1,03/12/00,Iraklis,Panathinaikos,0,1,A,0,0,D,,,,,,
