Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,,,
G1,27/08/10,Panathinaikos,Xanthi,1,1,D,1,0,H,1.29,5,12,1.25,5,12.5,1.25,5,10,1.25,5,10,1.22,5,10,1.25,5.2,15,1.25,5,11,1.25,5,10,1.25,5,12,1.2,5.5,10,25,1.3,1.25,5.71,5.1,15,10.88,21,2.06,1.95,1.86,1.81,10,-1.5,2.01,1.95,1.96,1.92,,,
G1,28/08/10,Iraklis,Olympiakos,2,1,H,0,0,D,7.5,4.2,1.44,7,4.1,1.44,6.5,3.75,1.48,5.7,3.8,1.5,6.5,3.6,1.44,8,4,1.45,8,4,1.4,7,3.75,1.44,7,4,1.44,6.5,3.75,1.44,24,8.5,7.24,4.42,3.92,1.5,1.44,13,2.25,2.13,1.73,1.64,9,1,2.18,2.14,1.79,1.76,,,
G1,28/08/10,Larisa,Atromitos,1,0,H,0,0,D,2.05,3.2,3.75,1.85,3.15,4.1,1.9,3.1,4,1.8,3.2,4.2,2.1,3.2,3,2.1,3.2,3.4,1.9,3.1,4.1,1.91,3.25,3.7,2,3,4,1.95,3.2,3.5,22,2.15,1.99,3.29,3.13,4.33,3.77,12,2.5,2.38,1.57,1.51,9,-0.5,2.14,2.07,1.85,1.78,,,
G1,28/08/10,Panionios,Olympiakos Volou,0,1,A,0,0,D,1.73,3.4,5.25,1.67,3.4,5.25,1.65,3.3,5.25,1.65,3.3,4.8,1.62,3.25,5,1.8,3.4,4.3,1.65,3.3,5.5,1.67,3.5,4.5,1.73,3.3,5,1.73,3.3,4.33,22,1.83,1.72,3.55,3.34,5.5,4.86,12,2.3,2.18,1.68,1.61,9,-0.75,2.13,2.09,1.82,1.8,,,
G1,29/08/10,Ergotelis,Asteras Tripolis,0,1,A,0,1,A,2.3,3,3.4,2.2,2.9,3.35,2.25,3,3.1,2.2,3,3.2,2.1,3.2,3,2.15,3.1,3.4,2.2,3,3.25,2.25,3,3.1,2.25,3,3.3,2.2,3,3.1,24,2.3,2.21,3.2,3.03,3.72,3.26,14,2.5,2.33,1.57,1.54,9,0,1.62,1.54,2.46,2.32,,,
G1,29/08/10,Kavala,Aris,0,1,A,0,1,A,3,3,2.5,3.05,2.95,2.3,3,3,2.35,3,3,2.3,2.6,3.1,2.4,3.1,3.1,2.3,3.1,3,2.3,3,2.88,2.38,3,2.88,2.5,2.62,3,2.5,23,3.25,2.92,3.1,2.99,2.62,2.44,13,2.56,2.42,1.55,1.5,9,0.25,1.79,1.74,2.2,2.15,,,
G1,29/08/10,Kerkyra,AEK,2,1,H,1,0,H,7,4,1.5,7,3.5,1.48,7,3.75,1.45,5.7,3.8,1.5,6,3.5,1.5,6.5,3.8,1.5,7,3.6,1.5,7,3.75,1.44,7,3.8,1.5,6.5,3.75,1.44,23,8,6.72,4.05,3.74,1.56,1.49,13,2.15,2.08,1.73,1.67,9,1,1.95,1.92,2.01,1.96,,,
G1,29/08/10,PAOK,Panserraikos,3,2,H,1,1,D,1.3,4.75,12,1.3,4.5,9,1.28,4.75,9,1.3,4.8,8.5,1.25,4.5,10,1.25,5,12,1.25,5,11,1.3,4.5,9,1.29,4.6,11,1.28,4.5,8.5,17,1.33,1.28,5.5,4.82,13.63,10.25,15,2.2,2.07,1.82,1.74,8,-1.5,2.04,2.02,1.89,1.86,,,
G1,11/09/10,Aris,Panathinaikos,0,1,A,0,1,A,3.25,3.1,2.3,3.1,3.1,2.3,3,3,2.3,3.1,3.1,2.2,2.88,3,2.25,3.4,3,2.3,3.1,3.1,2.25,3,2.88,2.38,3.12,3,2.3,2.9,3,2.3,19,3.55,3.17,3.2,3.06,2.38,2.28,14,2.65,2.44,1.55,1.5,10,0,2.36,2.23,1.67,1.59,,,
G1,11/09/10,Asteras Tripolis,PAOK,0,0,D,0,0,D,3.75,3.1,2.1,3.7,3.1,2.05,3.6,3,2.05,3.4,3.2,2,3.2,3,2.1,3.8,3.1,2.1,4,3.1,1.95,3.5,2.88,2.1,3.8,3,2.05,3.3,3,2.1,21,4.04,3.68,3.19,3.07,2.12,2.05,15,2.65,2.52,1.57,1.47,11,0,2.95,2.63,1.5,1.44,,,
