Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,29/08/08,Parma,Rimini,1,1,D,1,1,D,1.5,3.25,7.5,1.45,3.6,7,1.55,3.3,6,1.55,3.3,5.2,1.5,3.3,6.5,1.57,3.3,5.75,1.5,3.4,6,1.53,3.4,6.5,1.55,3.4,5.5,,,,23,1.65,1.54,3.58,3.37,7.5,6.21,17,2.12,1.97,1.85,1.79,10,-0.75,1.89,1.86,2.08,2.03
I2,30/08/08,Ascoli,Vicenza,1,0,H,1,0,H,1.91,2.88,4.33,1.68,3.05,5.25,1.9,2.8,4.33,1.85,2.9,4,1.83,2.88,4.33,1.8,3,4.5,1.8,2.9,4.5,1.7,3,5.5,1.85,2.9,4.35,1.83,2.88,4.33,26,1.93,1.83,3.3,2.94,5.5,4.57,17,2.19,2.04,1.8,1.73,10,-0.5,1.93,1.9,2.06,1.98
I2,30/08/08,Avellino,Livorno,1,3,A,0,1,A,4.33,2.88,1.91,3.4,3.05,2.05,3.4,2.9,2.1,3,2.9,2.2,3.6,2.88,2,3.4,2.85,2.15,3.4,2.8,2.1,3.6,2.88,2.1,3.6,2.9,2,3.5,2.75,2.1,14,5.13,4.1,3,2.88,2.01,1.94,9,2.15,2.03,1.74,1.7,4,0.5,1.98,1.94,1.99,1.95
I2,30/08/08,Empoli,Brescia,2,2,D,1,0,H,2.1,2.8,3.8,1.95,3,3.75,2.2,2.8,3.3,2.1,2.8,3.3,2.1,2.8,3.5,2.2,2.85,3.25,2.1,2.9,3.3,2.1,2.88,3.6,2.2,2.8,3.3,2.1,2.8,3.4,28,2.3,2.1,3.17,2.89,4.02,3.5,17,2.28,2.05,1.8,1.7,10,-0.25,1.88,1.82,2.15,2.07
I2,30/08/08,Mantova,Frosinone,2,0,H,0,0,D,1.73,3.1,5,1.72,3.05,4.9,1.7,3,5.25,1.75,3,4.4,1.7,2.88,5.5,1.7,3,5.25,1.75,3,4.5,1.75,2.88,5.5,1.7,2.9,5.5,1.67,3.1,5,26,1.73,1.68,3.51,3.08,6.7,5.52,16,2.14,2.03,1.81,1.75,9,-0.75,1.95,1.92,2.02,1.97
I2,30/08/08,Modena,Albinoleffe,0,2,A,0,0,D,2.3,2.9,3.1,2.3,2.9,3,2.3,2.9,3,2.3,2.8,2.9,2.25,2.75,3.2,2.4,2.85,2.9,2.4,2.75,2.9,2.45,2.8,3,2.3,2.8,3.1,2.4,2.88,2.8,27,2.51,2.36,3.09,2.87,3.24,2.98,17,2.18,2.03,1.8,1.74,10,-0.25,2.13,2.09,1.82,1.8
I2,30/08/08,Piacenza,Cittadella,1,0,H,1,0,H,1.91,3,4.2,1.8,3,4.5,1.85,2.9,4.5,1.8,2.9,4.2,1.8,2.88,4.5,1.85,3,4.2,1.8,3,4.2,1.8,3,4.75,1.9,2.9,4,1.8,3,4.2,28,2.04,1.87,3.08,2.97,4.75,4.27,18,2.2,2.05,1.78,1.72,10,-0.5,2.05,2.01,1.91,1.88
I2,30/08/08,Pisa,Grosseto,1,2,A,1,0,H,2.1,2.8,3.75,1.8,3,4.5,2.1,2.8,3.6,2,2.8,3.6,2,2.8,3.75,2,2.85,3.8,1.9,2.9,4,2,2.75,4.2,2,2.9,3.75,1.91,2.88,4,27,2.2,2.03,3,2.86,4.2,3.78,17,2.31,2.09,1.72,1.67,10,-0.25,1.87,1.85,2.09,2.04
I2,30/08/08,Salernitana,Sassuolo,1,0,H,1,0,H,2.05,3,3.6,1.95,2.95,3.85,2,2.9,3.75,1.9,2.9,3.8,1.91,2.88,4,1.9,2.9,4.2,2,2.9,3.6,2,2.88,4,2,2.9,3.75,2,2.8,3.75,26,2.2,2.01,3,2.89,4.33,3.81,16,2.24,2.05,1.73,1.7,9,-0.5,2.2,2.15,1.77,1.75
I2,30/08/08,Treviso,Ancona,2,2,D,1,1,D,1.91,3,4.33,1.7,3,5.25,2,2.9,3.75,1.85,2.9,4.2,1.8,2.88,4.5,1.85,3,4.2,1.9,3,3.75,1.8,3,4.75,,,,1.83,2.88,4.33,26,2,1.86,3.04,2.95,5.32,4.34,17,2.35,2.1,1.73,1.67,10,-0.5,2,1.96,1.97,1.93
I2,01/09/08,Bari,Triestina,1,1,D,1,0,H,1.73,3.1,5,1.8,2.9,4.75,1.75,2.9,5,1.75,2.9,4.6,1.73,2.88,5,1.75,3,4.8,1.7,3,5,1.75,2.88,5.5,1.75,2.8,5,1.67,3.1,5,23,1.85,1.76,3.1,2.96,5.5,4.9,16,2.25,2.11,1.72,1.66,9,-0.5,1.89,1.86,2.08,2.05
I2,07/09/08,Ancona,Ascoli,0,0,D,0,0,D,2.45,2.8,3,2.6,2.9,2.7,2.6,2.8,2.7,2.5,2.8,2.7,2.5,2.8,2.7,2.6,2.8,2.7,2.5,2.75,2.75,2.5,2.88,2.88,2.25,2.9,3.1,2.5,2.8,2.75,36,2.7,2.5,2.95,2.82,3.32,2.86,24,2.18,2.04,1.75,1.7,13,0,1.8,1.75,2.23,2.1
I2,07/09/08,Cittadella,Salernitana,0,0,D,0,0,D,2.55,2.8,2.9,2.45,2.85,2.95,2.4,2.8,3,2.4,2.8,2.8,2.37,2.8,2.87,2.4,2.8,3,2.3,2.75,3.1,2.4,2.8,3.1,2.25,2.9,3.1,2.3,2.8,3,35,2.57,2.4,2.9,2.82,3.36,3,23,2.25,2.13,1.72,1.65,12,-0.25,2.16,2.12,1.79,1.76
I2,07/09/08,Frosinone,Bari,0,0,D,0,0,D,2.9,2.8,2.5,2.45,2.9,2.85,2.6,2.8,2.7,2.5,2.7,2.8,2.7,2.8,2.5,2.75,2.75,2.6,2.5,2.75,2.75,2.6,2.88,2.75,2.7,2.9,2.5,2.5,2.8,2.75,35,3.28,2.76,2.95,2.81,2.75,2.6,23,2.14,2.04,1.74,1.7,13,0,2.2,2.08,1.8,1.77
I2,07/09/08,Grosseto,Piacenza,3,0,H,1,0,H,1.91,2.9,4.33,1.9,3,4.1,2,2.8,4,2,2.8,3.6,1.9,2.87,4,1.9,3,4,1.95,2.9,3.75,1.91,2.88,4.33,1.9,2.9,4,2,2.88,3.6,36,2.04,1.93,3.08,2.9,4.62,4.09,24,2.25,2.07,1.8,1.69,13,-0.5,2.06,1.98,1.92,1.88
I2,07/09/08,Livorno,Mantova,1,1,D,0,0,D,1.8,3,4.75,1.7,3.15,5.1,1.85,3,4.25,1.8,3,4,1.8,2.87,4.5,1.75,3.1,4.5,1.8,3,4.2,1.8,2.88,5,1.8,3,4.35,1.73,3.1,4.5,34,1.85,1.78,3.15,3,5.5,4.67,23,2.21,2.02,1.75,1.71,13,-0.5,1.86,1.81,2.13,2.04
I2,07/09/08,Rimini,Modena,4,3,H,2,2,D,1.7,3.1,5.25,1.67,3.1,5.5,1.7,3,5.25,1.65,3.1,4.8,1.72,2.87,5,1.7,3.1,5,1.75,3,4.5,1.62,3.2,6,1.65,3.2,5,1.62,3.1,5.5,35,1.73,1.64,3.49,3.14,6.77,5.67,23,2.11,2,1.83,1.75,12,-0.75,1.86,1.83,2.08,2.03
I2,07/09/08,Triestina,Avellino,3,1,H,2,1,H,1.57,3.2,6.5,1.6,3.3,5.75,1.6,3.2,5.75,1.6,3.2,5,1.57,3.1,6,1.6,3.25,5.5,1.6,3.2,5.3,1.57,3.25,6.5,1.7,3.2,4.5,1.57,3.25,5.5,33,1.91,1.64,3.4,3.2,6.5,5.48,21,2.12,2,1.9,1.76,12,-0.75,2.15,2.04,1.9,1.83
I2,08/09/08,Vicenza,Empoli,1,1,D,0,0,D,3.3,2.8,2.25,3,2.95,2.35,3,2.8,2.4,2.9,2.8,2.3,2.8,2.87,2.37,3,2.8,2.4,2.75,2.75,2.5,3.1,2.9,2.3,2.9,2.8,2.4,2.88,2.8,2.4,34,3.4,3.03,2.95,2.83,2.55,2.35,23,2.23,2.04,1.75,1.7,10,0.25,1.94,1.93,1.98,1.95
I2,12/09/08,Piacenza,Livorno,1,1,D,0,1,A,3.8,2.88,2.15,3.3,2.9,2.2,3.25,2.8,2.25,2.8,2.8,2.4,3,2.88,2.25,3.1,2.85,2.3,3,2.75,2.35,3.25,2.88,2.25,3.2,2.8,2.2,3.1,2.8,2.25,34,3.85,3.35,2.94,2.83,2.35,2.21,25,2.21,2.05,1.75,1.7,11,0.25,2,1.95,1.95,1.91
I2,13/09/08,Avellino,Cittadella,0,0,D,0,0,D,2.15,3,3.4,2.2,2.9,3.3,2.1,2.9,3.4,2.1,2.7,3.5,2.1,2.8,3.4,2.2,2.85,3.3,2.15,2.8,3.3,2.3,2.8,3.2,2.1,2.8,3.5,2.1,2.88,3.3,34,2.58,2.24,2.95,2.83,3.5,3.27,24,2.21,2.09,1.8,1.68,12,-0.25,2.17,2.11,1.8,1.76
