Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
I2,23/08/13,Reggina,Bari,0,0,D,0,0,D,2.38,3,3.25,2.3,2.95,3.25,2.3,3,2.9,,,,2.4,3.17,3.37,2.38,3.1,2.9,2.38,3,3.13,2.38,3.12,3.2,31,2.4,2.27,3.2,3.03,3.5,3.2,19,2.3,2.24,1.69,1.61,15,0,1.66,1.61,2.43,2.31
I2,24/08/13,Avellino,Novara,2,1,H,1,0,H,2.88,3,2.63,2.85,2.95,2.55,2.7,3,2.5,2.75,2.9,2.5,3.01,3.06,2.69,2.8,3,2.5,2.88,3,2.5,3,3,2.6,31,3.01,2.84,3.15,2.98,2.69,2.53,19,2.38,2.21,1.72,1.62,15,0,2.11,2.03,1.85,1.8
I2,24/08/13,Brescia,Virtus Lanciano,2,2,D,1,1,D,1.73,3.5,5,1.65,3.5,5.25,1.65,3.3,4.9,,,,1.76,3.49,5.67,1.73,3.4,4.6,1.73,3.4,4.8,1.75,3.5,5.2,31,1.76,1.7,3.7,3.4,5.67,4.92,21,2.23,2.14,1.76,1.68,14,-0.5,1.76,1.72,2.25,2.17
I2,24/08/13,Empoli,Latina,3,1,H,3,0,H,1.67,3.4,6,1.6,3.45,6,1.6,3.4,5.2,1.62,3.4,5.25,1.66,3.67,6.39,1.65,3.5,5,1.62,3.4,5.8,1.65,3.6,5.75,31,1.73,1.64,3.7,3.47,6.39,5.45,27,2.15,2.06,1.83,1.75,14,-0.75,1.89,1.84,2.08,2.03
I2,24/08/13,Modena,Palermo,1,1,D,0,1,A,3.3,3.2,2.2,3.5,2.95,2.2,3.1,3,2.2,3.5,3,2.05,3.88,3.18,2.18,3.3,3.1,2.15,3.5,3,2.1,3.6,3.2,2.15,29,3.71,3.37,3.3,3.07,2.26,2.15,19,2.34,2.23,1.69,1.62,14,0.25,2.04,2.01,1.92,1.86
I2,24/08/13,Padova,Trapani,0,2,A,0,0,D,1.91,3.4,4,1.95,3.25,3.85,2,2.9,3.7,1.91,3.2,3.8,2.01,3.28,4.4,2,3.2,3.6,1.95,3.25,3.8,1.95,3.4,4,31,2.04,1.95,3.4,3.18,4.5,3.89,21,2.24,2.15,1.75,1.67,14,-0.5,2.02,1.98,1.92,1.88
I2,24/08/13,Pescara,Juve Stabia,3,0,H,2,0,H,1.83,3.4,4.5,1.75,3.45,4.55,1.75,3.1,4.5,,,,1.83,3.43,5.18,1.8,3.25,4.4,1.8,3.3,4.8,1.8,3.4,5,31,1.85,1.78,3.43,3.29,5.18,4.55,21,2.2,2.12,1.77,1.68,14,-0.5,1.83,1.79,2.12,2.08
I2,24/08/13,Siena,Crotone,5,2,H,3,0,H,1.7,3.4,5.5,1.6,3.6,5.75,1.65,3.3,4.9,1.62,3.4,5.25,1.67,3.62,6.48,1.65,3.5,5,1.62,3.5,5.75,1.67,3.6,5.75,31,1.7,1.64,3.62,3.47,6.48,5.4,27,2.21,2.11,1.82,1.7,14,-1,2.26,2.16,1.74,1.7
I2,24/08/13,Spezia,Cittadella,0,0,D,0,0,D,1.8,3.4,4.75,1.8,3.25,4.6,1.85,3.1,4,,,,1.85,3.41,5.01,1.83,3.25,4.2,1.8,3.3,4.5,1.83,3.4,4.75,31,1.91,1.81,3.5,3.31,5.25,4.41,27,2.19,2.09,1.83,1.72,14,-0.5,1.86,1.82,2.12,2.05
I2,24/08/13,Ternana,Carpi,1,0,H,1,0,H,1.73,3.4,5.25,1.75,3.3,4.8,1.8,3.1,4.3,1.75,3.2,4.75,1.79,3.46,5.5,1.75,3.3,4.6,1.73,3.3,5,1.75,3.4,5.2,31,1.83,1.74,3.46,3.28,5.5,4.87,19,2.38,2.21,1.7,1.62,14,-0.5,1.79,1.74,2.18,2.13
