Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
N1,17/08/01,Twente,Waalwijk,1,0,H,1,0,H,,,,1.8,3,3.5,,,,1.83,3.4,3.5,1.8,3.5,3.4
N1,18/08/01,Graafschap,AZ Alkmaar,3,0,H,2,0,H,,,,2,3,2.9,,,,2.2,3.25,2.75,2.25,3.3,2.55
N1,18/08/01,Den Bosch,Heerenveen,0,0,D,0,0,D,,,,2.8,3,2.1,,,,2.62,3.25,2.3,2.55,3.3,2.25
N1,18/08/01,Groningen,PSV Eindhoven,2,2,D,1,0,H,,,,5,3.5,1.45,,,,6,3.75,1.44,4.4,3.5,1.6
N1,18/08/01,NAC Breda,Utrecht,1,0,H,0,0,D,,,,2.2,2.9,2.7,,,,2.25,3.25,2.7,2.25,3.3,2.55
N1,19/08/01,Ajax,Roda JC,1,1,D,0,0,D,,,,1.6,3.3,4,,,,1.57,3.5,5,1.55,3.6,4.6
N1,19/08/01,Feyenoord,Sparta,5,0,H,2,0,H,,,,1.25,4.3,8,,,,1.25,5,8,1.3,4.2,7.5
N1,19/08/01,For Sittard,Vitesse,0,0,D,0,0,D,,,,3.3,3,1.85,,,,3.1,3.3,2,2.65,3.5,2.1
N1,19/08/01,Willem II,Nijmegen,3,1,H,3,0,H,,,,1.6,3.3,4,,,,1.67,3.4,4.33,1.55,3.6,4.6
N1,21/08/01,NAC Breda,Twente,3,3,D,1,0,H,,,,2.2,3,2.6,,,,,,,2.1,3.3,2.8
N1,22/08/01,For Sittard,Graafschap,2,1,H,2,0,H,,,,2.1,3,2.8,,,,,,,2.2,3.35,2.6
N1,22/08/01,Groningen,Willem II,1,0,H,0,0,D,,,,2.35,3,2.35,,,,,,,2.35,3.3,2.45
N1,22/08/01,Nijmegen,Waalwijk,1,0,H,1,0,H,,,,2.3,3,2.4,,,,,,,2.35,3.3,2.45
N1,22/08/01,PSV Eindhoven,Den Bosch,3,2,H,1,1,D,,,,1.1,7,14,,,,,,,1.15,5.5,12
N1,22/08/01,Roda JC,Feyenoord,0,2,A,0,1,A,,,,2.2,3,2.6,,,,,,,2.5,3.3,2.3
N1,22/08/01,Sparta,Utrecht,3,1,H,1,0,H,,,,2.35,3,2.35,,,,,,,2.6,3.35,2.2
N1,22/08/01,Vitesse,AZ Alkmaar,1,0,H,0,0,D,,,,1.4,3.6,5.5,,,,1.45,3.8,5.5,,,
N1,24/08/01,Heerenveen,NAC Breda,5,0,H,2,0,H,,,,1.7,3.1,3.8,,,,,,,1.7,3.5,3.8
N1,25/08/01,AZ Alkmaar,Sparta,3,0,H,1,0,H,,,,1.6,3.3,4,,,,1.73,3.4,4,1.65,3.5,4.1
N1,25/08/01,Graafschap,Nijmegen,1,1,D,1,0,H,,,,2.1,2.9,2.9,,,,2.1,3.2,3,1.85,3.45,3.25
N1,25/08/01,Twente,Roda JC,3,0,H,2,0,H,,,,2.3,2.9,2.5,,,,2.25,3.2,2.7,2.25,3.3,2.55
N1,25/08/01,Vitesse,Utrecht,1,0,H,0,0,D,,,,1.7,3.1,3.8,,,,1.73,3.4,4,1.7,3.5,3.8
N1,25/08/01,Willem II,PSV Eindhoven,3,1,H,1,0,H,,,,3.3,3,1.85,,,,3.5,3.5,1.8,3.6,3.4,1.8
N1,26/08/01,Den Bosch,For Sittard,4,0,H,2,0,H,,,,2.1,2.9,2.9,,,,2,3.2,3.2,1.9,3.4,3.15
N1,26/08/01,Feyenoord,Ajax,1,2,A,0,0,D,,,,1.9,2.9,3.2,,,,1.91,3.3,3.3,1.9,3.4,3.3
N1,26/08/01,Waalwijk,Groningen,4,0,H,4,0,H,,,,1.6,3.3,4,,,,1.67,3.4,4.33,1.7,3.5,3.8
N1,07/09/01,Heerenveen,Vitesse,1,1,D,1,0,H,,,,2.3,2.9,2.5,2.2,3.3,2.75,2.38,3.25,2.5,2.2,3.35,2.6
N1,08/09/01,AZ Alkmaar,NAC Breda,2,1,H,0,0,D,,,,1.9,2.9,3.2,2.1,3.25,2.9,2.1,3.3,2.88,1.95,3.4,3
N1,08/09/01,Nijmegen,Feyenoord,0,3,A,0,1,A,,,,3.5,3,1.8,3.6,3.4,1.8,3.6,3.4,1.8,3.9,3.4,1.7
N1,08/09/01,PSV Eindhoven,For Sittard,3,0,H,0,0,D,,,,1.2,4.7,9,1.22,5,9,1.2,5.5,9,1.2,5.2,9
N1,08/09/01,Roda JC,Graafschap,0,1,A,0,0,D,,,,1.55,3.3,4.5,1.44,3.75,6,1.44,3.75,6,1.45,3.75,5.5
N1,08/09/01,Twente,Ajax,0,2,A,0,1,A,,,,2.4,2.9,2.4,2.62,3.3,2.25,2.62,3.1,2.38,2.7,3.3,2.15
N1,09/09/01,Sparta,Waalwijk,0,0,D,0,0,D,,,,2.3,3.1,2.3,2.4,3.4,2.4,2.5,3.2,2.4,2.3,3.3,2.5
N1,09/09/01,Utrecht,Groningen,3,1,H,1,1,D,,,,1.6,3.3,4,1.7,3.4,4.2,1.73,3.4,4,1.55,3.85,4.25
N1,09/09/01,Willem II,Den Bosch,1,1,D,1,0,H,,,,1.4,3.6,5.5,1.5,3.6,5.5,1.5,3.6,5.5,1.55,3.75,4.4
N1,14/09/01,For Sittard,Willem II,1,2,A,0,0,D,,,,2.35,3,2.35,2.62,3.3,2.25,,,,2.4,3.3,2.35
N1,15/09/01,Feyenoord,Graafschap,2,0,H,2,0,H,,,,1.3,4,7,1.25,4.8,8.5,1.25,5,8,1.25,5.4,6.5
N1,15/09/01,NAC Breda,PSV Eindhoven,2,0,H,1,0,H,,,,3.9,3.2,1.65,4,3.25,1.75,4,3.4,1.73,3.75,3.55,1.7
N1,15/09/01,Vitesse,Sparta,1,1,D,1,0,H,,,,1.25,4.3,8,1.36,3.75,8,1.3,4.33,8,1.35,4.2,6.3
N1,16/09/01,Ajax,AZ Alkmaar,1,0,H,0,0,D,,,,1.25,4.3,8,1.25,4.75,8.5,1.3,4.33,8,1.35,4.2,6.3
N1,16/09/01,Den Bosch,Nijmegen,2,1,H,0,1,A,,,,1.8,3,3.5,2,3.2,3.2,2.1,3.2,3,1.9,3.4,3.15
N1,16/09/01,Groningen,Twente,3,0,H,2,0,H,,,,2.8,3,2.1,2.4,3.4,2.4,2.38,3.25,2.5,2.3,3.35,2.45
N1,16/09/01,Waalwijk,Heerenveen,2,1,H,1,1,D,,,,2,2.9,3,2.25,3.2,2.7,2.2,3.4,2.62,2.1,3.35,2.75
N1,16/09/01,Utrecht,Roda JC,4,1,H,4,1,H,,,,2,3,2.9,2.1,3.25,2.9,2.1,3.3,2.88,2,3.4,2.9
N1,21/09/01,Roda JC,Den Bosch,4,1,H,2,0,H,,,,1.6,3.3,4,1.8,3.5,3.5,,,,1.7,3.5,3.8
N1,22/09/01,Heerenveen,PSV Eindhoven,4,1,H,2,1,H,,,,2.8,3,2.1,2.75,3.25,2.2,,,,2.8,3.4,2.1
N1,22/09/01,Waalwijk,For Sittard,1,0,H,0,0,D,,,,1.45,3.5,5,1.5,3.6,5.5,,,,1.5,3.5,5.5
N1,23/09/01,Ajax,Sparta,3,0,H,3,0,H,,,,1.25,4.3,8,1.25,4.6,9,,,,1.25,4.5,9
N1,23/09/01,AZ Alkmaar,Utrecht,1,0,H,0,0,D,,,,2.1,2.9,2.9,1.91,3.4,3.25,,,,2.1,3.25,2.85
N1,23/09/01,Graafschap,Vitesse,0,2,A,0,1,A,,,,2.9,3,2,2.6,3.1,2.38,,,,2.5,3.25,2.35
N1,23/09/01,Nijmegen,Groningen,1,0,H,0,0,D,,,,2,2.9,3,2,3.25,3.2,,,,1.9,3.4,3.2
N1,28/09/01,Graafschap,NAC Breda,4,2,H,1,2,A,,,,1.9,3,3.1,2.1,3.3,2.9,,,,2.1,3.4,2.75
N1,29/09/01,For Sittard,Nijmegen,2,2,D,1,0,H,,,,2.2,2.9,2.7,2.2,3.2,2.8,,,,2.35,3.3,2.45
N1,29/09/01,PSV Eindhoven,Vitesse,0,2,A,0,2,A,,,,1.6,3.2,4.2,1.62,3.5,4.5,,,,1.57,3.5,5
N1,29/09/01,Willem II,AZ Alkmaar,2,2,D,0,1,A,,,,1.5,3.4,4.7,1.67,3.4,4.33,,,,1.75,3.5,3.6
