Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,,,,,
N1,13/08/04,Roda JC,Vitesse,2,3,A,2,1,H,1.66,3.4,4.5,1.6,3.6,4.75,1.7,3.4,4.4,1.7,3.3,4,,,,1.67,3.4,4.33,1.66,3.3,4.5,1.65,2,1.7,1.392,-0.5,,,,,,,,,,,
N1,14/08/04,AZ Alkmaar,Heerenveen,1,1,D,1,0,H,1.9,3.25,3.5,1.95,3.35,3.3,1.9,3.25,3.5,1.9,3.2,3.4,,,,1.91,3.25,3.4,1.8,3.3,3.75,1.6,2.1,1.9,1.69,-0.5,,,,,,,,,,,
N1,14/08/04,NAC Breda,Utrecht,3,2,H,1,2,A,2,3.25,3.25,1.9,3.4,3.4,1.91,3.25,3.5,2.2,3,2.9,,,,1.91,3.25,3.4,2,3.2,3.2,1.65,2,1.91,1.69,-0.5,,,,,,,,,,,
N1,14/08/04,Nijmegen,Willem II,2,0,H,2,0,H,2.2,3.25,2.8,2.2,3.25,2.85,2.2,3.2,2.9,2.1,3.1,3,,,,2.25,3.2,2.75,2.25,3.2,2.75,1.71,1.95,2.2,1.52,-0.5,,,,,,,,,,,
N1,14/08/04,Roosendaal,PSV Eindhoven,2,5,A,2,1,H,5,3.6,1.57,4.5,3.55,1.65,5,3.5,1.6,3.8,3.3,1.75,,,,4.75,3.4,1.62,6,3.4,1.5,1.6,2.1,2.06,1.6,0.5,,,,,,,,,,,
N1,15/08/04,Den Bosch,Den Haag,1,0,H,0,0,D,2.2,3.25,2.8,2.1,3.3,3,2.2,3.2,2.9,2.3,3,2.7,,,,2.25,3.2,2.75,2.15,3.3,2.8,1.71,1.95,2.2,1.52,-0.5,,,,,,,,,,,
N1,15/08/04,Feyenoord,Graafschap,6,1,H,2,1,H,1.16,5.5,13,1.25,5.25,8,1.2,5.5,11,1.2,5,10,,,,1.17,5.5,11,1.16,6,10,,,1.2,3.67,-0.5,,,,,,,,,,,
N1,15/08/04,Groningen,Waalwijk,0,0,D,0,0,D,2.1,3.25,3,2,3.35,3.2,2.1,3.25,3.05,2.2,3,2.9,,,,2.1,3.2,3,1.95,3.3,3.25,1.75,1.9,2.1,1.57,-0.5,,,,,,,,,,,
N1,15/08/04,Twente,Ajax,2,3,A,0,2,A,4,3.5,1.72,4,3.45,1.75,4.3,3.4,1.7,3.8,3.3,1.75,,,,4.33,3.4,1.67,4.5,3.5,1.61,1.65,2,1.9,1.7,0.5,,,,,,,,,,,
N1,20/08/04,Vitesse,Groningen,1,0,H,1,0,H,1.8,3.3,3.75,1.8,3.3,3.75,1.83,3.25,3.9,1.8,3.1,3.8,,,,1.8,3.25,3.8,1.72,3.4,4,1.65,2,1.83,1.77,-0.5,,,,,,,,,,,
