Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
SC0,02/08/97,Aberdeen,Kilmarnock,0,0,D,0,0,D,,,,,,,,,,,
SC0,02/08/97,Dunfermline,Motherwell,0,2,A,0,0,D,,,,,,,,,,,
SC0,02/08/97,St Johnstone,Dundee United,1,1,D,0,1,A,,,,,,,,,,,
SC0,03/08/97,Hibernian,Celtic,2,1,H,1,1,D,,,,,,,,,,,
SC0,04/08/97,Rangers,Hearts,3,1,H,2,0,H,,,,,,,,,,,
SC0,16/08/97,Celtic,Dunfermline,1,2,A,1,0,H,,,,,,,,,,,
SC0,16/08/97,Hearts,Aberdeen,4,1,H,3,1,H,,,,,,,,,,,
SC0,16/08/97,Motherwell,St Johnstone,0,1,A,0,0,D,,,,,,,,,,,
SC0,17/08/97,Dundee United,Hibernian,1,1,D,1,0,H,,,,,,,,,,,
SC0,23/08/97,Aberdeen,Motherwell,1,3,A,1,2,A,,,,,,,,,,,
SC0,23/08/97,Dunfermline,Hearts,2,1,H,0,0,D,,,,,,,,,,,
SC0,23/08/97,Hibernian,Kilmarnock,4,0,H,2,0,H,,,,,,,,,,,
SC0,23/08/97,Rangers,Dundee United,5,1,H,3,0,H,,,,,,,,,,,
SC0,23/08/97,St Johnstone,Celtic,0,2,A,0,1,A,,,,,,,,,,,
SC0,30/08/97,Aberdeen,Dundee United,1,1,D,1,1,D,,,,,,,,,,,
SC0,30/08/97,Dunfermline,St Johnstone,2,2,D,1,0,H,,,,,,,,,,,
SC0,30/08/97,Hibernian,Hearts,0,1,A,0,1,A,,,,,,,,,,,
SC0,13/09/97,Dundee United,Kilmarnock,1,2,A,0,1,A,,,,,,,,,,,
SC0,13/09/97,Hibernian,Dunfermline,5,2,H,3,1,H,,,,,,,,,,,
SC0,13/09/97,Motherwell,Celtic,2,3,A,1,0,H,,,,,,,,,,,
SC0,13/09/97,Rangers,Aberdeen,3,3,D,1,0,H,,,,,,,,,,,
SC0,13/09/97,St Johnstone,Hearts,1,2,A,0,1,A,,,,,,,,,,,
SC0,20/09/97,Celtic,Aberdeen,2,0,H,2,0,H,,,,,,,,,,,
SC0,20/09/97,Hearts,Dundee United,2,1,H,1,1,D,,,,,,,,,,,
SC0,20/09/97,Motherwell,Hibernian,1,1,D,0,0,D,,,,,,,,,,,
SC0,20/09/97,St Johnstone,Rangers,0,2,A,0,1,A,,,,,,,,,,,
SC0,21/09/97,Dunfermline,Kilmarnock,1,1,D,0,0,D,,,,,,,,,,,
SC0,24/09/97,Kilmarnock,Rangers,0,3,A,0,0,D,,,,,,,,,,,
SC0,27/09/97,Aberdeen,Dunfermline,1,2,A,1,1,D,,,,,,,,,,,
SC0,27/09/97,Dundee United,Celtic,1,2,A,0,2,A,,,,,,,,,,,
SC0,27/09/97,Hibernian,St Johnstone,1,1,D,1,1,D,,,,,,,,,,,
SC0,27/09/97,Kilmarnock,Hearts,0,3,A,0,3,A,,,,,,,,,,,
