Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
SC1,13/08/95,Airdrie,Dunfermline,0,1,A,,,,,,,,,,,,,,,,,,,,,
SC1,13/08/95,Clydebank,St Mirren,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,13/08/95,Dumbarton,Hamilton,1,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,13/08/95,Dundee United,Morton,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,13/08/95,St Johnstone,Dundee,0,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,26/08/95,Dundee,Airdrie,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,26/08/95,Dunfermline,Dundee United,3,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,26/08/95,Morton,Dumbarton,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,26/08/95,St Mirren,St Johnstone,0,0,D,,,,,,,,,,,,,,,,,,,,,
SC1,27/08/95,Hamilton,Clydebank,0,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,02/09/95,Airdrie,St Mirren,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,02/09/95,Clydebank,Dundee,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,02/09/95,Dumbarton,Dunfermline,0,4,A,,,,,,,,,,,,,,,,,,,,,
SC1,02/09/95,Dundee United,Hamilton,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,02/09/95,St Johnstone,Morton,0,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,09/09/95,Dumbarton,Airdrie,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,09/09/95,Dundee United,St Mirren,1,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,09/09/95,Dunfermline,Clydebank,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,09/09/95,Hamilton,St Johnstone,0,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,09/09/95,Morton,Dundee,2,2,D,,,,,,,,,,,,,,,,,,,,,
SC1,16/09/95,Airdrie,Morton,3,2,H,,,,,,,,,,,,,,,,,,,,,
SC1,16/09/95,Clydebank,Dundee United,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,16/09/95,Dundee,Hamilton,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,16/09/95,St Johnstone,Dumbarton,4,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,16/09/95,St Mirren,Dunfermline,0,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,23/09/95,Dumbarton,Dundee,1,5,A,,,,,,,,,,,,,,,,,,,,,
SC1,23/09/95,Dundee United,Airdrie,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,23/09/95,Hamilton,St Mirren,2,2,D,,,,,,,,,,,,,,,,,,,,,
SC1,23/09/95,Morton,Dunfermline,2,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,23/09/95,St Johnstone,Clydebank,2,2,D,,,,,,,,,,,,,,,,,,,,,
SC1,30/09/95,Airdrie,Hamilton,0,0,D,,,,,,,,,,,,,,,,,,,,,
SC1,30/09/95,Clydebank,Dumbarton,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,30/09/95,Dundee,Dundee United,2,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,30/09/95,Dunfermline,St Johnstone,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,30/09/95,St Mirren,Morton,1,4,A,,,,,,,,,,,,,,,,,,,,,
SC1,07/10/95,Clydebank,Morton,1,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,07/10/95,Dumbarton,Dundee United,1,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,07/10/95,Dundee,St Mirren,3,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,07/10/95,Hamilton,Dunfermline,1,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,07/10/95,St Johnstone,Airdrie,1,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,14/10/95,Airdrie,Clydebank,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,14/10/95,Dundee United,St Johnstone,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,14/10/95,Dunfermline,Dundee,0,1,A,,,,,,,,,,,,,,,,,,,,,
SC1,14/10/95,Morton,Hamilton,2,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,14/10/95,St Mirren,Dumbarton,3,2,H,,,,,,,,,,,,,,,,,,,,,
SC1,21/10/95,Dundee,Clydebank,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,21/10/95,Dunfermline,Dumbarton,3,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,21/10/95,Hamilton,Dundee United,0,1,A,,,,,,,,,,,,,,,,,,,,,
SC1,21/10/95,Morton,St Johnstone,4,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,21/10/95,St Mirren,Airdrie,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,28/10/95,Airdrie,Dundee,2,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,28/10/95,Clydebank,Hamilton,2,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,28/10/95,Dumbarton,Morton,0,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,28/10/95,Dundee United,Dunfermline,3,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,28/10/95,St Johnstone,St Mirren,0,0,D,,,,,,,,,,,,,,,,,,,,,
SC1,31/10/95,Dundee United,Clydebank,3,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,04/11/95,Dumbarton,St Johnstone,1,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,04/11/95,Dunfermline,St Mirren,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,04/11/95,Hamilton,Dundee,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,04/11/95,Morton,Airdrie,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,11/11/95,Airdrie,Dumbarton,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,11/11/95,Clydebank,Dunfermline,0,4,A,,,,,,,,,,,,,,,,,,,,,
SC1,11/11/95,Dundee,Morton,0,0,D,,,,,,,,,,,,,,,,,,,,,
SC1,11/11/95,St Johnstone,Hamilton,2,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,11/11/95,St Mirren,Dundee United,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,18/11/95,Dumbarton,Clydebank,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,18/11/95,Dundee United,Dundee,2,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,18/11/95,Hamilton,Airdrie,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,18/11/95,Morton,St Mirren,0,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,18/11/95,St Johnstone,Dunfermline,1,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,25/11/95,Airdrie,Dundee United,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,25/11/95,Clydebank,St Johnstone,2,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,25/11/95,Dunfermline,Morton,0,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,25/11/95,St Mirren,Hamilton,0,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,02/12/95,Airdrie,St Johnstone,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,02/12/95,Dundee United,Dumbarton,8,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,02/12/95,Dunfermline,Hamilton,4,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,02/12/95,Morton,Clydebank,3,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,02/12/95,St Mirren,Dundee,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,09/12/95,Dumbarton,St Mirren,0,0,D,,,,,,,,,,,,,,,,,,,,,
SC1,09/12/95,Dundee,Dunfermline,2,4,A,,,,,,,,,,,,,,,,,,,,,
SC1,09/12/95,Hamilton,Morton,2,3,A,,,,,,,,,,,,,,,,,,,,,
SC1,09/12/95,St Johnstone,Dundee United,0,0,D,,,,,,,,,,,,,,,,,,,,,
SC1,12/12/95,Dundee,Dumbarton,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,16/12/95,Dundee,St Johnstone,0,1,A,,,,,,,,,,,,,,,,,,,,,
SC1,16/12/95,Dunfermline,Airdrie,2,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,16/12/95,Hamilton,Dumbarton,3,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,16/12/95,Morton,Dundee United,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,16/12/95,St Mirren,Clydebank,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,26/12/95,Dundee United,Hamilton,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,30/12/95,Dundee United,Airdrie,2,2,D,,,,,,,,,,,,,,,,,,,,,
SC1,06/01/96,Clydebank,Dundee United,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,06/01/96,Dundee,Hamilton,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,06/01/96,St Johnstone,Dumbarton,3,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,06/01/96,St Mirren,Dunfermline,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,09/01/96,Clydebank,Airdrie,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC1,09/01/96,Dundee,Dundee United,0,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,09/01/96,St Johnstone,Morton,6,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,13/01/96,Dumbarton,Airdrie,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC1,13/01/96,Dundee United,St Mirren,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,13/01/96,Dunfermline,Clydebank,4,3,H,,,,,,,,,,,,,,,,,,,,,
SC1,13/01/96,Hamilton,St Johnstone,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC1,13/01/96,Morton,Dundee,1,0,H,,,,,,,,,,,,,,,,,,,,,
SC1,16/01/96,Airdrie,St Mirren,1,2,A,,,,,,,,,,,,,,,,,,,,,
