Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA
SC3,09/08/03,Albion Rvs,Stranraer,1,1,D,1,1,D,2.2,3.4,2.625,2.25,3.4,2.6,,,,2.2,3.5,2.625,,,,2.2,3.4,2.62,2.25,3.4,2.6
SC3,09/08/03,Elgin,East Stirling,3,1,H,2,0,H,1.8,3.5,3.5,1.9,3.5,3.2,,,,1.833,3.5,3.4,,,,2,3.4,3,2,3.4,3
SC3,09/08/03,Gretna,Queens Park,1,1,D,0,0,D,1.8,3.5,3.5,1.75,3.6,3.65,,,,1.727,3.5,3.75,,,,1.75,3.6,3.6,1.83,3.6,3.3
SC3,09/08/03,Montrose,Peterhead,0,1,A,0,1,A,2.75,3.5,2.1,2.8,3.4,2.1,,,,3.2,3.5,1.909,,,,2.8,3.4,2.1,3,3.4,2
SC3,09/08/03,Stirling,Cowdenbeath,0,0,D,0,0,D,2.25,3.5,2.5,2.2,3.4,2.65,,,,2,3.4,3,,,,2.2,3.5,2.62,2.2,3.5,2.62
SC3,16/08/03,Cowdenbeath,Albion Rvs,1,4,A,0,3,A,2.25,3.5,2.5,2.25,3.5,2.5,,,,2.375,3.5,2.375,,,,2.3,3.4,2.5,2.4,3.4,2.4
SC3,16/08/03,East Stirling,Montrose,1,1,D,0,0,D,2.75,3.5,2.1,2.7,3.5,2.1,,,,2.875,3.6,2,,,,2.87,3.6,2,2.87,3.6,2
SC3,16/08/03,Peterhead,Gretna,2,0,H,2,0,H,1.833,3.5,3.4,1.8,3.5,3.45,,,,1.8,3.5,3.5,,,,1.85,3.5,3.3,1.9,3.6,3.1
SC3,16/08/03,Queens Park,Elgin,5,2,H,2,1,H,2.2,3.5,2.6,2,3.4,3,,,,2,3.4,3,,,,2,3.4,3,2.25,3.6,2.5
SC3,16/08/03,Stranraer,Stirling,0,1,A,0,1,A,2,3.4,3,2.05,3.45,2.85,,,,2,3.4,3,,,,2.05,3.5,2.87,2.2,3.5,2.62
SC3,23/08/03,Albion Rvs,Queens Park,3,1,H,2,0,H,1.8,3.5,3.5,1.8,3.5,3.5,,,,1.727,3.5,3.75,,,,1.75,3.6,3.6,1.72,3.75,3.6
SC3,23/08/03,Elgin,Peterhead,2,3,A,1,2,A,3.75,3.6,1.727,3.6,3.5,1.77,,,,3.5,3.5,1.8,,,,3.4,3.5,1.83,3.6,3.75,1.72
SC3,23/08/03,Gretna,Stranraer,1,1,D,0,0,D,2.2,3.5,2.6,2.15,3.45,2.7,,,,2.1,3.5,2.75,,,,2.1,3.5,2.75,2.25,3.4,2.6
SC3,23/08/03,Montrose,Cowdenbeath,1,3,A,1,1,D,2.375,3.5,2.375,2.4,3.4,2.4,,,,2.5,3.5,2.25,,,,2.37,3.5,2.37,2.37,3.5,2.37
SC3,23/08/03,Stirling,East Stirling,5,1,H,2,1,H,1.571,3.75,4.5,1.5,3.75,5,,,,1.444,4,5.5,,,,1.53,3.6,5,1.53,3.6,5
SC3,30/08/03,East Stirling,Cowdenbeath,1,1,D,0,0,D,3.5,3.5,1.8,3.6,3.4,1.8,,,,3.5,3.5,1.8,,,,3.6,3.6,1.75,4,3.6,1.66
SC3,30/08/03,Gretna,Albion Rvs,3,1,H,2,0,H,2.375,3.5,2.375,2.5,3.4,2.3,,,,2.5,3.5,2.25,,,,2.5,3.4,2.25,2.5,3.4,2.3
SC3,30/08/03,Montrose,Elgin,3,3,D,2,1,H,2.3,3.4,2.5,2.15,3.5,2.65,,,,2.1,3.5,2.75,,,,2.2,3.5,2.6,2.3,3.4,2.5
SC3,30/08/03,Peterhead,Stranraer,1,2,A,0,0,D,1.615,3.6,4.333,1.6,3.5,4.6,,,,1.727,3.5,3.75,,,,1.57,3.75,4.5,1.66,3.6,4
SC3,30/08/03,Queens Park,Stirling,0,2,A,0,2,A,2.5,3.4,2.3,2.5,3.5,2.25,,,,2.5,3.5,2.25,,,,2.5,3.4,2.3,2.6,3.4,2.25
SC3,06/09/03,Albion Rvs,Elgin,1,2,A,1,0,H,1.66,3.6,4,1.65,3.6,4.15,,,,1.615,3.5,4.5,,,,1.7,3.5,4,1.61,3.6,4.33
SC3,13/09/03,Albion Rvs,Montrose,0,1,A,0,0,D,1.66,3.6,4,1.65,3.6,4,,,,1.615,4,4,,,,1.66,3.5,4.2,1.66,3.5,4.2
SC3,13/09/03,Cowdenbeath,Queens Park,0,1,A,0,0,D,2,3.6,2.62,2,3.6,2.85,,,,2.1,3.5,2.75,,,,2,3.6,2.87,2,3.6,2.87
SC3,13/09/03,Elgin,Gretna,3,3,D,2,2,D,2.5,3.4,2.3,2.5,3.4,2.3,,,,2.25,3.5,2.5,,,,2.5,3.4,2.3,2.62,3.5,2.2
SC3,13/09/03,Stirling,Peterhead,3,1,H,0,1,A,2.37,3.5,2.37,2.4,3.4,2.4,,,,2.25,3.4,2.625,,,,2.37,3.5,2.37,2.4,3.4,2.4
SC3,13/09/03,Stranraer,East Stirling,4,0,H,1,0,H,1.44,3.75,6,1.5,3.75,5,,,,1.444,4,5.5,,,,1.44,4,5.5,1.5,3.8,5
SC3,20/09/03,Cowdenbeath,Gretna,0,1,A,0,0,D,2.37,3.5,2.37,2.35,3.35,2.5,,,,2.375,3.5,2.375,,,,2.37,3.5,2.37,2.5,3.4,2.3
SC3,20/09/03,Peterhead,East Stirling,2,0,H,0,0,D,1.33,4.5,6.5,1.32,4.35,7.25,,,,1.25,5,8,,,,1.28,4.5,8,1.28,4.5,8
SC3,20/09/03,Queens Park,Montrose,1,1,D,1,1,D,2.1,3.5,2.75,2.05,3.4,2.9,,,,1.909,3.5,3.2,,,,2,3.6,2.87,2,3.6,2.87
SC3,20/09/03,Stirling,Albion Rvs,2,1,H,1,1,D,1.8,3.5,3.5,1.77,3.5,3.6,,,,1.727,3.75,3.5,,,,1.83,3.6,3.25,2,3.6,2.87
SC3,20/09/03,Stranraer,Elgin,4,3,H,3,1,H,1.8,3.5,3.5,1.8,3.45,3.55,,,,1.8,3.5,3.5,,,,1.8,3.5,3.5,1.8,3.6,3.4
