Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SP1,27/08/11,Granada,Betis,0,1,A,0,0,D,11,18,2,3,12,16,8,5,2,2,0,0,2.3,3.4,3,2.35,3.4,2.85,2.4,3.3,2.8,2.3,3.2,2.8,2.4,3.3,2.88,2.3,3.3,2.75,2.3,3.3,3.1,2.4,3.3,3,2.4,3.5,3,2.4,3.3,2.75,43,2.5,2.37,3.48,3.29,3.15,2.92,42,2.11,2.02,1.88,1.76,19,-0.25,2.09,2.05,1.87,1.83
SP1,27/08/11,Sp Gijon,Sociedad,1,2,A,0,1,A,17,6,4,2,14,11,9,2,2,1,1,1,2.05,3.25,3.75,2.05,3.25,3.6,2,3.2,3.75,2,3.3,3.3,2.1,3.3,3.5,2.1,3.2,3.2,2.1,3.2,3.6,2.15,3.3,3.5,2.1,3.4,4,2.05,3.3,3.4,43,2.15,2.06,3.5,3.3,4.1,3.58,40,2.25,2.1,1.75,1.7,20,-0.5,2.1,2.05,1.86,1.82
SP1,27/08/11,Valencia,Santander,4,3,H,1,2,A,26,4,11,3,14,11,10,3,3,3,0,0,1.4,4.33,8,1.45,4.2,7,1.45,4.25,6.5,1.5,3.8,5.7,1.44,4.2,7.5,1.44,4,6.5,1.44,4,8,1.44,4.33,7.5,1.44,4.5,8.5,1.44,4,7,43,1.5,1.43,4.57,4.22,8.57,7.43,40,1.87,1.76,2.1,2,21,-1.25,2.08,2.03,1.87,1.84
SP1,28/08/11,Ath Bilbao,Vallecano,1,1,D,0,0,D,10,13,4,6,17,19,9,4,1,3,0,0,1.57,3.75,6,1.62,3.8,5.25,1.57,3.6,6,1.6,3.6,5,1.62,3.75,5.5,1.53,3.6,6,1.6,3.6,6,1.62,4,5.5,1.62,4,6.5,1.62,3.75,5,43,1.65,1.58,4.08,3.76,7,5.9,42,1.91,1.82,2.05,1.95,21,-1,2.05,2,1.92,1.86
SP1,28/08/11,Ath Madrid,Osasuna,0,0,D,0,0,D,28,16,8,2,9,8,12,5,1,0,0,0,1.53,3.8,6.5,1.55,3.8,6.25,1.55,3.75,6,1.5,3.8,5.7,1.57,3.75,6,1.5,3.75,6,1.57,3.75,6,1.57,4,6,1.57,4,6.5,1.57,3.75,5.5,43,1.63,1.56,4.01,3.79,7,6.14,42,1.97,1.85,2.05,1.91,22,-1,2.15,2.04,1.9,1.82
SP1,28/08/11,Getafe,Levante,1,1,D,0,0,D,8,9,2,1,15,6,1,4,5,3,0,0,1.8,3.5,4.5,1.75,3.5,4.75,1.8,3.3,4.5,1.85,3.4,3.8,1.83,3.4,4.5,1.8,3.5,3.8,1.8,3.5,4.5,1.8,3.75,4.33,1.8,3.6,5,1.83,3.4,4,43,1.85,1.79,3.75,3.47,5.05,4.47,42,2.05,1.95,1.91,1.82,20,-0.75,2.12,2.04,1.88,1.83
SP1,28/08/11,Mallorca,Espanol,1,0,H,0,0,D,11,9,4,3,21,15,5,4,2,3,0,0,2,3.4,3.75,2.05,3.3,3.6,2,3.2,3.75,2,3.3,3.3,2.1,3.3,3.5,2,3.35,3.4,2,3.2,4,2.1,3.25,3.6,2.05,3.4,4,2.1,3.3,3.3,43,2.1,2.03,3.5,3.29,4.1,3.67,41,2.16,2.05,1.8,1.73,20,-0.5,2.09,2.02,1.88,1.84
SP1,28/08/11,Sevilla,Malaga,2,1,H,2,0,H,15,6,9,1,15,7,2,8,3,1,0,0,2.1,3.4,3.4,2.25,3.2,3.4,2.1,3.25,3.4,1.85,3.4,3.8,2,3.2,4,1.9,3.4,3.6,2.1,3.2,3.6,2.1,3.4,3.4,2.15,3.3,3.75,2.05,3.4,3.4,43,2.2,2.11,3.52,3.3,3.75,3.44,40,1.8,1.72,2.16,2.06,19,-0.25,1.9,1.87,2.05,2
SP1,28/08/11,Zaragoza,Real Madrid,0,6,A,0,2,A,8,39,1,16,16,16,7,9,2,1,0,0,8.5,5,1.33,8.25,5.5,1.34,9,5,1.3,8,5,1.3,9,5,1.33,10,5,1.25,10,5,1.3,10,5.5,1.3,11,6,1.3,9,5,1.3,42,12,9.75,5.93,5.27,1.33,1.29,30,1.57,1.53,2.6,2.39,22,1.5,2.07,2.01,1.89,1.85
SP1,29/08/11,Barcelona,Villarreal,5,0,H,2,0,H,18,5,9,1,15,14,12,0,3,3,0,0,1.25,5.75,11,1.31,5.25,10.5,1.25,5.5,11,1.3,4.8,8.5,1.29,5.5,10,1.25,5.25,9,1.25,5.5,12,1.25,6,10,1.25,6.5,13,1.25,5.5,10,42,1.29,1.25,6.64,5.71,14.55,11.12,31,1.5,1.42,3,2.67,21,-1.75,1.98,1.88,2.03,1.99
SP1,10/09/11,Real Madrid,Getafe,4,2,H,1,1,D,26,10,10,6,9,13,4,6,3,3,0,0,1.08,10,26,1.08,9.75,23,1.1,9,19,1.12,7,14,1.1,9,21,1.06,9,19,1.1,9.5,19,1.09,10,23,1.09,12,26,1.11,7.5,21,41,1.11,1.09,12.13,9.69,30,22.35,31,1.3,1.27,4,3.54,20,-2.5,1.92,1.85,2.09,2.02
SP1,10/09/11,Sociedad,Barcelona,2,2,D,0,2,A,10,13,4,6,10,17,5,4,2,1,0,0,15,7,1.17,16,7.25,1.15,13,6.5,1.18,11,5.3,1.22,15,7,1.17,13,6.5,1.15,13,7.5,1.17,15,7,1.17,17,7.5,1.17,15,5.5,1.2,41,20.73,14.96,7.82,7.1,1.2,1.17,31,1.5,1.44,2.75,2.65,20,2,2.01,1.95,1.96,1.91
