Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
T1,17/08/12,Eskisehirspor,Akhisar Belediyespor,0,1,A,0,0,D,1.67,3.6,5.25,1.62,3.55,5.65,1.62,3.55,5.65,1.65,3.5,4.5,1.62,3.4,5,1.68,3.86,5.63,1.7,3.4,4.8,1.67,3.5,5.25,1.67,3.8,5.5,1.67,3.5,4.75,36,1.7,1.65,3.88,3.55,5.81,5.23,29,2.15,2.04,1.83,1.75,15,-0.75,1.93,1.88,2.03,1.99
T1,18/08/12,Elazigspor,Fenerbahce,1,1,D,0,0,D,5.5,3.75,1.62,5.75,3.8,1.55,5.75,3.8,1.55,5,3.6,1.57,5.5,3.6,1.53,6.25,4.13,1.59,5,3.75,1.6,5.75,3.8,1.57,6,4,1.57,5,3.6,1.62,36,6.69,5.75,4.22,3.73,1.62,1.56,29,1.97,1.89,1.95,1.9,16,0.75,2.23,2.14,1.79,1.74
T1,18/08/12,Gaziantepspor,Sivasspor,0,1,A,0,0,D,2,3.4,3.75,1.87,3.4,4,1.87,3.4,4,2,3.2,3.3,1.91,3.2,3.5,1.94,3.54,4.29,2,3.3,3.5,1.95,3.3,3.8,1.92,3.4,4.1,2,3.25,3.5,36,2.05,1.97,3.54,3.31,4.29,3.69,29,2.01,1.92,1.95,1.87,16,-0.25,1.74,1.69,2.3,2.23
T1,18/08/12,Karabukspor,Trabzonspor,1,1,D,0,1,A,4,3.5,1.91,3.9,3.5,1.85,3.9,3.5,1.85,3.3,3.2,2,3.5,3.2,1.91,3.87,3.53,2.05,3.8,3.3,1.91,3.75,3.4,2,3.9,3.4,2,3.6,3.4,1.91,34,4.2,3.58,3.6,3.32,2.14,2,28,1.94,1.85,2,1.93,14,0.75,1.71,1.58,2.52,2.43
T1,19/08/12,Buyuksehyr,Besiktas,1,1,D,0,0,D,2.9,3.25,2.4,2.8,3.2,2.45,2.8,3.2,2.45,2.7,3.1,2.4,2.62,3.2,2.4,2.76,3.28,2.76,2.7,3.2,2.45,2.75,3.2,2.6,2.8,3.12,2.62,2.6,3.2,2.5,35,2.9,2.7,3.3,3.2,2.76,2.51,28,2.09,1.99,1.85,1.79,17,0,1.98,1.94,1.97,1.91
T1,19/08/12,Kayserispor,Bursaspor,0,1,A,0,1,A,2.5,3.2,2.88,2.5,3.2,2.7,2.5,3.2,2.7,2.4,3.1,2.7,2.4,3.2,2.62,2.7,3.3,2.81,2.45,3.2,2.7,2.5,3.2,2.75,2.62,3.2,2.8,2.5,3.2,2.6,36,2.7,2.49,3.3,3.17,2.9,2.74,29,2.16,2.05,1.82,1.75,17,0,1.92,1.87,2.04,1.97
T1,19/08/12,Mersin Idman Yurdu,Orduspor,0,0,D,0,0,D,2.5,3.1,2.9,2.55,3.1,2.75,2.55,3.1,2.75,2.4,3.1,2.7,2.38,3,2.75,2.56,3.2,3.05,2.5,3,2.8,2.5,3.13,2.88,2.5,3.12,3,2.38,3,2.88,35,2.56,2.45,3.2,3.09,3.15,2.87,23,2.4,2.22,1.7,1.62,17,0,1.81,1.77,2.17,2.1
T1,20/08/12,Galatasaray,Kasimpasa,2,1,H,1,0,H,1.4,4.33,8.5,1.4,4.25,7.75,1.4,4.25,7.75,1.32,4.4,8.3,,,,1.43,4.62,8.69,1.4,4.2,7.5,1.4,4.33,8,1.4,4.5,8.5,1.4,4,7.5,34,1.41,1.37,4.95,4.38,9.05,8.17,28,1.91,1.85,2.04,1.94,14,-1,1.7,1.65,2.37,2.29
T1,20/08/12,Genclerbirligi,Antalyaspor,3,1,H,0,0,D,1.85,3.4,4.33,1.91,3.4,3.8,1.91,3.4,3.8,1.9,3.3,3.5,,,,1.93,3.63,4.21,1.95,3.25,3.75,1.91,3.4,4,1.92,3.4,4.2,1.91,3.25,3.75,34,2,1.91,3.63,3.33,4.33,3.9,28,2.11,1.99,1.87,1.8,15,-0.25,1.7,1.66,2.33,2.28
T1,24/08/12,Kasimpasa,Karabukspor,2,1,H,1,1,D,2.2,3.25,3.25,2.15,3.3,3.2,2.15,3.3,3.2,2.2,3.1,3,2.1,3.2,3,2.24,3.52,3.39,2.05,3.25,3.1,2.2,3.25,3.2,2.1,3.3,3.12,2.2,3.25,3,35,2.25,2.16,3.52,3.27,3.53,3.22,27,1.98,1.88,2.01,1.91,18,-0.25,1.94,1.91,1.99,1.95
