Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH
T1,08/08/03,Samsunspor,Besiktas,1,3,A,1,0,H,4.5,3.5,1.615,4,3.5,1.7,4.6,3.4,1.6,4,3.6,1.667,4.33,3.5,1.66,,,,1.65,2,1.65,2.15,1.25
T1,09/08/03,Bursaspor,Gaziantepspor,0,0,D,0,0,D,2.4,3.25,2.5,2.35,3.2,2.6,2.4,3.2,2.4,2.4,3.2,2.5,2.3,3.2,2.7,2.4,3.3,2.4,1.71,1.95,1.8,1.95,0
T1,09/08/03,Galatasaray,Diyarbakirspor,2,1,H,0,1,A,1.143,6,12,1.15,5.5,14,1.2,5,10,1.167,6,11,1.18,5.5,11,1.2,5.5,9,1.6,2.1,1.65,2.15,-1.5
T1,09/08/03,Genclerbirligi,Elazigspor,2,3,A,1,2,A,1.4,3.75,7,1.35,4.2,7,1.35,4,7,1.364,4,7,1.4,3.75,7.5,1.3,4.25,7.5,1.55,2.2,2.25,1.6,-1.75
T1,09/08/03,Konyaspor,Trabzonspor,3,3,D,2,0,H,2.75,3.2,2.25,3.25,3.3,1.95,3,3.1,2.1,2.8,3.2,2.2,3,3.25,2.1,2.7,3.2,2.2,1.65,2,2.1,1.7,0.25
T1,10/08/03,A. Sebatspor,Denizlispor,0,2,A,0,1,A,2.25,3.2,2.75,2.45,3.3,2.35,2.4,3.2,2.4,2.375,3.2,2.6,2.3,3.2,2.7,2.4,3.3,2.4,1.83,1.83,1.75,2,0
T1,10/08/03,Adanaspor,Malatyaspor,0,1,A,0,0,D,2.25,3.2,2.75,2.05,3.2,3.1,2.1,3.1,3,2.2,3.2,2.8,2.2,3.25,2.8,2.2,3.2,2.7,1.9,1.75,1.95,1.8,-0.25
T1,10/08/03,Fenerbahce,Istanbulspor,0,3,A,0,2,A,1.364,4,7,1.25,5,8,1.3,4.2,8,1.333,4,8,1.33,4.2,8,1.25,5,8,1.71,1.95,2.1,1.67,-1.75
T1,10/08/03,Rizespor,Ankaragucu,2,1,H,1,1,D,2.25,3.2,2.75,2.1,3.15,3.05,2.3,3.2,2.5,2.25,3.2,2.75,2.25,3.25,2.75,2.25,3.3,2.55,1.83,1.83,1.95,1.8,-0.25
T1,15/08/03,Trabzonspor,Fenerbahce,0,1,A,0,1,A,2.5,3.1,2.5,2.4,3.15,2.6,2.3,3,2.7,2.6,3.4,2.25,2.5,3.2,2.5,2.5,3.25,2.4,1.75,1.9,1.8,1.95,0
T1,16/08/03,Ankaragucu,Samsunspor,4,2,H,1,2,A,1.727,3.4,4,1.75,3.3,4.1,1.65,3.4,4.2,1.727,3.4,4,1.75,3.25,4.2,1.65,3.4,4.2,1.71,1.95,2.1,1.7,-1
T1,16/08/03,Besiktas,Bursaspor,1,0,H,1,0,H,1.167,5.5,11,1.21,5.25,9.5,1.2,5,10,1.167,6,11,1.18,5.5,12,1.22,5,9.5,1.55,2.15,2.15,1.65,-2
T1,16/08/03,Denizlispor,Rizespor,1,1,D,0,0,D,1.727,3.4,4,1.7,3.4,4.25,1.75,3.3,3.8,1.727,3.4,4,1.72,3.25,4.33,1.75,3.4,3.7,1.71,1.95,2.1,1.7,-1
T1,16/08/03,Istanbulspor,Adanaspor,1,0,H,1,0,H,1.727,3.4,4,1.65,3.4,4.55,1.8,3.3,3.6,1.667,3.6,4,1.72,3.25,4.33,1.7,3.4,3.9,1.65,2,2.1,1.7,-1
T1,17/08/03,Diyarbakirspor,Genclerbirligi,3,2,H,1,1,D,2.5,3.1,2.5,2.65,3.1,2.4,2.6,3.1,2.3,2.8,3.4,2.1,2.7,3.3,2.25,2.5,3.2,2.35,1.65,2,2.1,1.7,0
T1,17/08/03,Elazigspor,Konyaspor,0,0,D,0,0,D,1.8,3.3,3.75,1.75,3.3,4.1,1.75,3.3,3.8,1.8,3.5,3.5,1.85,3.25,3.75,1.83,3.35,3.4,1.71,1.95,2,1.75,-0.75
T1,17/08/03,Gaziantepspor,Galatasaray,1,2,A,0,0,D,3,3.2,2.1,3.05,3.15,2.1,3.4,3.2,1.9,3.5,3.5,1.8,3,3.25,2.1,2.87,3.3,2.1,1.65,2,2.15,1.65,0.25
T1,17/08/03,Malatyaspor,A. Sebatspor,3,1,H,1,0,H,1.444,3.75,6,1.45,3.75,6,1.5,3.7,5,1.533,3.75,5,1.5,3.5,6,1.45,3.75,5.5,1.6,2.1,1.95,1.85,-1.25
