Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,,,,,,,
F2,06/08/04,Brest,Nancy,3,2,H,1,2,A,2.5,2.75,2.75,2.3,3,2.9,2.4,2.75,2.9,2.6,2.6,2.6,,,,2.5,2.75,2.75,2.4,2.8,2.87,2.1,1.56,2.4,1.41,-0.5,,,,,,,,,,,,,,,
F2,06/08/04,Chateauroux,Angers,1,1,D,1,1,D,1.9,2.75,4.33,1.75,3,4.75,1.8,2.85,4.6,1.75,2.8,4.4,,,,1.83,2.88,4.33,1.8,2.9,4.5,1.9,1.7,1.8,1.76,-0.5,,,,,,,,,,,,,,,
F2,06/08/04,Grenoble,Guingamp,4,2,H,1,0,H,2.6,2.8,2.6,2.45,3,2.65,2.6,2.75,2.65,2.6,2.6,2.6,,,,2.62,2.75,2.62,2.6,2.7,2.7,2.3,1.46,2.6,1.35,-0.5,,,,,,,,,,,,,,,
F2,06/08/04,Gueugnon,Amiens,1,1,D,1,1,D,2.37,2.75,3,2,3.1,3.4,2.2,2.75,3.25,2.2,2.6,3.2,,,,2.25,2.75,3.2,2.2,2.7,3.35,2.2,1.51,2.2,1.49,-0.5,,,,,,,,,,,,,,,
F2,06/08/04,Laval,Dijon,2,1,H,1,0,H,2,2.8,3.75,1.85,3.2,3.75,1.85,2.85,4.35,1.9,2.7,3.8,,,,1.91,2.88,4,1.9,2.87,4,2,1.61,1.85,1.72,-0.5,,,,,,,,,,,,,,,
F2,06/08/04,Le Mans,Clermont,2,2,D,1,0,H,1.66,2.87,5.5,1.7,3.2,4.75,1.7,3,5,1.75,2.8,4.4,,,,1.73,3,4.75,1.66,3.1,5,1.95,1.66,1.7,1.88,-0.5,,,,,,,,,,,,,,,
F2,06/08/04,Reims,Creteil,2,1,H,0,1,A,2.1,2.75,3.5,2,3,3.5,2,2.75,3.85,2,2.6,3.6,,,,2,2.8,3.75,1.9,2.87,4,2.2,1.51,2,1.6,-0.5,,,,,,,,,,,,,,,
F2,06/08/04,Sedan,Lorient,3,2,H,2,2,D,2,2.8,3.75,1.9,3.1,3.75,2,2.75,3.85,1.85,2.7,4,,,,2,2.8,3.75,2,2.7,4,2,1.61,2,1.6,-0.5,,,,,,,,,,,,,,,
F2,08/08/04,Montpellier,Troyes,3,4,A,1,1,D,1.8,3,4.33,1.75,3.25,4.3,1.75,2.9,4.8,1.8,2.8,4.2,,,,1.8,2.88,4.5,1.8,2.9,4.5,1.95,1.66,1.75,1.81,-0.5,,,,,,,,,,,,,,,
F2,09/08/04,Le Havre,Niort,1,2,A,1,1,D,1.9,2.87,4,1.75,3.25,4.3,1.8,2.85,4.6,1.75,2.8,4.4,,,,1.83,2.88,4.33,1.8,2.9,4.5,2,1.61,1.8,1.76,-0.5,,,,,,,,,,,,,,,
F2,12/08/04,Guingamp,Brest,1,2,A,1,1,D,1.667,2.875,5.5,1.65,3,5.5,1.73,2.9,5,1.7,2.9,4.8,,,,1.73,2.88,5,,,,,,1.73,1.84,-0.5,,,,,,,,,,,,,,,
F2,13/08/04,Amiens,Le Havre,1,2,A,1,0,H,2.1,2.75,3.5,2.2,2.75,3.3,2.05,2.6,4,2.3,2.6,3,,,,2.1,2.75,3.5,2.05,2.6,4,2.2,1.52,2.05,1.58,-0.5,,,,,,,,,,,,,,,
F2,13/08/04,Angers,Montpellier,0,1,A,0,1,A,2.75,2.5,2.5,2.8,2.7,2.55,2.5,2.7,3,2.8,2.6,2.5,,,,2.5,2.75,2.75,2.45,2.6,3,2.2,1.52,2.5,1.42,-0.5,,,,,,,,,,,,,,,
F2,13/08/04,Clermont,Gueugnon,0,2,A,0,0,D,2,2.75,3.75,2.2,2.8,3.2,1.9,2.8,4.15,2,2.6,3.8,,,,2,2.75,3.8,1.85,2.75,4.5,2.3,1.46,1.9,1.67,-0.5,,,,,,,,,,,,,,,
F2,13/08/04,Creteil,Le Mans,1,0,H,0,0,D,2.625,2.75,2.625,2.65,2.65,2.7,2.72,2.7,2.75,2.7,2.6,2.6,,,,2.6,2.7,2.7,2.7,2.6,2.7,2.3,1.46,2.72,1.36,-0.5,,,,,,,,,,,,,,,
F2,13/08/04,Lorient,Chateauroux,2,1,H,1,0,H,1.727,2.875,5,1.7,3,5,1.75,2.8,5,1.75,2.9,4.4,,,,1.73,3,4.75,1.75,2.8,5,2.2,1.51,1.75,1.79,-0.5,,,,,,,,,,,
F2,13/08/04,Nancy,Sedan,1,2,A,0,1,A,2.1,2.75,3.5,2.25,2.7,3.25,2.02,2.65,3.95,2.1,2.6,3.5,,,,2.1,2.7,3.6,2.05,2.65,3.8,2.3,1.46,2.02,1.59,-0.5,,,,,,,,,,,
F2,13/08/04,Niort,Grenoble,1,3,A,1,2,A,1.833,2.875,4.333,1.85,2.9,4.25,1.9,2.75,4.3,1.9,2.7,4,,,,1.83,2.8,4.5,1.9,2.7,4.4,2.3,1.46,1.9,1.68,-0.5,,,,,,,,,,,
F2,13/08/04,Reims,Laval,2,0,H,1,0,H,2,2.75,3.75,2.2,2.7,3.35,1.9,2.8,4.55,2.1,2.6,3.5,,,,2,2.75,3.8,1.85,2.75,4.5,2.3,1.46,1.9,1.73,-0.5,,,,,,,,,,,
F2,13/08/04,Troyes,Dijon,2,2,D,1,1,D,1.727,2.875,5,1.7,3,5,1.6,3.15,5.5,1.65,3,4.8,,,,1.62,3.1,5.5,1.6,3.15,5.5,2.05,1.6,1.6,2,-0.5,,,,,,,,,,,
F2,16/08/04,Sedan,Guingamp,3,0,H,2,0,H,2.1,2.75,3.5,2.2,2.8,3.2,2.1,2.8,3.45,2.1,2.7,3.4,,,,2.1,2.8,3.4,2.05,2.8,3.6,2,1.61,1.8,1.9,-0.25,,,,,,,,,,,
F2,17/08/04,Brest,Niort,1,0,H,1,0,H,2.25,2.75,3.2,2.2,2.8,3.2,2.2,2.65,3.4,2.2,2.7,3.1,,,,2.2,2.75,3.25,2,2.7,3.9,2.1,1.56,2.2,1.49,-0.5,,,,,,,,,,,
F2,17/08/04,Chateauroux,Nancy,0,0,D,0,0,D,2.25,2.75,3.2,2.1,2.8,3.45,2.15,2.65,3.55,2.2,2.7,3.1,,,,2.1,2.75,3.5,2.1,2.65,3.7,2.2,1.51,2.15,1.52,-0.5,,,,,,,,,,,
F2,17/08/04,Dijon,Angers,1,0,H,0,0,D,2.2,2.75,3.25,2.1,2.8,3.45,2.15,2.65,3.55,2.1,2.7,3.4,,,,2.2,2.75,3.25,2.15,2.65,3.55,2.1,1.56,,,,,,,,,,,,,,
F2,17/08/04,Grenoble,Amiens,1,1,D,0,0,D,2.1,2.75,3.5,1.9,2.85,4,2.1,2.65,3.7,1.85,2.9,3.8,,,,2,2.75,4,1.85,2.8,4.4,2.1,1.56,1.9,1.66,-0.5,,,,,,,,,,,
F2,17/08/04,Gueugnon,Creteil,1,0,H,1,0,H,2,2.8,3.75,2,2.85,3.65,2.1,2.65,3.7,2.1,2.7,3.4,,,,2.1,2.75,3.5,1.9,2.8,4.2,2.3,1.46,2.1,1.54,-0.5,,,,,,,,,,,
F2,17/08/04,Laval,Troyes,2,1,H,1,0,H,2.4,2.62,3.1,2.3,2.75,3.1,2.35,2.65,3.1,2.3,2.6,3,,,,2.3,2.8,3,2.4,2.65,3.05,2,1.61,2.35,1.43,-0.5,,,,,,,,,,,
F2,17/08/04,Le Havre,Clermont,0,0,D,0,0,D,1.8,3,4.33,1.7,3,5,1.75,2.85,4.95,1.8,2.9,4,,,,1.8,3,4.2,1.8,2.8,4.75,2.2,1.51,1.75,1.81,-0.5,,,,,,,,,,,
F2,17/08/04,Le Mans,Reims,0,0,D,0,0,D,1.8,3.1,4,1.7,3,5,1.8,2.85,4.6,1.75,3,4.2,,,,1.8,2.88,4.5,1.8,2.8,4.75,2.2,1.51,1.8,1.76,-0.5,,,,,,,,,,,
F2,17/08/04,Montpellier,Lorient,0,1,A,0,1,A,2,2.8,3.75,1.8,2.9,4.5,1.9,2.7,4.4,1.9,2.8,3.8,,,,1.91,2.88,4,1.85,2.8,4.4,1.95,1.66,1.9,1.67,-0.5,,,,,,,,,,,
F2,20/08/04,Amiens,Brest,1,0,H,1,0,H,2.2,2.75,3.25,2.1,2.8,3.45,2.1,2.7,3.6,2.1,2.7,3.3,,,,2.1,2.75,3.5,2.05,2.95,3.35,2.2,1.51,2.1,1.54,-0.5,,,,,,,,,,,
