Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D1,11/08/95,Dortmund,Kaiserslautern,1,1,D,0,0,D,,,,,,,,,,,
D1,11/08/95,Stuttgart,Uerdingen,0,0,D,0,0,D,,,,,,,,,,,
D1,11/08/95,Werder Bremen,Dusseldorf,1,1,D,1,1,D,,,,,,,,,,,
D1,12/08/95,Bayern Munich,Hamburg,3,2,H,1,1,D,,,,,,,,,,,
D1,12/08/95,Ein Frankfurt,Karlsruhe,2,2,D,1,1,D,,,,,,,,,,,
D1,12/08/95,FC Koln,Schalke 04,0,1,A,0,0,D,,,,,,,,,,,
D1,12/08/95,Hansa Rostock,Leverkusen,1,2,A,0,2,A,,,,,,,,,,,
D1,12/08/95,St Pauli,Munich 1860,4,2,H,1,1,D,,,,,,,,,,,
D1,13/08/95,M'gladbach,Freiburg,1,0,H,0,0,D,,,,,,,,,,,
D1,18/08/95,Freiburg,St Pauli,0,2,A,0,0,D,,,,,,,,,,,
D1,18/08/95,Hamburg,Werder Bremen,3,3,D,2,1,H,,,,,,,,,,,
D1,18/08/95,Schalke 04,Hansa Rostock,1,3,A,0,1,A,,,,,,,,,,,
D1,19/08/95,Kaiserslautern,M'gladbach,1,3,A,0,1,A,,,,,,,,,,,
D1,19/08/95,Karlsruhe,Bayern Munich,2,6,A,1,3,A,,,,,,,,,,,
D1,19/08/95,Leverkusen,Dortmund,1,1,D,0,0,D,,,,,,,,,,,
D1,19/08/95,Munich 1860,Stuttgart,1,1,D,1,0,H,,,,,,,,,,,
D1,19/08/95,Uerdingen,Ein Frankfurt,1,1,D,0,1,A,,,,,,,,,,,
D1,20/08/95,Dusseldorf,FC Koln,1,1,D,1,0,H,,,,,,,,,,,
D1,29/08/95,FC Koln,Hamburg,3,2,H,1,0,H,,,,,,,,,,,
D1,29/08/95,Hansa Rostock,Dortmund,3,2,H,1,1,D,,,,,,,,,,,
D1,29/08/95,M'gladbach,Leverkusen,0,0,D,0,0,D,,,,,,,,,,,
D1,29/08/95,St Pauli,Kaiserslautern,1,2,A,0,2,A,,,,,,,,,,,
D1,29/08/95,Werder Bremen,Karlsruhe,1,0,H,0,0,D,,,,,,,,,,,
D1,30/08/95,Bayern Munich,Uerdingen,2,0,H,1,0,H,,,,,,,,,,,
D1,30/08/95,Ein Frankfurt,Munich 1860,4,2,H,0,0,D,,,,,,,,,,,
D1,30/08/95,Schalke 04,Dusseldorf,1,1,D,0,1,A,,,,,,,,,,,
D1,30/08/95,Stuttgart,Freiburg,3,1,H,2,1,H,,,,,,,,,,,
D1,01/09/95,Dortmund,M'gladbach,2,1,H,0,1,A,,,,,,,,,,,
D1,01/09/95,Karlsruhe,FC Koln,1,0,H,0,0,D,,,,,,,,,,,
D1,02/09/95,Dusseldorf,Hansa Rostock,2,2,D,0,1,A,,,,,,,,,,,
D1,02/09/95,Freiburg,Ein Frankfurt,2,0,H,1,0,H,,,,,,,,,,,
D1,02/09/95,Hamburg,Schalke 04,1,1,D,0,1,A,,,,,,,,,,,
D1,02/09/95,Kaiserslautern,Stuttgart,1,1,D,1,0,H,,,,,,,,,,,
D1,02/09/95,Leverkusen,St Pauli,1,1,D,0,0,D,,,,,,,,,,,
D1,02/09/95,Munich 1860,Bayern Munich,0,2,A,0,0,D,,,,,,,,,,,
D1,02/09/95,Uerdingen,Werder Bremen,3,0,H,1,0,H,,,,,,,,,,,
D1,08/09/95,FC Koln,Uerdingen,0,0,D,0,0,D,,,,,,,,,,,
D1,08/09/95,Werder Bremen,Munich 1860,2,0,H,0,0,D,,,,,,,,,,,
D1,09/09/95,Bayern Munich,Freiburg,2,0,H,1,0,H,,,,,,,,,,,
D1,09/09/95,Dusseldorf,Hamburg,2,2,D,1,1,D,,,,,,,,,,,
D1,09/09/95,Ein Frankfurt,Kaiserslautern,3,1,H,1,0,H,,,,,,,,,,,
D1,09/09/95,Hansa Rostock,M'gladbach,2,3,A,2,2,D,,,,,,,,,,,
D1,09/09/95,Schalke 04,Karlsruhe,2,1,H,1,0,H,,,,,,,,,,,
D1,09/09/95,St Pauli,Dortmund,0,3,A,0,0,D,,,,,,,,,,,
D1,09/09/95,Stuttgart,Leverkusen,1,4,A,0,0,D,,,,,,,,,,,
