Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5,GBAHH,GBAHA,GBAH,LBAHH,LBAHA,LBAH,B365AHH,B365AHA,B365AH,,,,,,,,,
D1,06/08/04,Werder Bremen,Schalke 04,1,0,H,0,0,D,9,8,22,19,5,2,0,1,0,0,1.9,3.25,3.5,2,3.25,3.4,2.1,3.3,3.35,2.2,3,2.9,1.909,3.25,3.4,2,3.2,3.3,2,3.3,3.1,1.65,2.05,1.7,2.1,1.5,2.4,0,1.96,1.88,-0.25,1.95,1.95,-0.25,,,,,,,,,
D1,07/08/04,Dortmund,Wolfsburg,1,2,A,1,1,D,24,9,9,20,7,3,0,3,0,0,1.57,3.4,5.5,1.55,3.7,5.4,1.6,3.65,5.5,1.65,3.3,4.4,1.571,3.5,5,1.62,3.4,5,1.61,3.5,4.5,1.65,2.05,1.75,2.05,2.15,1.65,-1,1.8,2.04,-0.75,1.85,2.05,-0.75,,,,,,,,,
D1,07/08/04,Freiburg,Hansa Rostock,0,0,D,0,0,D,13,7,16,24,5,5,1,2,0,0,2.1,3.25,3,2,3.25,3.4,2.05,3.25,3.5,2.1,3,3.1,2.1,3.2,3,2.1,3.2,3.1,2,3.3,3.1,1.65,2.05,1.65,2.15,1.5,2.4,0,1.86,1.98,-0.25,1.9,2,-0.25,,,,,,,,,
D1,07/08/04,Hamburg,Bayern Munich,0,2,A,0,1,A,13,12,18,24,5,3,3,1,0,0,3.25,3.25,2,3.75,3.4,1.85,3.65,3.25,2,3.6,3.2,1.9,3.75,3.2,1.833,3.3,3.2,2,3.1,3.3,2,1.65,2.05,1.8,2,2.05,1.7,0.25,1.94,1.9,0.5,1.9,2,0.5,,,,,,,,,
D1,07/08/04,Hertha,Bochum,2,2,D,2,0,H,21,12,18,14,2,1,1,2,0,0,1.83,3.25,3.75,1.7,3.5,4.4,1.85,3.3,4.25,1.75,3.2,4,1.833,3.2,3.75,1.8,3.25,4,1.8,3.3,3.75,1.71,2,1.6,2.2,1.55,2.3,-0.25,1.88,1.96,-0.5,1.875,2.025,-0.5,,,,,,,,,
D1,07/08/04,Kaiserslautern,Nurnberg,1,3,A,0,1,A,14,24,24,21,10,8,3,2,0,0,1.72,3.25,4.33,1.75,3.4,4.2,1.9,3.3,4,1.85,3.1,3.6,1.8,3.25,3.75,1.85,3.25,3.75,1.8,3.3,3.75,1.71,2,1.75,2.05,1.65,2.15,-0.25,1.92,1.92,-0.5,1.9,2,-0.5,,,,,,,,,
D1,07/08/04,Leverkusen,Hannover,2,1,H,0,1,A,11,14,21,20,2,2,2,3,0,0,1.5,3.5,6,1.45,4,6.2,1.6,3.5,6,1.55,3.5,4.8,1.533,3.4,5.5,1.5,3.6,6,1.44,3.75,6,1.6,2.15,1.55,2.25,2.3,1.55,-1.25,2.02,1.82,-1,2,1.9,-1,,,,,,,,,
D1,08/08/04,Bielefeld,M'gladbach,0,0,D,0,0,D,14,6,15,17,8,3,0,2,0,1,2.25,3.25,2.75,2.4,3.3,2.6,2.35,3.2,2.95,2.3,3,2.7,2.25,3.2,2.75,2.38,3.1,2.7,2.2,3.25,2.75,1.71,2,1.65,2.15,1.68,2.1,0,2.02,1.82,-0.25,2.025,1.875,-0.25,,,,,,,,,
D1,08/08/04,Stuttgart,Mainz,4,2,H,2,0,H,11,7,17,13,3,4,1,2,0,0,1.4,3.75,7.5,1.4,4.2,6.7,1.41,4.25,7.25,1.5,3.7,5,1.4,3.75,7,1.4,3.75,7.5,1.44,3.75,6,1.65,2.05,1.7,2.1,1.7,2.05,-1,1.96,1.88,-1.25,2.05,1.85,-1.25,,,,,,,,,
D1,14/08/04,Bayern Munich,Hertha,1,1,D,0,1,A,19,9,16,27,6,2,4,5,1,0,1.4,4,9,1.3,4.7,8.2,1.43,4,7.75,1.4,3.9,6,1.36,3.75,8,1.4,4,7.5,1.36,4,7,1.55,2.25,1.45,2.4,1.7,2.05,-1,1.76,2.08,-1.25,1.75,2.15,-1.25,,,,,,,,,
D1,14/08/04,Hansa Rostock,Werder Bremen,0,4,A,0,0,D,11,14,18,23,6,4,1,2,0,0,2.8,3.25,2.2,3.4,3.25,2,3.2,3.3,2.15,2.9,3,2.2,2.75,3.25,2.2,3,3.2,2.2,2.9,3.2,2.15,1.6,2.15,1.75,2.05,1.95,1.9,0.25,1.94,1.9,0.25,1.875,2.025,0.25,,,,,,,,,
D1,14/08/04,Mainz,Hamburg,2,1,H,0,1,A,14,8,16,30,1,9,1,3,0,0,2.6,3.2,2.4,2.5,3.3,2.5,2.65,3.3,2.5,2.5,3,2.5,2.6,3.2,2.38,2.6,3.2,2.5,2.5,3.25,2.4,1.55,2.25,1.75,2.05,2.2,1.6,-0.25,1.98,1.86,0,2.025,1.875,0,,,,,,,,,
D1,14/08/04,M'gladbach,Dortmund,2,3,A,2,3,A,18,12,17,24,5,4,4,1,0,0,2.5,3.2,2.5,2.5,3.3,2.5,2.45,3.3,2.7,2.3,3,2.7,2.4,3.25,2.5,2.6,3.2,2.5,2.4,3.1,2.6,1.79,1.9,1.9,1.9,2.3,1.55,-0.25,1.96,1.88,0,1.95,1.95,0,,,,,,,,,
D1,14/08/04,Nurnberg,Stuttgart,1,1,D,1,1,D,16,5,19,16,2,3,2,4,0,1,2.8,3.25,2.2,3.2,3.3,2.05,3.25,3.15,2.2,2.9,3,2.2,2.8,3.2,2.2,2.88,3.2,2.25,2.62,3.2,2.3,1.79,1.9,1.85,1.95,1.95,1.9,0.25,2,1.84,0.25,1.95,1.95,0.25,,,,,,,,,
D1,14/08/04,Schalke 04,Kaiserslautern,2,1,H,1,1,D,21,5,10,16,11,2,1,2,0,1,1.53,3.5,5.5,1.5,3.7,6,1.51,3.8,6.45,1.5,3.7,5,1.5,3.4,6,1.53,3.6,6,1.5,3.4,6,1.65,2.05,1.7,2.1,2.2,1.6,-1.25,1.8,2.04,-1,1.9,2,-1,,,,,,,,,
D1,15/08/04,Bochum,Leverkusen,2,2,D,1,0,H,13,18,25,27,7,5,3,1,0,0,2.37,3.2,2.62,2.5,3.3,2.5,2.45,3.2,2.8,2.2,3,2.9,2.38,3.2,2.6,2.4,3.2,2.7,2.3,3.1,2.75,1.6,2.15,1.8,2,2.2,1.6,-0.25,1.9,1.94,0,1.85,2.05,0,,,,,
D1,15/08/04,Wolfsburg,Freiburg,0,1,A,0,0,D,14,7,25,13,10,2,1,1,0,0,1.61,3.4,5,1.65,3.6,4.7,1.65,3.5,5.3,1.65,3.3,4.4,1.62,3.5,4.5,1.62,3.4,5.5,1.61,3.3,5,1.55,2.25,1.6,2.2,2.1,1.65,-1,1.96,1.88,-1,1.775,2.125,-0.75,,,,,
D1,28/08/04,Bielefeld,Bochum,1,2,A,0,1,A,21,8,18,22,13,2,1,4,0,1,2.3,3.2,2.7,2.4,3.3,2.6,2.45,3.35,2.7,2.4,3,2.6,2.4,3.25,2.5,2.4,3.2,2.7,2.4,3.1,2.6,1.85,1.85,1.8,2,1.85,2,0,1.86,1.98,0,1.9,2,0,,,,,
D1,28/08/04,Freiburg,M'gladbach,1,1,D,1,0,H,10,13,15,11,3,3,0,3,0,0,1.9,3.25,3.5,1.95,3.3,3.5,1.95,3.35,3.7,2.1,3,3.1,1.91,3.25,3.4,2,3.2,3.5,2,3.2,3.2,1.71,2,1.65,2.2,1.65,2.1,-0.25,2.14,1.7,-0.5,1.825,2.075,-0.25,,,,,
D1,28/08/04,Hamburg,Nurnberg,4,3,H,2,1,H,14,15,20,22,6,5,1,3,0,0,1.8,3.25,4,1.75,3.4,4.2,1.8,3.45,4.25,1.75,3.2,4,1.8,3.25,3.75,1.8,3.4,4,1.9,3.2,3.5,1.6,2.15,1.66,2.15,2,1.85,-0.75,2.02,1.82,0.5,2.1,1.8,-0.75,,,,,
D1,28/08/04,Hertha,Mainz,1,1,D,0,0,D,13,8,20,24,3,4,1,1,0,0,1.53,3.4,6,1.5,3.8,5.8,1.5,3.9,6.35,1.5,3.7,5,1.53,3.5,5.5,1.5,3.6,6.5,1.5,3.4,6,1.6,2.15,1.57,2.3,1.75,2,-1,2.04,1.8,-1.25,2,1.9,-1.25,,,,,
D1,28/08/04,Kaiserslautern,Stuttgart,2,3,A,2,1,H,10,18,26,13,2,5,3,0,0,0,2.75,3.25,2.25,2.75,3.3,2.3,2.75,3.35,2.4,2.5,3,2.5,2.75,3.2,2.25,2.8,3.25,2.3,2.62,3.2,2.3,1.75,1.95,1.8,2,1.85,2,0.25,1.92,1.92,0.25,1.9,2,0.25,,,,,
D1,28/08/04,Leverkusen,Bayern Munich,4,1,H,1,0,H,17,16,15,21,7,3,2,1,0,0,2.9,3.2,2.37,3.2,3.3,2.05,3.15,3.25,2.2,2.6,3,2.4,2.75,3.2,2.25,2.88,3.2,2.3,2.62,3.1,2.37,1.55,2.25,1.7,2.1,1.9,1.95,0.25,1.94,1.9,0.25,1.925,1.975,0.25,,,,,
D1,28/08/04,Schalke 04,Hansa Rostock,0,2,A,0,1,A,19,9,18,19,6,4,2,2,1,0,1.5,3.5,6,1.4,4.2,6.6,1.5,3.85,6.5,1.55,3.5,4.8,1.5,3.4,6,1.44,3.75,7,1.44,3.6,6.5,1.6,2.15,1.66,2.15,1.95,1.9,-1.25,1.94,1.9,-1.25,1.975,1.925,-1.25,,,,,
D1,29/08/04,Dortmund,Hannover,1,1,D,1,0,H,11,11,11,16,0,7,3,1,0,0,1.5,3.5,6,1.4,4.2,6.6,1.5,3.9,6.35,1.45,3.8,5.4,1.5,3.4,6,1.44,3.75,7,1.5,3.4,6,1.6,2.15,1.57,2.3,2.05,1.8,-1.25,2.1,1.74,-1.25,2.1,1.8,-1.25,,,,,
D1,29/08/04,Werder Bremen,Wolfsburg,1,2,A,0,0,D,26,7,21,23,7,0,2,1,0,0,1.44,3.75,6.5,1.45,4.1,6,1.5,3.9,6.35,1.6,3.4,4.6,1.44,3.6,6.5,1.44,3.75,7,1.44,3.6,6.5,1.55,2.25,1.61,2.25,2.05,1.8,-1.25,2.04,1.8,-1.25,2.05,1.85,-1.25,,,,,
D1,11/09/04,Bayern Munich,Bielefeld,1,0,H,1,0,H,14,5,15,19,3,3,1,1,0,0,1.2,5,12,1.2,5.6,11,1.2,6,13,1.2,5,10,1.25,4.5,10,1.2,5.5,12,1.25,4.8,8.5,1.5,2.35,1.53,2.4,2.05,1.7,-2,1.82,2.02,-1.75,1.8,2.1,-1.75,,,,,
D1,11/09/04,Bochum,Dortmund,2,2,D,1,0,H,11,15,18,24,3,7,1,4,0,0,2.375,3.2,2.625,2.5,3.3,2.5,2.5,3.2,2.7,2.4,3,2.6,2.375,3.2,2.6,2.4,3.2,2.7,2.37,3,2.7,1.71,2,1.85,1.95,2.1,1.67,-0.25,1.78,2.06,0,1.875,2.025,0,,,,,
D1,11/09/04,Mainz,Leverkusen,2,0,H,0,0,D,11,6,10,18,2,4,0,1,0,0,3.5,3.25,1.909,3.95,3.4,1.8,3.9,3.4,1.9,3.2,3.1,2,3.5,3.2,1.909,3.4,3.25,2,3.3,3.2,1.95,1.6,2.15,1.65,2.2,2.15,1.65,0.25,1.94,1.9,0.5,1.875,2.025,0.5,,,,,
D1,11/09/04,M'gladbach,Werder Bremen,3,1,H,1,0,H,13,16,24,18,3,5,3,2,0,0,2.875,3.2,2.2,3.2,3.3,2.05,3.1,3.2,2.25,2.7,3,2.3,2.8,3.2,2.2,3,3.2,2.2,2.8,3.2,2.2,1.65,2.05,1.7,2.1,1.9,1.95,0.25,1.92,1.92,0.25,1.9,2,0.25,,,,,
D1,11/09/04,Nurnberg,Hertha,0,0,D,0,0,D,21,12,25,14,7,5,0,2,0,0,2.25,3.2,2.8,2.4,3.3,2.6,2.4,3.2,2.85,2.4,3,2.6,2.25,3.2,2.75,2.3,3.25,2.8,2.37,3.1,2.62,1.71,2,1.75,2.05,2.1,1.67,-0.25,1.78,2.06,0,1.8,2.1,0,,,,,
D1,11/09/04,Stuttgart,Hamburg,2,0,H,1,0,H,11,14,20,20,4,5,1,3,0,0,1.571,3.6,5,1.5,3.9,5.6,1.65,3.4,5.6,1.6,3.4,4.6,1.571,3.5,5,1.61,3.4,5.5,1.57,3.5,5,1.65,2.05,1.75,2.05,2.1,1.67,-1,1.74,2.1,-0.75,1.775,2.125,-0.75,,,,,
D1,11/09/04,Wolfsburg,Schalke 04,3,0,H,2,0,H,20,18,20,20,6,4,3,5,0,0,2.3,3.2,2.7,2.4,3.3,2.6,2.3,3.25,3,2.2,3,2.9,2.2,3.25,2.75,2.25,3.2,2.9,2.2,3.2,2.8,1.71,2,1.7,2.1,1.7,2.05,0,1.98,1.86,-0.25,2.025,1.875,-0.25,,,,,
D1,12/09/04,Hannover,Freiburg,2,2,D,2,0,H,8,13,22,14,5,7,1,1,0,0,1.833,3.25,3.75,1.8,3.4,3.95,1.9,3.4,3.85,1.85,3.1,3.6,1.909,3.2,3.5,1.85,3.3,3.8,1.95,3.3,3.25,1.71,2,1.7,2.1,1.65,2.15,-0.25,1.82,2.02,-0.5,1.9,2,-0.5,,,,,
D1,12/09/04,Hansa Rostock,Kaiserslautern,2,3,A,0,2,A,20,18,19,20,8,2,2,2,0,0,1.909,3.25,3.5,1.9,3.3,3.7,1.95,3.3,3.7,1.85,3.1,3.6,1.909,3.2,3.5,1.9,3.25,3.75,1.83,3.3,3.6,1.75,1.95,1.7,2.1,1.67,2.1,-0.25,1.92,1.92,-0.5,1.975,1.925,-0.5,,,,,
D1,18/09/04,Bielefeld,Mainz,1,1,D,0,0,D,15,18,17,20,4,3,2,4,0,1,2.25,3.25,2.75,2,3.35,3.3,2.2,3.25,3.15,2,3.1,3.2,2.2,3.2,2.8,2.2,3.25,3,2,3.2,3.2,1.71,2,1.8,2,1.55,2.3,0,1.92,1.92,-0.25,1.95,1.95,-0.25,,,,,
D1,18/09/04,Dortmund,Bayern Munich,2,2,D,1,0,H,8,18,15,13,1,7,3,2,0,0,2.75,3,2.37,2.9,3.3,2.2,2.85,3.2,2.4,2.5,3,2.5,2.6,3.2,2.38,2.75,3.2,2.38,2.5,3.1,2.5,1.71,2,1.8,2,2.12,1.75,0,2.1,1.74,0,2.125,1.775,0,,,,,
D1,18/09/04,Hansa Rostock,Wolfsburg,1,2,A,1,1,D,12,14,19,18,7,6,5,3,1,0,2.3,3.2,2.7,2.2,3.3,2.9,2.4,3.2,2.85,2.3,3,2.7,2.38,3.2,2.6,2.38,3.2,2.75,2.5,3.1,2.5,1.65,2.05,1.65,2.2,2.1,1.7,-0.25,2.12,1.72,-0.25,1.775,2.125,0,,,,,
D1,18/09/04,Kaiserslautern,Hamburg,2,1,H,1,0,H,14,16,25,28,4,5,3,5,0,0,2.2,3.25,2.8,2.05,3.3,3.2,2.15,3.25,3.25,1.85,3.1,3.6,2.2,3.2,2.8,2.25,3.25,2.88,2,3.2,3.2,1.71,2,1.66,2.15,1.55,2.3,0,1.82,2.02,-0.25,1.9,2,-0.25,,,,,
D1,18/09/04,Leverkusen,Nurnberg,2,2,D,0,1,A,13,15,13,28,4,4,2,3,0,0,1.4,3.75,7.5,1.45,3.9,6.3,1.45,3.9,7.5,1.45,3.8,5.4,1.44,3.6,6.5,1.5,3.6,6.5,1.44,3.6,6.5,1.6,2.15,1.61,2.25,2.15,1.65,-1.25,1.76,2.08,-1,1.8,2.1,-1,,,,,
D1,18/09/04,Schalke 04,M'gladbach,3,2,H,1,1,D,19,11,21,14,11,4,2,1,0,0,1.66,3.4,4.5,1.55,3.7,5.3,1.73,3.4,4.75,1.65,3.3,4.4,1.73,3.4,4,1.73,3.4,4.5,1.61,3.3,5,1.75,1.95,1.8,2,2.45,1.5,-1,2.02,1.82,-0.75,2.075,1.825,-0.75,,,,,
D1,18/09/04,Werder Bremen,Hannover,3,0,H,1,0,H,20,7,19,13,4,3,2,1,0,1,1.5,3.5,6,1.4,4.2,6.6,1.53,3.75,6.2,1.65,3.3,4.4,1.5,3.6,5.5,1.44,3.75,7,1.5,3.4,6,1.65,2.05,1.61,2.25,1.8,2.05,-0.75,2.1,1.74,-1,1.8,2.1,-0.75,,,,,
D1,19/09/04,Freiburg,Bochum,1,1,D,0,0,D,12,8,10,15,5,4,3,1,0,0,2.3,3.2,2.7,2.3,3.3,2.75,2.3,3.25,3,2.2,3,2.9,2.25,3.2,2.75,2.3,3.2,2.88,2.3,3.2,2.62,1.71,2,1.66,2.15,1.7,2.05,0,2.06,1.78,-0.25,2.1,1.8,-0.25,,,,,
D1,19/09/04,Hertha,Stuttgart,0,0,D,0,0,D,11,12,13,24,4,3,3,2,1,0,2.6,3.2,2.4,2.45,3.15,2.65,2.65,3.2,2.55,2.4,2.9,2.7,2.5,3.2,2.5,2.6,3.2,2.5,2.4,3.1,2.6,1.75,1.95,1.8,2,2.3,1.55,-0.25,1.88,1.96,0,1.9,2,0,,,,,
D1,25/09/04,Bayern Munich,Freiburg,3,1,H,2,1,H,15,14,19,18,11,4,3,2,0,0,1.28,4.5,8.5,1.25,5,9.8,1.31,4.75,9.5,1.3,4.2,8,1.3,4.33,8,1.3,4.75,8.5,1.3,4.33,8,1.55,2.2,1.61,2.25,1.6,2.2,-1.25,1.98,1.86,-1.5,2,1.9,-1.5,,,,,
D1,25/09/04,Bochum,Werder Bremen,1,4,A,0,0,D,9,22,17,18,3,3,2,2,0,0,2.62,3.2,2.37,2.6,3.3,2.4,2.7,3.2,2.5,2.6,3,2.4,2.4,3.25,2.5,2.75,3.2,2.38,2.5,3.1,2.5,1.6,2.1,1.66,2.15,2.2,1.6,-0.25,2.02,1.82,0,2.05,1.85,0,,,,,
D1,25/09/04,Hannover,Schalke 04,1,0,H,0,0,D,15,13,18,19,4,8,1,0,0,0,2.5,3.2,2.5,2.6,3.3,2.4,2.6,3.2,2.6,2.5,3,2.5,2.5,3.2,2.5,2.5,3.2,2.6,2.6,3.1,2.4,1.65,2,1.66,2.15,2.2,1.6,-0.25,1.92,1.92,0,1.9,2,0,,,,,
D1,25/09/04,M'gladbach,Hansa Rostock,2,2,D,2,0,H,19,12,23,29,11,9,4,4,0,0,1.83,3.25,3.75,1.8,3.4,4,1.83,3.4,4.25,1.8,3.1,3.8,1.8,3.25,3.75,1.85,3.25,4,1.83,3.2,3.75,1.65,2,1.7,2.1,1.55,2.3,-0.25,1.8,2.04,-0.5,1.825,2.075,-0.5,,,,,
D1,25/09/04,Nurnberg,Bielefeld,1,2,A,0,1,A,12,11,24,18,7,2,4,1,0,0,1.8,3.25,4,1.75,3.4,4.3,1.83,3.35,4.25,1.85,3.1,3.6,1.73,3.4,4,1.8,3.4,4,1.83,3.2,3.75,1.79,1.9,1.75,2.05,1.83,1.87,-0.5,2.02,1.82,-0.75,2.025,1.875,-0.75,,,,,
D1,25/09/04,Stuttgart,Leverkusen,3,0,H,2,0,H,18,9,22,13,5,8,1,2,0,0,2.2,3.25,2.8,2.15,3.2,3.1,2.2,3.3,3.1,2.2,3,2.9,2.1,3.2,3,2.1,3.25,3.2,2.1,3.1,3.1,1.75,1.95,1.75,2.05,1.55,2.3,0,1.92,1.92,-0.25,2,1.9,-0.25,,,,,
D1,25/09/04,Wolfsburg,Kaiserslautern,2,1,H,1,0,H,18,16,19,23,6,3,1,5,0,0,1.61,3.4,5,1.65,3.5,4.8,1.7,3.4,5,1.65,3.3,4.4,1.62,3.5,4.5,1.67,3.5,4.75,1.7,3.3,4.33,1.55,2.25,1.65,2.2,2.05,1.7,-1,1.76,2.08,-0.75,1.8,2.1,-0.75,,,,,
D1,26/09/04,Hamburg,Hertha,2,1,H,1,1,D,23,18,18,21,8,5,3,4,0,0,2.1,3.25,3,2.2,3.2,3,2.2,3.3,3.1,2.1,3,3.1,2.1,3.2,3,2.2,3.2,3,2.15,3.1,3,1.75,1.95,1.75,2.05,1.55,2.3,0,1.88,1.96,-0.25,1.925,1.975,-0.25,,,,,
D1,26/09/04,Mainz,Dortmund,1,1,D,0,1,A,22,15,13,17,8,4,1,2,0,0,2.62,3.2,2.37,2.8,3.25,2.3,2.85,3.25,2.35,2.9,3,2.2,2.6,3.2,2.38,2.88,3.2,2.3,2.75,3.1,2.3,1.65,2,1.66,2.15,1.8,2.05,0.25,1.82,2.02,0.25,1.8,2.1,0.25,,,,,
D1,28/09/04,Hannover,Bielefeld,0,1,A,0,0,D,17,10,18,13,4,7,2,2,0,0,1.83,3.25,3.75,1.8,3.4,4,1.85,3.4,4,1.8,3.1,3.8,1.91,3.4,3.25,1.91,3.25,3.75,1.9,3.1,3.6,1.71,2,,,1.85,1.84,-0.5,1.8,2.04,-0.5,1.875,2.025,-0.5,,,,,
D1,02/10/04,Dortmund,Nurnberg,2,2,D,2,2,D,11,19,17,16,4,7,1,2,0,0,1.57,3.4,5.5,1.5,3.9,5.6,1.55,3.7,6.1,1.5,3.7,5,1.53,3.5,5.5,1.5,3.6,6.5,1.53,3.5,5.5,1.65,2,1.61,2.25,2.3,1.57,-1.25,1.84,2,-1,1.825,2.075,-1,,,,,
D1,02/10/04,Freiburg,Mainz,1,2,A,0,1,A,12,11,18,20,7,10,0,1,0,0,1.9,3.25,3.5,2,3.25,3.4,2,3.25,3.7,1.9,3.1,3.5,1.91,3.25,3.4,2,3.2,3.5,1.9,3.1,3.6,1.85,1.85,1.85,1.95,1.65,2.15,-0.25,2.02,1.82,-0.5,2.05,1.85,-0.5,,,,,
D1,02/10/04,Hansa Rostock,Hannover,1,3,A,0,2,A,15,16,24,18,7,6,3,3,0,0,2,3.25,3.25,1.95,3.3,3.5,2.05,3.25,3.5,1.9,3.1,3.5,1.91,3.2,3.5,2.1,3.2,3.25,1.9,3.1,3.6,1.6,2.1,1.66,2.15,1.75,2,-0.25,2,1.84,-0.5,2.05,1.85,-0.5,,,,,
D1,02/10/04,Kaiserslautern,Hertha,0,2,A,0,1,A,13,11,21,23,6,5,2,4,0,0,2,3.25,3.25,2.1,3.2,3.2,2.15,3.2,3.3,2,3.1,3.2,2.1,3.2,3,2.1,3.2,3.25,2.1,3.1,3.1,1.75,1.95,1.7,2.1,1.5,2.45,0,1.96,1.88,-0.25,1.925,1.975,-0.25,,,,,
D1,02/10/04,Leverkusen,Hamburg,3,0,H,1,0,H,14,15,15,18,3,4,2,2,0,0,1.61,3.4,5,1.5,3.9,5.6,1.57,3.6,6.1,1.65,3.3,4.4,1.57,3.5,5,1.57,3.6,5.5,1.57,3.3,5.5,1.6,2.15,1.61,2.25,2.3,1.55,-1.25,2,1.84,-1,2.05,1.85,-1,,,,,
D1,02/10/04,Werder Bremen,Bayern Munich,1,2,A,0,1,A,16,8,15,30,6,6,3,4,0,0,2.37,3.2,2.62,2.4,3.3,2.6,2.5,3.25,2.7,2.5,3,2.5,2.4,3.25,2.5,2.5,3.2,2.6,2.4,3.1,2.6,1.65,2,1.7,2.1,2.2,1.6,-0.25,,,,1.9,2,0,,,,,
D1,02/10/04,Wolfsburg,M'gladbach,2,1,H,2,1,H,13,11,22,20,8,3,0,4,0,0,1.61,3.4,5,1.65,3.5,4.8,1.7,3.4,5.1,1.65,3.3,4.4,1.57,3.5,5,1.62,3.6,5,1.57,3.5,5,1.6,2.15,1.57,2.3,1.85,2,-0.75,1.86,1.98,-0.75,1.875,2.025,-0.75,,,,,
D1,03/10/04,Bielefeld,Stuttgart,0,2,A,0,1,A,8,12,9,22,6,3,0,0,0,0,3.25,3.25,2,3.7,3.3,1.9,3.5,3.25,2.05,3.5,3.1,1.9,3.2,3.2,2,3.5,3.2,2,3,3.1,2.15,1.75,1.95,1.9,1.9,2.1,1.67,0.25,1.88,1.96,0.5,1.85,2.05,0.5,,,,,
D1,03/10/04,Schalke 04,Bochum,3,2,H,3,0,H,17,19,16,20,4,8,4,3,1,0,1.9,3.25,3.5,1.75,3.4,4.2,1.8,3.3,4.5,1.8,3.1,3.8,1.91,3.2,3.5,1.83,3.3,4,1.8,3.1,4,1.65,2.05,1.61,2.25,1.5,2.45,-0.25,1.8,2.04,-0.5,1.825,2.075,-0.5,,,,,
D1,16/10/04,Bayern Munich,Schalke 04,0,1,A,0,0,D,8,9,22,17,8,3,3,3,0,0,1.57,3.4,5.5,1.5,3.9,5.6,1.55,3.8,5.85,1.5,3.7,5,1.5,3.4,6,1.5,3.75,6,1.53,3.5,5.5,1.55,2.25,1.61,2.25,2,1.8,-1,2.04,1.8,-1,2.075,1.825,-1,,,,,
D1,16/10/04,Bochum,Hansa Rostock,0,1,A,0,0,D,16,16,19,20,7,7,2,3,0,0,1.8,3.25,4,1.8,3.4,4,1.85,3.35,4.15,1.8,3.1,3.8,1.8,3.25,3.75,1.75,3.4,4.33,1.83,3.2,3.75,1.6,2.15,1.66,2.15,1.85,1.85,-0.5,2.12,1.72,-0.75,2.15,1.75,-0.75,,,,,
