Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,,,,,,,
G1,24/08/02,Egaleo,AEK,1,1,D,1,1,D,6.75,4.2,1.4,,,,6,3.6,1.444,,,,1.6,2.05,,,,,,,
G1,24/08/02,Panahaiki,Aris,0,1,A,0,0,D,2.4,3.15,2.57,2.3,2.9,2.5,2.375,3.1,2.625,,,,1.9,1.7,,,,,,,
G1,25/08/02,Akratitos,Xanthi,0,1,A,0,0,D,2.33,3.05,2.75,2.3,2.9,2.5,2.3,3.1,2.7,,,,1.9,1.7,,,,,,,
G1,25/08/02,Iraklis,OFI,3,0,H,1,0,H,1.65,3.35,4.55,1.6,3.2,4.2,1.667,3.3,4.5,1.65,3.25,4.5,1.8,1.8,,,,,,,
G1,25/08/02,Olympiakos,Kalithea,1,0,H,0,0,D,1.12,6.5,15,1.1,6.5,13,1.154,5.5,13,,,,,,,,,,,,
G1,25/08/02,Panionios,Ionikos,2,0,H,1,0,H,1.62,3.4,5.25,1.65,3.1,4,1.6,3.3,5,,,,1.8,1.8,,,,,,,
G1,25/08/02,PAOK,Panathinaikos,4,1,H,3,1,H,2.6,3,2.45,2.4,2.9,2.4,2.5,3.1,2.5,2.55,2.9,2.5,1.9,1.72,,,,,,,
G1,25/08/02,Proodeftiki,Giannina,1,0,H,0,0,D,1.75,3.25,4,1.75,3.1,3.6,1.833,3.2,3.75,,,,1.85,1.75,,,,,,,
G1,31/08/02,Aris,Panionios,1,0,H,1,0,H,1.55,3.4,5.1,1.55,3.3,4.5,1.615,3.3,5,1.6,3.35,4.8,1.85,1.75,,,,,,,
G1,01/09/02,AEK,Giannina,3,1,H,2,0,H,1.13,7,15,1.1,7,11,1.1,6.5,15,,,,,,,,,,,,
G1,01/09/02,Ionikos,Egaleo,0,0,D,0,0,D,2,3.2,3.6,1.85,3,3.3,2,3.1,3.3,,,,1.95,1.65,,,,,,,
G1,01/09/02,Kalithea,Akratitos,0,2,A,0,1,A,1.85,3.2,3.75,1.85,3,3.3,1.909,3.2,3.5,,,,1.85,1.75,,,,,,,
G1,01/09/02,OFI,Olympiakos,0,1,A,0,0,D,3.85,3.3,1.8,3.5,3,1.8,4,3.3,1.75,3.5,3.1,1.9,1.7,1.9,,,,,,,
G1,01/09/02,Panahaiki,Iraklis,0,2,A,0,2,A,2.55,3,2.55,2.4,2.9,2.4,2.5,3.1,2.5,,,,1.9,1.7,,,,,,,
G1,01/09/02,Panathinaikos,Proodeftiki,0,1,A,0,1,A,1.11,7,15,1.1,7,11,1.1,6.5,15,,,,,,,,,,,,
G1,01/09/02,Xanthi,PAOK,1,1,D,1,0,H,2.75,3,2.35,2.5,2.9,2.3,2.7,3.1,2.3,2.6,2.95,2.45,1.85,1.75,,,,,,,
G1,14/09/02,AEK,Panathinaikos,1,0,H,1,0,H,2.05,3.05,3.12,2.2,2.9,2.7,2.1,3,3.2,2,3,3.4,1.95,1.65,,,,,,,
G1,14/09/02,Iraklis,Olympiakos,2,2,D,1,1,D,3.25,3.05,2.18,3.1,3,1.9,3.25,3.1,2,3,2.9,2.2,1.75,1.85,,,,,,,
G1,14/09/02,PAOK,Kalithea,2,3,A,1,1,D,1.13,6.4,14,1.15,5.55,11,1.111,6.5,13,,,,,,,,,,,,
G1,15/09/02,Akratitos,OFI,1,1,D,0,1,A,2.32,3.1,2.8,2.3,2.9,2.5,2.25,3.1,2.8,,,,1.95,1.75,,,,,,,
G1,15/09/02,Egaleo,Aris,3,0,H,1,0,H,2.45,3,2.55,2.4,2.9,2.4,2.4,3,2.625,,,,1.95,1.65,,,,,,,
G1,15/09/02,Panionios,Panahaiki,2,0,H,0,0,D,1.45,3.65,6.75,1.4,3.6,5.5,1.364,3.75,8,,,,1.75,1.85,,,,,,,
G1,15/09/02,Proodeftiki,Xanthi,1,1,D,1,0,H,2.33,3.1,2.8,2.3,2.9,2.5,2.3,3,2.75,,,,2,1.65,,,,,,,
G1,15/09/02,Giannina,Ionikos,2,3,A,1,1,D,1.77,3.25,3.9,1.8,3,3.5,1.85,3.2,3.6,,,,1.95,1.65,,,,,,,
G1,21/09/02,Kalithea,Proodeftiki,1,1,D,0,1,A,2.02,3.1,3.3,2.1,3,2.8,2.2,3.1,2.875,,,,1.9,1.7,,,,,,,
G1,21/09/02,Olympiakos,Akratitos,4,0,H,2,0,H,1.11,6.75,16,1.1,6.5,13,1.071,7.5,17,,,,,,,,,,,,
G1,22/09/02,Aris,Giannina,2,0,H,1,0,H,1.33,4,8.55,1.3,4,7,1.333,4,8,,,,1.6,2,,,,,,,
G1,22/09/02,Ionikos,Panathinaikos,0,1,A,0,0,D,6.25,3.5,1.45,5.5,3.6,1.4,6.5,3.6,1.444,,,,1.71,2,,,,,,,
G1,22/09/02,OFI,PAOK,2,3,A,0,2,A,2.25,3,2.87,2.2,3,2.6,2.1,3.1,2.9,2.15,3.1,2.9,1.75,1.95,,,,,,,
G1,22/09/02,Panahaiki,Egaleo,0,2,A,0,0,D,2.25,3,2.8,2.2,3,2.6,2.4,3.1,2.625,,,,2,1.7,,,,,,,
G1,22/09/02,Panionios,Iraklis,3,1,H,2,0,H,2.25,3,2.8,2.2,3,2.6,2,3.1,3.1,2.15,3.1,2.9,1.85,1.75,,,,,,,
G1,22/09/02,Xanthi,AEK,0,1,A,0,1,A,3.12,3.05,2.07,2.9,3,2,3.4,3.25,1.909,2.75,3.05,2.25,1.85,1.75,,,,,,,
G1,26/10/02,AEK,Kalithea,1,0,H,1,0,H,1.16,6.5,15,1.1,6,14,1.1,6.5,13,,,,1.5,2.4,,,,,,,
G1,26/10/02,PAOK,Olympiakos,1,1,D,0,1,A,2.4,3,2.65,2.4,2.9,2.4,2.4,3,2.6,2.4,2.8,2.75,1.9,1.8,,,,,,,
G1,27/10/02,Egaleo,Panionios,0,0,D,0,0,D,2.15,3,2.95,2.1,2.8,3,2.2,3,2.9,,,,1.9,1.7,,,,,,,
G1,27/10/02,Ionikos,Xanthi,0,0,D,0,0,D,2.15,3.05,3,2,2.9,3,2,3.1,3.2,,,,1.9,1.7,,,,,,,
G1,27/10/02,Iraklis,Akratitos,1,0,H,1,0,H,1.32,4.25,8.33,1.35,3.6,6.5,1.364,3.75,7.5,,,,1.5,2.25,,,,,,,
G1,27/10/02,Panathinaikos,Aris,3,2,H,3,1,H,1.3,4.25,8.33,1.4,3.6,5.5,1.364,3.75,7.5,1.45,3.6,6,1.7,1.9,,,,,,,
G1,27/10/02,Proodeftiki,OFI,0,0,D,0,0,D,2.08,3.15,3.25,2,2.9,3,2,3.1,3.2,,,,1.85,1.75,,,,,,,
G1,27/10/02,Giannina,Panahaiki,3,0,H,2,0,H,1.78,3.25,4.33,1.65,3,4.2,1.667,3.2,4.5,,,,1.8,1.8,,,,,,,
G1,02/11/02,Kalithea,Ionikos,0,1,A,0,1,A,2,3.2,3.1,1.9,3,3.1,1.909,3.2,3.25,,,,,,,,,,,,
G1,03/11/02,Akratitos,PAOK,1,3,A,1,0,H,2.95,3.2,2.1,2.9,2.9,2.1,3.1,3.2,2,,,,,,,,,,,,
G1,03/11/02,Aris,Xanthi,1,1,D,0,1,A,1.55,3.4,5.1,1.55,3.3,4.5,1.615,3.4,4.5,1.5,3.4,5.8,,,,,,,,,
G1,03/11/02,Egaleo,Iraklis,0,2,A,0,2,A,2.2,3.1,2.8,2.1,2.9,2.9,2.2,3.1,2.8,,,,,,,,,,,,
G1,03/11/02,OFI,AEK,1,0,H,0,0,D,3.5,3.1,1.9,3,2.9,2,4,3.2,1.75,3.3,3,2,,,,,,,,,
G1,03/11/02,Olympiakos,Proodeftiki,0,0,D,0,0,D,1.15,6,11,1.15,5.5,9,1.143,6,11,,,,,,,,,,,,
G1,03/11/02,Panahaiki,Panathinaikos,0,3,A,0,2,A,8.5,4.6,1.25,,,,8,4.333,1.286,,,,,,,,,,,,
G1,03/11/02,Panionios,Giannina,2,0,H,1,0,H,1.4,3.6,7,,,,1.364,3.75,7.5,,,,,,,,,,,,
G1,09/11/02,AEK,Olympiakos,1,1,D,1,1,D,2.25,3,2.9,2.2,2.9,2.7,2.25,3,2.875,2.25,2.9,2.9,1.85,1.75,,,,,,,
G1,10/11/02,Aris,Kalithea,1,1,D,0,1,A,1.4,3.7,6.6,1.4,3.5,5.6,1.4,3.75,7,,,,1.83,1.83,,,,,,,
G1,10/11/02,Ionikos,OFI,1,1,D,0,0,D,2.05,3.05,3.4,2,2.9,3,2,3.1,3.3,,,,1.95,1.65,,,,,,,
G1,10/11/02,Iraklis,PAOK,1,1,D,1,0,H,2.25,2.95,2.85,2,2.9,3,2.3,3,2.8,2.25,2.9,2.9,1.83,1.83,,,,,,,
G1,10/11/02,Panathinaikos,Panionios,1,0,H,1,0,H,1.37,4.1,6.6,1.4,3.6,5.5,1.333,4,8,1.4,4,6,1.65,1.95,,,,,,,
G1,10/11/02,Proodeftiki,Akratitos,5,1,H,2,1,H,1.6,3.45,5,1.55,3.2,4.6,1.571,3.5,5,,,,2,1.78,,,,,,,
G1,10/11/02,Xanthi,Panahaiki,1,1,D,1,0,H,1.25,4.7,9.75,,,,1.2,5,11,,,,1.73,1.93,,,,,,,
G1,10/11/02,Giannina,Egaleo,1,1,D,0,1,A,1.96,3.1,3.5,,,,2,3.1,3.25,,,,1.95,1.65,,,,,,,
G1,23/11/02,OFI,Aris,1,2,A,1,0,H,1.85,3.25,3.5,1.8,3,3.5,1.8,3.25,3.8,1.85,3.2,3.6,1.9,1.7,,,,,,,
G1,24/11/02,Akratitos,AEK,3,2,H,2,0,H,7.75,4.25,1.33,7.7,3.7,1.3,8,4.333,1.3,,,,1.65,1.95,,,,,,,
G1,24/11/02,Egaleo,Panathinaikos,0,0,D,0,0,D,7,3.7,1.4,6,3.4,1.4,7.5,3.75,1.364,,,,1.7,1.9,,,,,,,
G1,24/11/02,Olympiakos,Ionikos,6,0,H,3,0,H,1.17,6.66,11.11,1.15,5,12,1.143,6,12,,,,1.55,2.15,,,,,,,
G1,24/11/02,Panahaiki,Kalithea,1,2,A,0,2,A,2,3.2,3.1,2,2.9,3,2,3.2,3.2,,,,1.9,1.7,,,,,,,
G1,24/11/02,Panionios,Xanthi,0,3,A,0,2,A,1.68,3.2,4.78,1.65,3,4.2,1.727,3.25,4.2,1.7,3.1,4.5,1.8,1.8,,,,,,,
G1,24/11/02,PAOK,Proodeftiki,4,1,H,1,0,H,1.35,4.25,7.5,1.35,3.6,6.5,1.333,4,8,,,,1.7,1.9,,,,,,,
G1,24/11/02,Giannina,Iraklis,0,0,D,0,0,D,2.52,3,2.47,2.5,2.8,2.4,2.6,3.1,2.4,,,,1.85,1.75,,,,,,,
G1,30/11/02,Iraklis,Proodeftiki,1,0,H,1,0,H,1.65,3.25,4.52,1.65,2.9,4.4,1.571,3.5,5,,,,,,,,,,,,
G1,01/12/02,AEK,PAOK,3,4,A,2,3,A,,,,,,,,,,,,,,,,,,,,,
G1,01/12/02,Aris,Olympiakos,0,0,D,0,0,D,3.2,3.1,2,3,2.9,2,4.2,3.25,1.727,3,3,2.15,,,,,,,,,
G1,01/12/02,Ionikos,Akratitos,1,1,D,0,0,D,1.7,3.25,4.2,1.7,2.9,4,1.85,3.25,3.6,,,,,,,,,,,,
G1,01/12/02,Kalithea,Panionios,1,1,D,1,1,D,2.4,3.05,2.55,2.4,2.9,2.4,2.3,3.2,2.625,,,,,,,,,,,,
G1,01/12/02,OFI,Panahaiki,3,0,H,2,0,H,1.4,3.8,6.3,1.3,4,7,1.4,3.75,7,,,,,,,,,,,,
G1,01/12/02,Panathinaikos,Giannina,1,0,H,1,0,H,1.15,6,13,1.15,5.5,11,1.143,6,12,,,,,,,,,,,,
G1,01/12/02,Xanthi,Egaleo,5,0,H,3,0,H,1.75,3.2,4,1.75,2.9,3.8,1.727,3.25,4.2,,,,,,,,,,,,
G1,07/12/02,Akratitos,Aris,0,2,A,0,1,A,2.4,3,2.73,2.4,2.9,2.4,2.5,3.1,2.5,,,,1.85,1.75,,,,,,,
G1,08/12/02,Egaleo,Kalithea,0,0,D,0,0,D,1.81,3.2,3.75,1.8,3,3.5,1.85,3.25,3.6,,,,1.8,1.8,,,,,,,
G1,08/12/02,Olympiakos,Panahaiki,7,0,H,3,0,H,1.06,7.5,20,1.05,7,15,1.063,7.5,21,,,,1.4,2.5,,,,,,,
G1,08/12/02,Panathinaikos,Iraklis,2,0,H,2,0,H,1.4,3.6,7.77,1.4,3.5,5.6,1.364,3.8,7.5,1.45,3.3,7,1.6,2.05,,,,,,,
G1,08/12/02,Panionios,OFI,0,0,D,0,0,D,1.7,3.2,4.25,1.7,3.1,3.8,1.667,3.3,4.5,1.7,3.2,4.3,1.75,1.85,,,,,,,
G1,08/12/02,PAOK,Ionikos,3,0,H,1,0,H,1.2,4.95,10,1.2,4.7,9,1.222,5,9,,,,1.55,2.15,,,,,,,
G1,08/12/02,Proodeftiki,AEK,1,1,D,1,1,D,4.5,3.25,1.66,4,3.1,1.65,4.5,3.3,1.667,,,,1.75,1.85,,,,,,,
G1,08/12/02,Giannina,Xanthi,1,1,D,1,0,H,2.3,3.25,2.55,2.3,2.9,2.5,2.5,3.1,2.5,,,,1.85,1.75,,,,,,,
G1,14/12/02,OFI,Egaleo,2,2,D,1,1,D,1.65,3.3,4.65,1.6,3.2,4.2,1.667,3.25,4.5,,,,1.8,1.8,,,,,,,
G1,15/12/02,Aris,PAOK,2,0,H,0,0,D,2.5,3,2.55,2.35,3,2.35,2.5,3.1,2.5,2.55,2.85,2.55,1.75,1.85,,,,,,,
G1,15/12/02,Ionikos,Proodeftiki,0,1,A,0,0,D,2.15,3.05,3,2.2,2.8,2.8,2.25,3,2.875,,,,1.95,1.65,,,,,,,
G1,15/12/02,Kalithea,Giannina,2,2,D,1,2,A,1.85,3.25,3.6,1.8,3.2,3.3,1.85,3.3,3.5,,,,1.95,1.65,,,,,,,
G1,15/12/02,Olympiakos,Panionios,3,0,H,2,0,H,1.17,5.5,12,1.2,4.7,9,1.167,5.5,12,,,,1.45,2.35,,,,,,,
G1,15/12/02,Panahaiki,Akratitos,2,0,H,0,0,D,2.35,3,2.72,2.35,3,2.35,,,,,,,1.9,1.7,,,,,,,
G1,15/12/02,Xanthi,Panathinaikos,0,0,D,0,0,D,3.35,3.15,1.95,3,3.1,1.9,3.6,3.25,1.85,3.4,3.05,1.95,1.8,1.8,,,,,,,
G1,16/12/02,Iraklis,AEK,0,2,A,0,1,A,2.6,3,2.45,2.35,3,2.35,2.625,3.1,2.375,2.65,2.9,2.4,1.8,1.8,,,,,,,
G1,21/12/02,Proodeftiki,Aris,3,1,H,0,0,D,2.45,3,2.65,2.45,2.8,2.45,2.5,3,2.5,,,,1.85,1.75,,,,,,,
G1,22/12/02,AEK,Ionikos,3,0,H,0,0,D,1.11,7,14,1.15,5.5,11,1.083,7,15,,,,1.5,2.25,,,,,,,
G1,22/12/02,Akratitos,Panionios,0,3,A,0,1,A,2.2,3.1,2.9,2.2,2.7,2.9,2.3,3,2.75,,,,1.95,1.65,,,,,,,
G1,22/12/02,Egaleo,Olympiakos,0,2,A,0,1,A,7,3.8,1.41,6,3.4,1.4,7.5,3.75,1.364,,,,1.75,1.85,,,,,,,
G1,22/12/02,Panathinaikos,Kalithea,1,0,H,0,0,D,1.11,7,14,1.15,5.5,11,1.1,6.5,13,,,,,,,,,,,,
G1,22/12/02,PAOK,Panahaiki,4,0,H,2,0,H,1.2,6,12,1.2,5,8,1.1,6.5,13,,,,1.5,2.25,,,,,,,
G1,22/12/02,Xanthi,Iraklis,1,0,H,0,0,D,2.15,3.1,3,2.2,2.7,2.9,2.1,3,3.1,2,3,3.3,2.05,1.6,,,,,,,
G1,22/12/02,Giannina,OFI,0,0,D,0,0,D,2.15,3.1,3,2.35,2.7,2.65,2.1,3,3.1,,,,1.9,1.7,,,,,,,
G1,04/01/03,Akratitos,Egaleo,0,1,A,0,1,A,2.35,3,2.76,2.3,2.9,2.5,2.3,3.1,2.7,,,,1.9,1.7,,,,,,,
G1,04/01/03,Panionios,PAOK,2,0,H,0,0,D,2.55,3,2.55,2.4,2.9,2.4,2.7,3.1,2.3,,,,1.8,1.8,,,,,,,
G1,05/01/03,Aris,AEK,1,1,D,1,1,D,2.65,3,2.4,2.6,3,2.2,2.75,3.1,2.3,,,,1.8,1.85,,,,,,,
G1,05/01/03,Iraklis,Ionikos,3,2,H,2,2,D,1.28,4.5,8.25,1.3,4,7,1.3,4.333,8,,,,1.7,1.9,,,,,,,
G1,05/01/03,Kalithea,Xanthi,0,1,A,0,0,D,2.45,3,2.6,2.4,2.9,2.4,2.5,3.1,2.5,,,,1.95,1.65,,,,,,,
G1,05/01/03,OFI,Panathinaikos,0,2,A,0,2,A,4,3.25,1.75,3.5,3,1.8,4,3.25,1.75,,,,1.8,1.8,,,,,,,
G1,05/01/03,Olympiakos,Giannina,2,1,H,1,0,H,1.1,7,15,1.1,6.5,13,1.1,7,13,,,,1.45,2.35,,,,,,,
G1,05/01/03,Panahaiki,Proodeftiki,1,1,D,0,0,D,2.6,3,2.45,2.6,3,2.2,2.6,3.1,2.4,,,,1.95,1.65,,,,,,,
G1,11/01/03,Kalithea,Iraklis,1,0,H,0,0,D,2.7,3,2.45,2.45,2.8,2.45,2.6,3,2.5,,,,1.9,1.7,,,,,,,
G1,11/01/03,Giannina,Akratitos,1,0,H,1,0,H,1.58,3.4,5.3,1.65,3,4.2,1.667,3.3,4.5,,,,1.8,1.8,,,,,,,
G1,12/01/03,AEK,Panahaiki,6,0,H,1,0,H,1.1,7.5,14,1.1,6,14,1.083,7,17,,,,,,,,,,,,
G1,12/01/03,Ionikos,Aris,0,1,A,0,0,D,2.7,3,2.45,2.7,2.9,2.2,2.6,3,2.5,,,,1.9,1.7,,,,,,,
G1,12/01/03,Panathinaikos,Olympiakos,3,2,H,1,1,D,2.3,3.1,2.8,2.5,2.8,2.7,2.3,3.1,2.75,2.35,2.95,2.7,1.85,1.75,,,,,,,
G1,12/01/03,PAOK,Egaleo,4,0,H,0,0,D,1.35,4,8,1.4,3.2,6.5,1.333,4,8,,,,1.63,2,,,,,,,
G1,12/01/03,Proodeftiki,Panionios,0,1,A,0,0,D,2.2,3.1,3,2.2,2.9,2.7,2.2,3.1,2.875,,,,1.9,1.7,,,,,,,
G1,12/01/03,Xanthi,OFI,1,4,A,1,1,D,1.6,3.3,5.4,1.6,2.9,4.8,1.6,3.3,5,1.75,3.2,4,1.8,1.8,,,,,,,
