Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
G1,27/08/11,Giannina,Aris,0,0,D,0,0,D,3.4,3,2.3,3.2,2.85,2.4,3.1,3,2.3,2.9,3,2.3,2.87,3,2.25,3.1,3,2.25,3.1,3,2.45,3.25,3,2.25,3.4,3.1,2.4,3,3,2.25,34,3.4,3.1,3.2,2.98,2.45,2.31,20,2.65,2.49,1.53,1.48,16,0.25,1.9,1.86,2.03,1.99
G1,27/08/11,OFI,Atromitos,1,1,D,0,1,A,2.6,3,2.88,2.45,2.95,3,2.5,2.9,2.9,2.5,3,2.7,2.5,2.87,2.62,2.5,2.9,2.8,2.75,3,2.75,2.63,2.88,2.8,2.75,3,2.88,2.5,2.88,2.75,34,2.75,2.52,3.1,2.93,3.1,2.82,20,2.62,2.47,1.53,1.49,13,0,1.82,1.78,2.11,2.05
G1,28/08/11,Kerkyra,Panathinaikos,0,2,A,0,0,D,6,3.6,1.62,5,3.4,1.7,5.25,3.4,1.65,5,3.6,1.6,5.5,3.4,1.53,5.75,3.5,1.55,5.5,3.5,1.7,5.75,3.4,1.62,6,3.6,1.7,5,3.4,1.62,34,6.5,5.56,3.6,3.42,1.7,1.62,20,2.35,2.22,1.65,1.59,16,0.75,2.07,2.01,1.87,1.84
G1,28/08/11,Panionios,Ergotelis,2,2,D,1,0,H,2.1,3.1,3.75,2,3.1,3.9,1.95,3.2,3.75,1.9,3.2,3.8,2,3,3.4,1.85,3.2,4,2.15,3.1,3.65,1.91,3.2,4,2.1,3.12,4,2,3,3.6,34,2.15,2.02,3.4,3.1,4,3.67,20,2.62,2.46,1.53,1.49,17,-0.5,2.14,2.06,1.83,1.78
G1,28/08/11,PAOK,Xanthi,1,0,H,1,0,H,1.57,3.5,7,1.55,3.4,7,1.5,3.6,7,1.4,3.8,7.5,1.5,3.25,6.5,1.5,3.5,7,1.44,4,8.5,1.44,3.75,8,1.57,3.8,7.5,1.5,3.8,5.5,32,1.62,1.52,4,3.56,8.5,6.53,18,2.5,2.31,1.62,1.55,15,-1,2.19,2.13,1.78,1.75
G1,10/09/11,Ergotelis,PAOK,2,1,H,0,0,D,3.25,3.2,2.1,4.1,3.1,1.95,3.5,3.1,2.1,3.7,3.3,1.9,3.4,3,2,3.4,3.1,2.05,3.9,3,2.1,3.5,3.1,2.1,3.8,3.12,2.15,3.4,3,2.1,34,4.1,3.52,3.2,3.07,2.18,2.07,21,2.38,2.28,1.6,1.56,14,0.5,1.78,1.72,2.2,2.14
G1,10/09/11,Panetolikos,Panionios,0,1,A,0,1,A,2.3,3,3.1,2.25,3,3.3,2.3,3.1,3,2.4,3,2.9,2.38,2.88,2.8,2.25,3,3.1,2.3,3.1,3.3,2.5,2.9,2.9,2.38,3.1,3.25,2.1,3,3.3,35,2.5,2.24,3.15,3,3.5,3.18,22,2.5,2.4,1.6,1.51,9,0,1.64,1.56,2.49,2.37
G1,11/09/11,Aris,Atromitos,0,1,A,0,1,A,1.8,3.3,4.2,1.83,3.2,4.5,1.83,3.2,4.33,1.65,3.4,4.7,1.62,3.3,5,1.75,3.25,4.5,1.95,3.1,4.3,1.7,3.4,5,1.91,3.25,4.75,1.67,3.3,5,35,1.97,1.83,3.4,3.21,5,4.3,23,2.38,2.29,1.6,1.56,10,-0.75,2.28,2.23,1.7,1.68
G1,11/09/11,Asteras Tripolis,Kerkyra,0,0,D,0,0,D,2.2,3.1,3.2,2.05,3,3.9,2.15,3.1,3.3,,,,2,3,3.4,2.1,3.1,3.3,2.1,3,3.9,2.15,3.1,3.4,2.2,3.1,3.8,2.15,3,3.3,35,2.23,2.11,3.2,3.06,3.9,3.44,23,2.62,2.39,1.55,1.51,12,-0.25,1.88,1.84,2.08,2.02
G1,11/09/11,Panathinaikos,Giannina,3,1,H,2,0,H,1.25,5.25,10,1.23,5.25,13,1.25,5,11,1.2,5.5,12,1.2,5,11,1.22,5.25,11,1.25,5.5,12,1.22,5.5,12,1.29,5.5,12,1.22,5.25,10,34,1.26,1.24,6,5.19,15,10.86,29,1.9,1.83,2.03,1.93,12,-1.75,2.11,2.06,1.85,1.8
