Id,event_id,ground_id,created_at,updated_at
1,8,170,2014-10-17T00:54:17.9822660-04:00,2014-10-17T00:54:17.9822660-04:00
2,8,171,2014-10-17T00:54:17.9828810-04:00,2014-10-17T00:54:17.9828810-04:00
3,8,172,2014-10-17T00:54:17.9832660-04:00,2014-10-17T00:54:17.9832660-04:00
4,8,173,2014-10-17T00:54:17.9836230-04:00,2014-10-17T00:54:17.9836230-04:00
5,8,174,2014-10-17T00:54:17.9840290-04:00,2014-10-17T00:54:17.9840290-04:00
6,8,176,2014-10-17T00:54:17.9844080-04:00,2014-10-17T00:54:17.9844080-04:00
7,8,177,2014-10-17T00:54:17.9847800-04:00,2014-10-17T00:54:17.9847800-04:00
8,8,178,2014-10-17T00:54:17.9851990-04:00,2014-10-17T00:54:17.9851990-04:00
9,8,179,2014-10-17T00:54:17.9855760-04:00,2014-10-17T00:54:17.9855760-04:00
10,8,180,2014-10-17T00:54:17.9859590-04:00,2014-10-17T00:54:17.9859590-04:00
11,8,182,2014-10-17T00:54:17.9863370-04:00,2014-10-17T00:54:17.9863370-04:00
12,8,183,2014-10-17T00:54:17.9866890-04:00,2014-10-17T00:54:17.9866890-04:00
13,9,13,2014-10-17T00:54:20.6975380-04:00,2014-10-17T00:54:20.6975380-04:00
14,9,35,2014-10-17T00:54:20.6981050-04:00,2014-10-17T00:54:20.6981050-04:00
15,9,38,2014-10-17T00:54:20.6985060-04:00,2014-10-17T00:54:20.6985060-04:00
16,9,40,2014-10-17T00:54:20.6988920-04:00,2014-10-17T00:54:20.6988920-04:00
17,9,47,2014-10-17T00:54:20.6992770-04:00,2014-10-17T00:54:20.6992770-04:00
18,9,48,2014-10-17T00:54:20.6996510-04:00,2014-10-17T00:54:20.6996510-04:00
19,9,50,2014-10-17T00:54:20.7001000-04:00,2014-10-17T00:54:20.7001000-04:00
20,10,113,2014-10-17T00:54:21.0446930-04:00,2014-10-17T00:54:21.0446930-04:00
21,10,114,2014-10-17T00:54:21.0451580-04:00,2014-10-17T00:54:21.0451580-04:00
22,10,115,2014-10-17T00:54:21.0455390-04:00,2014-10-17T00:54:21.0455390-04:00
23,10,120,2014-10-17T00:54:21.0459460-04:00,2014-10-17T00:54:21.0459460-04:00
24,10,121,2014-10-17T00:54:21.0463410-04:00,2014-10-17T00:54:21.0463410-04:00
25,10,122,2014-10-17T00:54:21.0466960-04:00,2014-10-17T00:54:21.0466960-04:00
26,10,123,2014-10-17T00:54:21.0471360-04:00,2014-10-17T00:54:21.0471360-04:00
