Id,key,title,synonyms,country_id,city_id,since,capacity,address,created_at,updated_at
1,stadedemarrakech,Stade de Marrakech,,29,1018,,45240,,2014-10-17T00:54:03.6510650-04:00,2014-10-17T00:54:03.6696720-04:00
2,stadeadrar,Stade Adrar,,29,138,,45480,,2014-10-17T00:54:03.6719360-04:00,2014-10-17T00:54:03.6829450-04:00
3,ellisparkstadium,Ellis Park Stadium,,34,153,,55686,,2014-10-17T00:54:03.6910320-04:00,2014-10-17T00:54:03.6936210-04:00
4,soccercity,Soccer City,,34,153,,84490,,2014-10-17T00:54:03.6951240-04:00,2014-10-17T00:54:03.6977270-04:00
5,capetownstadium,Cape Town Stadium,,34,1019,,64100,,2014-10-17T00:54:03.6993760-04:00,2014-10-17T00:54:03.7033170-04:00
6,mosesmabhidastadium,Moses Mabhida Stadium,,34,156,,62760,,2014-10-17T00:54:03.7050770-04:00,2014-10-17T00:54:03.7078970-04:00
7,loftusversfeldstadium,Loftus Versfeld Stadium,,34,154,,42858,,2014-10-17T00:54:03.7097100-04:00,2014-10-17T00:54:03.7124000-04:00
8,nelsonmandelabaystadium,Nelson Mandela Bay Stadium,,34,157,,42486,,2014-10-17T00:54:03.7140630-04:00,2014-10-17T00:54:03.7164870-04:00
9,petermokabastadium,Peter Mokaba Stadium,,34,158,,41733,,2014-10-17T00:54:03.7181680-04:00,2014-10-17T00:54:03.7213750-04:00
10,mbombelastadium,Mbombela Stadium,,34,159,,40929,,2014-10-17T00:54:03.7236190-04:00,2014-10-17T00:54:03.7293790-04:00
11,freestatestadium,Free State Stadium,,34,160,,40911,,2014-10-17T00:54:03.7347090-04:00,2014-10-17T00:54:03.7384030-04:00
12,royalbafokengstadium,Royal Bafokeng Stadium,,34,161,,38646,,2014-10-17T00:54:03.7404490-04:00,2014-10-17T00:54:03.7434700-04:00
13,happelstadion,Happel-Stadion,Ernst-Happel-Stadion|Praterstadion,106,1020,1931,53295,,2014-10-17T00:54:03.7476470-04:00,2014-10-17T00:54:03.7522880-04:00
14,hanappistadion,Hanappi-Stadion,Gerhard-Hanappi-Stadion|Weststadion,106,1020,1977,18456,,2014-10-17T00:54:03.7541410-04:00,2014-10-17T00:54:03.7569660-04:00
15,horrstadion,Horr-Stadion,Franz-Horr-Stadion|$Generali$ Arena,106,1020,1925,13135,,2014-10-17T00:54:03.7587460-04:00,2014-10-17T00:54:03.7615260-04:00
16,hohewarte,Hohe Warte,Stadion Hohe Warte,106,1020,,6000,,2014-10-17T00:54:03.7632210-04:00,2014-10-17T00:54:03.7658770-04:00
17,wienersportclubplatz,Wiener Sportclub-Platz,,106,1020,1904,8700,,2014-10-17T00:54:03.7679800-04:00,2014-10-17T00:54:03.7750640-04:00
18,simmeringerhad,Simmeringer Had,,106,1020,1920,5000,,2014-10-17T00:54:03.7768840-04:00,2014-10-17T00:54:03.7797480-04:00
19,upcarena,$UPC$-Arena,,106,1021,1997,15323,,2014-10-17T00:54:03.7814720-04:00,2014-10-17T00:54:03.7855780-04:00
20,gruabn,Gruabn,,106,1021,1919,10500,,2014-10-17T00:54:03.7873590-04:00,2014-10-17T00:54:03.7900740-04:00
21,franzfeketestadion,Franz-Fekete-Stadion,,106,1022,1950,12000,,2014-10-17T00:54:03.7919120-04:00,2014-10-17T00:54:03.7973420-04:00
22,stadionhartberg,Stadion Hartberg,,106,1023,,6000,,2014-10-17T00:54:03.7991680-04:00,2014-10-17T00:54:03.8084010-04:00
23,linzerstadion,Linzer Stadion,Stadion auf der Gugl,106,1024,1952,20104,,2014-10-17T00:54:03.8103310-04:00,2014-10-17T00:54:03.8143670-04:00
24,keinesorgenarena,$Keine Sorgen$ Arena,,106,1025,2003,7334,,2014-10-17T00:54:03.8161350-04:00,2014-10-17T00:54:03.8199850-04:00
25,waldstadion,Waldstadion,$Commerzbank$-Arena,109,421,,48132,,2014-10-17T00:54:03.8219220-04:00,2014-10-17T00:54:04.1105730-04:00
26,vorwaertsstadion,VorwÃ¤rts-Stadion,,106,1027,,10000,,2014-10-17T00:54:03.8275690-04:00,2014-10-17T00:54:03.8315230-04:00
27,wienerneustaedterstadion,Wiener NeustÃ¤dter Stadion,Stadion Wiener Neustadt,106,1028,1955,7036,,2014-10-17T00:54:03.8333900-04:00,2014-10-17T00:54:03.8473520-04:00
28,bundesstadionsuedstadt,Bundesstadion SÃ¼dstadt,,106,1029,1967,12000,,2014-10-17T00:54:03.8491760-04:00,2014-10-17T00:54:03.8530700-04:00
29,nvarena,$NV$-Arena,NiederÃ¶sterreich-Arena,106,1030,2012,8000,,2014-10-17T00:54:03.8548780-04:00,2014-10-17T00:54:03.8589770-04:00
30,voithplatz,Voithplatz,,106,1030,,8000,,2014-10-17T00:54:03.8607720-04:00,2014-10-17T00:54:03.8634590-04:00
31,sportplatzhorn,Sportplatz Horn,,106,1031,,3000,,2014-10-17T00:54:03.8650570-04:00,2014-10-17T00:54:03.8690380-04:00
32,seppdollstadion,Sepp-Doll-Stadion,Kremserstadion,106,1032,1923,10000,,2014-10-17T00:54:03.8711890-04:00,2014-10-17T00:54:03.8753170-04:00
33,pappelstadion,Pappelstadion,,106,1033,1952,15700,,2014-10-17T00:54:03.8770830-04:00,2014-10-17T00:54:03.8808870-04:00
34,heidebodenstadion,Heidebodenstadion,,106,1034,,5000,,2014-10-17T00:54:03.8826050-04:00,2014-10-17T00:54:03.8866660-04:00
35,woertherseestadion,WÃ¶rtherseestadion,$Hypo$-Arena,106,1035,2008,32000,,2014-10-17T00:54:03.8889200-04:00,2014-10-17T00:54:03.8931550-04:00
36,lavanttalarena,Lavanttal-Arena,,106,1036,2003,7700,,2014-10-17T00:54:03.8949250-04:00,2014-10-17T00:54:03.8986970-04:00
37,goldeckstadion,Goldeckstadion,,106,1037,,6500,,2014-10-17T00:54:03.9003940-04:00,2014-10-17T00:54:03.9045030-04:00
38,walssiezenheimstadion,Wals-Siezenheim-Stadion,$Red Bull$ Arena,106,1038,2003,31020,,2014-10-17T00:54:03.9063360-04:00,2014-10-17T00:54:03.9105560-04:00
39,untersbergarena,Untersberg-Arena,,106,1039,1989,2955,,2014-10-17T00:54:03.9124760-04:00,2014-10-17T00:54:03.9166770-04:00
40,tivoli,Tivoli,Tivoli-Neu Stadion,106,1040,2000,17400,,2014-10-17T00:54:03.9184870-04:00,2014-10-17T00:54:03.9242210-04:00
