Id,group_id,team_id,created_at,updated_at
1,1,33,2014-10-17T00:54:11.7064410-04:00,2014-10-17T00:54:11.7064410-04:00
2,1,52,2014-10-17T00:54:11.7085720-04:00,2014-10-17T00:54:11.7085720-04:00
3,1,43,2014-10-17T00:54:11.7105710-04:00,2014-10-17T00:54:11.7105710-04:00
4,1,23,2014-10-17T00:54:11.7123840-04:00,2014-10-17T00:54:11.7123840-04:00
5,2,5,2014-10-17T00:54:11.7189270-04:00,2014-10-17T00:54:11.7189270-04:00
6,2,6,2014-10-17T00:54:11.7209920-04:00,2014-10-17T00:54:11.7209920-04:00
7,2,14,2014-10-17T00:54:11.7228970-04:00,2014-10-17T00:54:11.7228970-04:00
8,2,8,2014-10-17T00:54:11.7249110-04:00,2014-10-17T00:54:11.7249110-04:00
9,3,17,2014-10-17T00:54:11.7304230-04:00,2014-10-17T00:54:11.7304230-04:00
10,3,3,2014-10-17T00:54:11.7322900-04:00,2014-10-17T00:54:11.7322900-04:00
11,3,39,2014-10-17T00:54:11.7341120-04:00,2014-10-17T00:54:11.7341120-04:00
12,3,7,2014-10-17T00:54:11.7392820-04:00,2014-10-17T00:54:11.7392820-04:00
13,4,18,2014-10-17T00:54:11.7471970-04:00,2014-10-17T00:54:11.7471970-04:00
14,4,54,2014-10-17T00:54:11.7491110-04:00,2014-10-17T00:54:11.7491110-04:00
15,4,45,2014-10-17T00:54:11.7509510-04:00,2014-10-17T00:54:11.7509510-04:00
16,4,38,2014-10-17T00:54:11.7527880-04:00,2014-10-17T00:54:11.7527880-04:00
17,5,16,2014-10-17T00:54:11.7582680-04:00,2014-10-17T00:54:11.7582680-04:00
18,5,25,2014-10-17T00:54:11.7602400-04:00,2014-10-17T00:54:11.7602400-04:00
19,5,28,2014-10-17T00:54:11.7621700-04:00,2014-10-17T00:54:11.7621700-04:00
20,5,19,2014-10-17T00:54:11.7642500-04:00,2014-10-17T00:54:11.7642500-04:00
21,6,20,2014-10-17T00:54:11.7704040-04:00,2014-10-17T00:54:11.7704040-04:00
22,6,48,2014-10-17T00:54:11.7724120-04:00,2014-10-17T00:54:11.7724120-04:00
23,6,34,2014-10-17T00:54:11.7786430-04:00,2014-10-17T00:54:11.7786430-04:00
24,6,50,2014-10-17T00:54:11.7805680-04:00,2014-10-17T00:54:11.7805680-04:00
25,7,2,2014-10-17T00:54:11.7861740-04:00,2014-10-17T00:54:11.7861740-04:00
26,7,8,2014-10-17T00:54:11.7881610-04:00,2014-10-17T00:54:11.7881610-04:00
27,7,49,2014-10-17T00:54:11.7904050-04:00,2014-10-17T00:54:11.7904050-04:00
28,7,55,2014-10-17T00:54:11.7928500-04:00,2014-10-17T00:54:11.7928500-04:00
29,8,1,2014-10-17T00:54:11.7986510-04:00,2014-10-17T00:54:11.7986510-04:00
30,8,11,2014-10-17T00:54:11.8006070-04:00,2014-10-17T00:54:11.8006070-04:00
31,8,15,2014-10-17T00:54:11.8024760-04:00,2014-10-17T00:54:11.8024760-04:00
32,8,35,2014-10-17T00:54:11.8044510-04:00,2014-10-17T00:54:11.8044510-04:00
33,9,22,2014-10-17T00:54:11.8103720-04:00,2014-10-17T00:54:11.8103720-04:00
34,9,4,2014-10-17T00:54:11.8125860-04:00,2014-10-17T00:54:11.8125860-04:00
35,9,25,2014-10-17T00:54:11.8145770-04:00,2014-10-17T00:54:11.8145770-04:00
36,9,21,2014-10-17T00:54:11.8165570-04:00,2014-10-17T00:54:11.8165570-04:00
37,10,13,2014-10-17T00:54:11.8222690-04:00,2014-10-17T00:54:11.8222690-04:00
38,10,40,2014-10-17T00:54:11.8241870-04:00,2014-10-17T00:54:11.8241870-04:00
39,10,42,2014-10-17T00:54:11.8260460-04:00,2014-10-17T00:54:11.8260460-04:00
40,10,10,2014-10-17T00:54:11.8280100-04:00,2014-10-17T00:54:11.8280100-04:00
41,11,179,2014-10-17T00:54:13.0657080-04:00,2014-10-17T00:54:13.0657080-04:00
42,11,180,2014-10-17T00:54:13.0681350-04:00,2014-10-17T00:54:13.0681350-04:00
43,11,70,2014-10-17T00:54:13.0704020-04:00,2014-10-17T00:54:13.0704020-04:00
44,11,85,2014-10-17T00:54:13.0723000-04:00,2014-10-17T00:54:13.0723000-04:00
45,12,74,2014-10-17T00:54:13.0785680-04:00,2014-10-17T00:54:13.0785680-04:00
46,12,182,2014-10-17T00:54:13.0808220-04:00,2014-10-17T00:54:13.0808220-04:00
47,12,181,2014-10-17T00:54:13.0827950-04:00,2014-10-17T00:54:13.0827950-04:00
48,12,188,2014-10-17T00:54:13.0846470-04:00,2014-10-17T00:54:13.0846470-04:00
49,13,69,2014-10-17T00:54:13.0909490-04:00,2014-10-17T00:54:13.0909490-04:00
50,13,72,2014-10-17T00:54:13.0927800-04:00,2014-10-17T00:54:13.0927800-04:00
51,13,73,2014-10-17T00:54:13.0946580-04:00,2014-10-17T00:54:13.0946580-04:00
52,13,67,2014-10-17T00:54:13.0964700-04:00,2014-10-17T00:54:13.0964700-04:00
53,14,193,2014-10-17T00:54:13.1013830-04:00,2014-10-17T00:54:13.1013830-04:00
54,14,183,2014-10-17T00:54:13.1031460-04:00,2014-10-17T00:54:13.1031460-04:00
55,14,186,2014-10-17T00:54:13.1060590-04:00,2014-10-17T00:54:13.1060590-04:00
56,14,86,2014-10-17T00:54:13.1084370-04:00,2014-10-17T00:54:13.1084370-04:00
57,15,178,2014-10-17T00:54:13.1147460-04:00,2014-10-17T00:54:13.1147460-04:00
58,15,185,2014-10-17T00:54:13.1172170-04:00,2014-10-17T00:54:13.1172170-04:00
59,15,177,2014-10-17T00:54:13.1192650-04:00,2014-10-17T00:54:13.1192650-04:00
60,15,80,2014-10-17T00:54:13.1212110-04:00,2014-10-17T00:54:13.1212110-04:00
61,16,178,2014-10-17T00:54:13.5259260-04:00,2014-10-17T00:54:13.5259260-04:00
62,16,74,2014-10-17T00:54:13.5277950-04:00,2014-10-17T00:54:13.5277950-04:00
63,16,69,2014-10-17T00:54:13.5298880-04:00,2014-10-17T00:54:13.5298880-04:00
64,16,185,2014-10-17T00:54:13.5318280-04:00,2014-10-17T00:54:13.5318280-04:00
65,16,182,2014-10-17T00:54:13.5337480-04:00,2014-10-17T00:54:13.5337480-04:00
66,17,72,2014-10-17T00:54:13.5435130-04:00,2014-10-17T00:54:13.5435130-04:00
67,17,193,2014-10-17T00:54:13.5454000-04:00,2014-10-17T00:54:13.5454000-04:00
68,17,180,2014-10-17T00:54:13.5472340-04:00,2014-10-17T00:54:13.5472340-04:00
