Id,msg,level,app,tag,pid,tid,ts,created_at,updated_at
1,hash reader - found implicit bool (no) for key; adding quotes to turn into string; see yaml.org/refcard.html (path=world.db/europe/2-more/continents.yml),warn,,,14998,2156059640,2014-10-17 00:53:53.791787,2014-10-17T00:53:53.7959660-04:00,2014-10-17T00:53:53.7959660-04:00
2,hash reader - found implicit bool (no) for key; adding quotes to turn into string; see yaml.org/refcard.html (path=world.db/europe/1-codes/fifa.yml),warn,,,14998,2156059640,2014-10-17 00:53:55.614950,2014-10-17T00:53:55.6152780-04:00,2014-10-17T00:53:55.6152780-04:00
3,hash reader - found implicit bool (no) for key; adding quotes to turn into string; see yaml.org/refcard.html (path=world.db/europe/1-codes/internet.yml),warn,,,14998,2156059640,2014-10-17 00:53:55.742389,2014-10-17T00:53:55.7426940-04:00,2014-10-17T00:53:55.7426940-04:00
4,hash reader - found implicit bool (no) for value; adding quotes to turn into string; see yaml.org/refcard.html (path=world.db/europe/1-codes/internet.yml),warn,,,14998,2156059640,2014-10-17 00:53:55.748324,2014-10-17T00:53:55.7487410-04:00,2014-10-17T00:53:55.7487410-04:00
5,hash reader - found implicit bool (no) for key; adding quotes to turn into string; see yaml.org/refcard.html (path=world.db/europe/1-codes/iso3.yml),warn,,,14998,2156059640,2014-10-17 00:53:55.889400,2014-10-17T00:53:55.8897560-04:00,2014-10-17T00:53:55.8897560-04:00
6,hash reader - found implicit bool (no) for key; adding quotes to turn into string; see yaml.org/refcard.html (path=world.db/europe/1-codes/motor.yml),warn,,,14998,2156059640,2014-10-17 00:53:56.024938,2014-10-17T00:53:56.0252650-04:00,2014-10-17T00:53:56.0252650-04:00
7,hash reader - found implicit bool (N) for value; adding quotes to turn into string; see yaml.org/refcard.html (path=world.db/europe/1-codes/motor.yml),warn,,,14998,2156059640,2014-10-17 00:53:56.026466,2014-10-17T00:53:56.0267150-04:00,2014-10-17T00:53:56.0267150-04:00
8,unknown world.db fixture type >europe/fr/france/cities<,error,,,14998,2156059640,2014-10-17 00:53:57.969470,2014-10-17T00:53:57.9698110-04:00,2014-10-17T00:53:57.9698110-04:00
9,hash reader - found implicit bool (on) for key; adding quotes to turn into string; see yaml.org/refcard.html (path=world.db/north-america/ca-canada/regions.abbr.yml),warn,,,14998,2156059640,2014-10-17 00:53:59.851178,2014-10-17T00:53:59.8515200-04:00,2014-10-17T00:53:59.8515200-04:00
10,unknown type for value >???<,warn,,,14998,2156059640,2014-10-17 00:54:01.128559,2014-10-17T00:54:01.1288850-04:00,2014-10-17T00:54:01.1288850-04:00
11,unknown type for value >???<,warn,,,14998,2156059640,2014-10-17 00:54:01.132917,2014-10-17T00:54:01.1333330-04:00,2014-10-17T00:54:01.1333330-04:00
12,unknown type for value >???<,warn,,,14998,2156059640,2014-10-17 00:54:01.136479,2014-10-17T00:54:01.1367520-04:00,2014-10-17T00:54:01.1367520-04:00
