Id,name,kind,lat,lng,created_at,updated_at
1,Europe,CONT,,,2014-10-17T00:53:49.9293570-04:00,2014-10-17T00:53:49.9293570-04:00
2,South America,CONT,,,2014-10-17T00:53:49.9320030-04:00,2014-10-17T00:53:49.9320030-04:00
3,North America,CONT,,,2014-10-17T00:53:49.9341730-04:00,2014-10-17T00:53:49.9341730-04:00
4,Central America,CONT,,,2014-10-17T00:53:49.9364410-04:00,2014-10-17T00:53:49.9364410-04:00
5,Caribbean,CONT,,,2014-10-17T00:53:49.9390100-04:00,2014-10-17T00:53:49.9390100-04:00
6,Africa,CONT,,,2014-10-17T00:53:49.9413210-04:00,2014-10-17T00:53:49.9413210-04:00
7,Middle East,CONT,,,2014-10-17T00:53:49.9435190-04:00,2014-10-17T00:53:49.9435190-04:00
8,Asia,CONT,,,2014-10-17T00:53:49.9456940-04:00,2014-10-17T00:53:49.9456940-04:00
9,Pacific,CONT,,,2014-10-17T00:53:49.9482670-04:00,2014-10-17T00:53:49.9482670-04:00
10,Others,CONT,,,2014-10-17T00:53:49.9506600-04:00,2014-10-17T00:53:49.9506600-04:00
11,Burundi,CNTY,,,2014-10-17T00:53:49.9635450-04:00,2014-10-17T00:53:49.9635450-04:00
12,Bujumbura,CITY,,,2014-10-17T00:53:49.9720950-04:00,2014-10-17T00:53:49.9720950-04:00
13,Comoros,CNTY,,,2014-10-17T00:53:50.0093310-04:00,2014-10-17T00:53:50.0093310-04:00
14,Moroni,CITY,,,2014-10-17T00:53:50.0122890-04:00,2014-10-17T00:53:50.0122890-04:00
15,Djibouti,CNTY,,,2014-10-17T00:53:50.0255210-04:00,2014-10-17T00:53:50.0255210-04:00
16,Djibouti,CITY,,,2014-10-17T00:53:50.0283450-04:00,2014-10-17T00:53:50.0283450-04:00
17,Eritrea,CNTY,,,2014-10-17T00:53:50.0415910-04:00,2014-10-17T00:53:50.0415910-04:00
18,Asmara,CITY,,,2014-10-17T00:53:50.0443720-04:00,2014-10-17T00:53:50.0443720-04:00
19,Ethiopia,CNTY,,,2014-10-17T00:53:50.0575510-04:00,2014-10-17T00:53:50.0575510-04:00
20,Kenya,CNTY,,,2014-10-17T00:53:50.0705560-04:00,2014-10-17T00:53:50.0705560-04:00
21,Nairobi,MTRO,,,2014-10-17T00:53:50.0730820-04:00,2014-10-17T00:53:54.5413020-04:00
22,Madagascar,CNTY,,,2014-10-17T00:53:50.1042400-04:00,2014-10-17T00:53:50.1042400-04:00
23,Antananarivo [Tananarive],MTRO,,,2014-10-17T00:53:50.1068280-04:00,2014-10-17T00:53:54.5800840-04:00
24,Malawi,CNTY,,,2014-10-17T00:53:50.1239320-04:00,2014-10-17T00:53:50.1239320-04:00
