Id,name,key,place_id,code,abbr,iso,nuts,alt_names,country_id,pop,area,created_at,updated_at
1,Bruxellesâ€¢Brussel [Brussels (Capital Region)],bru,564,,,,,,107,,161,2014-10-17T00:53:56.1504220-04:00,2014-10-17T00:53:56.1504220-04:00
2,Antwerpen [Antwerp],van,565,,,,,,107,,2867,2014-10-17T00:53:56.1620670-04:00,2014-10-17T00:53:56.1620670-04:00
3,Limburg,vli,567,,,,,,107,,2422,2014-10-17T00:53:56.1729320-04:00,2014-10-17T00:53:56.1729320-04:00
4,Oost-Vlaanderen [East Flanders],vov,569,,,,,,107,,2982,2014-10-17T00:53:56.1828440-04:00,2014-10-17T00:53:56.1828440-04:00
5,Vlaams-Brabant [Flemish Brabant],vbr,571,,,,,,107,,2106,2014-10-17T00:53:56.1918080-04:00,2014-10-17T00:53:56.1918080-04:00
6,West-Vlaanderen [West Flanders],vwv,573,,,,,,107,,3144,2014-10-17T00:53:56.2037420-04:00,2014-10-17T00:53:56.2037420-04:00
7,Brabant Wallon [Walloon Brabant],wbr,575,,,,,,107,,1091,2014-10-17T00:53:56.2154940-04:00,2014-10-17T00:53:56.2154940-04:00
8,Hainaut,wht,577,,,,,,107,,3786,2014-10-17T00:53:56.2255040-04:00,2014-10-17T00:53:56.2255040-04:00
9,LiÃ¨ge,wlg,579,,,,,,107,,3862,2014-10-17T00:53:56.2351960-04:00,2014-10-17T00:53:56.2351960-04:00
10,Luxembourg,wlx,581,,,,,,107,,4440,2014-10-17T00:53:56.2450300-04:00,2014-10-17T00:53:56.2450300-04:00
11,Namur,wna,583,,,,,,107,,3666,2014-10-17T00:53:56.2548080-04:00,2014-10-17T00:53:56.2548080-04:00
12,Sofija City,so,588,,,BG-22,,,123,,1349,2014-10-17T00:53:56.3091110-04:00,2014-10-17T00:53:56.6862230-04:00
13,Sofija Province,sf,590,,,BG-23,,,123,,7277,2014-10-17T00:53:56.3265290-04:00,2014-10-17T00:53:56.6881260-04:00
14,Blagoevgrad,bl,591,,,BG-01,,,123,,6478,2014-10-17T00:53:56.3329780-04:00,2014-10-17T00:53:56.6437780-04:00
15,Pernik,pe,593,,,BG-14,,,123,,2377,2014-10-17T00:53:56.3436330-04:00,2014-10-17T00:53:56.6699350-04:00
16,Kyustendil,ky,595,,,BG-10,,,123,,3027,2014-10-17T00:53:56.3530960-04:00,2014-10-17T00:53:56.6621920-04:00
17,Plovdiv,pv,597,,,BG-16,,,123,,5973,2014-10-17T00:53:56.3746580-04:00,2014-10-17T00:53:56.6739170-04:00
18,Haskovo,ha,599,,,BG-26,,,123,,4033,2014-10-17T00:53:56.3875170-04:00,2014-10-17T00:53:56.6939790-04:00
19,Pazardzhik,pa,601,,,BG-13,,,123,,4393,2014-10-17T00:53:56.3975130-04:00,2014-10-17T00:53:56.6680060-04:00
