Id,key,slug,name,grade,parent_id,created_at,updated_at
1,africa,africa,africa,1,,2014-10-17T00:53:49.8021340-04:00,2014-10-17T00:53:49.8021340-04:00
2,america,america,america,1,,2014-10-17T00:53:49.8040410-04:00,2014-10-17T00:53:49.8040410-04:00
3,asia,asia,asia,1,,2014-10-17T00:53:49.8055380-04:00,2014-10-17T00:53:49.8055380-04:00
4,europe,europe,europe,1,,2014-10-17T00:53:49.8071660-04:00,2014-10-17T00:53:49.8071660-04:00
5,oceania,oceania,oceania,1,,2014-10-17T00:53:49.8088010-04:00,2014-10-17T00:53:49.8088010-04:00
6,northern africa,northern_africa,northern africa,1,,2014-10-17T00:53:49.8105280-04:00,2014-10-17T00:53:49.8105280-04:00
7,western africa,western_africa,western africa,1,,2014-10-17T00:53:49.8122370-04:00,2014-10-17T00:53:49.8122370-04:00
8,central africa,central_africa,central africa,1,,2014-10-17T00:53:49.8139830-04:00,2014-10-17T00:53:49.8139830-04:00
9,eastern africa,eastern_africa,eastern africa,1,,2014-10-17T00:53:49.8155480-04:00,2014-10-17T00:53:49.8155480-04:00
10,southern africa,southern_africa,southern africa,1,,2014-10-17T00:53:49.8171850-04:00,2014-10-17T00:53:49.8171850-04:00
11,north america,north_america,north america,1,,2014-10-17T00:53:49.8188390-04:00,2014-10-17T00:53:49.8188390-04:00
12,south america,south_america,south america,1,,2014-10-17T00:53:49.8203950-04:00,2014-10-17T00:53:49.8203950-04:00
13,central america,central_america,central america,1,,2014-10-17T00:53:49.8220150-04:00,2014-10-17T00:53:49.8220150-04:00
14,caribbean,caribbean,caribbean,1,,2014-10-17T00:53:49.8240630-04:00,2014-10-17T00:53:49.8240630-04:00
15,andean states,andean_states,andean states,1,,2014-10-17T00:53:49.8261990-04:00,2014-10-17T00:53:49.8261990-04:00
16,southern cone,southern_cone,southern cone,1,,2014-10-17T00:53:49.8278010-04:00,2014-10-17T00:53:49.8278010-04:00
17,northern europe,northern_europe,northern europe,1,,2014-10-17T00:53:49.8295700-04:00,2014-10-17T00:53:49.8295700-04:00
18,southern europe,southern_europe,southern europe,1,,2014-10-17T00:53:49.8313620-04:00,2014-10-17T00:53:49.8313620-04:00
19,western europe,western_europe,western europe,1,,2014-10-17T00:53:49.8330800-04:00,2014-10-17T00:53:49.8330800-04:00
20,central europe,central_europe,central europe,1,,2014-10-17T00:53:49.8347050-04:00,2014-10-17T00:53:49.8347050-04:00
21,eastern europe,eastern_europe,eastern europe,1,,2014-10-17T00:53:49.8362960-04:00,2014-10-17T00:53:49.8362960-04:00
22,southeastern europe,southeastern_europe,southeastern europe,1,,2014-10-17T00:53:49.8378770-04:00,2014-10-17T00:53:49.8378770-04:00
23,baltic,baltic,baltic,1,,2014-10-17T00:53:49.8395050-04:00,2014-10-17T00:53:49.8395050-04:00
24,scandinavia,scandinavia,scandinavia,1,,2014-10-17T00:53:49.8410750-04:00,2014-10-17T00:53:49.8410750-04:00
25,nordic,nordic,nordic,1,,2014-10-17T00:53:49.8427630-04:00,2014-10-17T00:53:49.8427630-04:00
26,balkans,balkans,balkans,1,,2014-10-17T00:53:49.8447920-04:00,2014-10-17T00:53:49.8447920-04:00
27,middle east,middle_east,middle east,1,,2014-10-17T00:53:49.8464140-04:00,2014-10-17T00:53:49.8464140-04:00
28,indian ocean,indian_ocean,indian ocean,1,,2014-10-17T00:53:49.8480000-04:00,2014-10-17T00:53:49.8480000-04:00
29,atlantic ocean,atlantic_ocean,atlantic ocean,1,,2014-10-17T00:53:49.8512020-04:00,2014-10-17T00:53:49.8512020-04:00
30,un,un,un,1,,2014-10-17T00:53:49.8560610-04:00,2014-10-17T00:53:49.8560610-04:00
