Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Birmingham,Ipswich,3,1,H,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Crystal Palace,Barnsley,4,3,H,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Millwall,Grimsby,2,1,H,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Oldham,Huddersfield,3,0,H,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Portsmouth,Southend,4,2,H,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Stoke,Reading,1,1,D,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Sunderland,Leicester,1,2,A,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Tranmere,Wolves,2,2,D,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,Watford,Sheffield United,2,1,H,,,,,,,,,,,,,,,,,,,,,
E1,12/08/95,West Brom,Charlton,1,0,H,,,,,,,,,,,,,,,,,,,,,
E1,13/08/95,Derby,Port Vale,0,0,D,,,,,,,,,,,,,,,,,,,,,
E1,13/08/95,Luton,Norwich,1,3,A,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Barnsley,Oldham,2,1,H,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Charlton,Birmingham,3,1,H,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Grimsby,Portsmouth,2,1,H,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Huddersfield,Watford,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Ipswich,Crystal Palace,1,0,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Leicester,Stoke,2,3,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Norwich,Sunderland,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Port Vale,Millwall,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Reading,Derby,3,2,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Sheffield United,Tranmere,0,2,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,19/08/95,Southend,Luton,0,1,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,20/08/95,Wolves,West Brom,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Birmingham,Norwich,3,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Crystal Palace,Charlton,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Derby,Grimsby,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Luton,Leicester,1,1,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Millwall,Southend,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Oldham,Sheffield United,2,1,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Portsmouth,Reading,0,0,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Sunderland,Wolves,2,0,H,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Tranmere,Huddersfield,3,1,H,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,Watford,Barnsley,2,3,A,,,,,,,,,,,,,,,,,,,,,
E1,26/08/95,West Brom,Ipswich,0,0,D,,,,,,,,,,,,,,,,,,,,,
E1,27/08/95,Stoke,Port Vale,0,1,A,,,,,,,,,,,,,,,,,,,,,
E1,29/08/95,Barnsley,Tranmere,2,1,H,,,,,,,,,,,,,,,,,,,,,
