Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
F2,02/08/13,Arles,Le Havre,2,0,H,2,0,H,2.45,3,3.1,2.5,3,2.85,2.4,3,2.8,2.5,2.88,2.85,2.6,3.14,3.06,2.5,3,2.8,2.5,3,2.88,2.55,3.12,3,36,2.6,2.46,3.25,3.03,3.12,2.92,22,2.47,2.32,1.68,1.56,16,0,1.8,1.75,2.22,2.1
F2,02/08/13,Caen,Dijon,3,1,H,1,0,H,1.95,3.2,4.2,1.95,3.1,4.1,2,3,3.6,2,3,3.8,1.96,3.3,4.61,2,3.1,3.75,1.91,3.2,4,1.92,3.25,4.4,36,2.05,1.94,3.35,3.19,4.58,4.01,24,2.4,2.29,1.68,1.57,15,-0.5,1.98,1.94,1.96,1.92
F2,02/08/13,Chateauroux,Brest,3,3,D,0,1,A,2.38,3,3.25,2.45,3,2.95,2.2,3,3.1,2.4,2.9,2.9,2.48,3.13,3.26,2.45,2.9,3,2.38,3,3,2.4,3.12,3.12,36,2.5,2.39,3.2,3.08,3.27,2.99,22,2.45,2.29,1.65,1.58,15,-0.25,2.14,2.07,1.84,1.8
F2,02/08/13,Clermont,Tours,2,1,H,1,1,D,2.15,3.1,3.6,2.15,3.1,3.4,2.1,3,3.3,2.15,2.9,3.4,2.17,3.19,3.92,2.15,3,3.4,2.1,3.13,3.5,2.15,3.2,3.6,36,2.21,2.14,3.25,3.13,3.87,3.44,23,2.45,2.29,1.65,1.58,15,-0.25,1.9,1.85,2.06,2.01
F2,02/08/13,Istres,Angers,2,4,A,1,2,A,2.5,3,3,2.55,2.95,2.85,2.6,2.9,2.7,2.55,2.85,2.85,2.63,3.09,3.07,2.5,3,2.8,2.5,3,2.8,2.6,3.1,2.9,36,2.64,2.54,3.15,3.01,3.07,2.84,22,2.5,2.35,1.65,1.55,16,0,1.83,1.8,2.11,2.03
F2,02/08/13,Metz,Laval,1,0,H,0,0,D,1.95,3.2,4.2,1.95,3.1,4.1,1.9,3.1,3.8,1.91,3,4,1.99,3.27,4.5,1.91,3.2,4,1.91,3.2,4,1.95,3.3,4.2,36,2.05,1.94,3.3,3.19,4.49,4,23,2.45,2.3,1.65,1.57,15,-0.5,2.02,1.97,1.93,1.89
F2,02/08/13,Nimes,Creteil,2,3,A,1,1,D,1.91,3.25,4.33,1.95,3.2,3.9,1.9,3.1,3.8,1.91,3,4,1.97,3.27,4.62,1.85,3.2,4.2,1.9,3.25,4,1.95,3.3,4.2,35,2.01,1.91,3.4,3.22,4.75,4.08,23,2.46,2.29,1.63,1.57,15,-0.5,2.02,1.96,1.95,1.9
F2,02/08/13,Niort,Troyes,1,1,D,0,0,D,2.5,3,3,2.55,2.95,2.85,2.4,3,2.8,2.6,2.85,2.75,2.6,3.09,3.12,2.5,2.9,2.9,2.5,3,2.88,2.55,3.12,2.9,35,2.67,2.52,3.13,3.01,3.06,2.86,21,2.5,2.33,1.6,1.55,16,0,1.86,1.79,2.11,2.03
F2,03/08/13,Nancy,Auxerre,0,0,D,0,0,D,1.91,3.2,4.33,1.87,3.2,4.33,1.85,3.1,4,1.85,3,4.3,1.93,3.32,4.77,1.91,3.2,4,1.9,3.13,4.33,1.9,3.3,4.5,34,2.02,1.89,3.32,3.21,4.77,4.13,22,2.45,2.29,1.68,1.57,13,-0.5,1.94,1.89,2.01,1.96
F2,04/08/13,Lens,CA Bastia,1,0,H,0,0,D,1.67,3.4,6,1.67,3.5,5,1.65,3.3,4.9,,,,1.65,3.6,6.72,1.73,3.2,5,1.62,3.5,5.5,,,,28,1.73,1.64,3.65,3.48,6.8,5.45,19,2.41,2.27,1.7,1.58,10,-0.75,1.92,1.87,2.04,1.98
