Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SOH,SOD,SOA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,B365>2.5,B365<2.5
D1,09/08/02,Dortmund,Hertha,2,2,D,2,1,H,,,,,,,,,,,,,,,,,,,1.72,3.2,4.33,1.75,1.98,,
D1,10/08/02,Cottbus,Leverkusen,1,1,D,0,0,D,3,3.2,2.1,3.29,3.21,2.2,3.1,3,2.1,3,3.4,2,2.88,3.2,2.2,3,3.1,2.2,3.3,3.1,2,1.7,1.96,,
D1,10/08/02,M'gladbach,Bayern Munich,0,0,D,0,0,D,4,3.5,1.727,4.2,3.5,1.86,4,3.2,1.75,3.5,3.4,1.833,3.6,3.2,1.91,4.333,3.25,1.727,3.8,3.2,1.83,1.82,1.94,,
D1,10/08/02,Nurnberg,Bochum,1,3,A,0,2,A,1.909,3.25,3.4,1.95,3.23,3.7,1.9,3.1,3.5,2,3.4,3,1.91,3.2,3.6,1.909,3.25,3.6,1.83,3,4,1.72,1.92,,
D1,10/08/02,Schalke 04,Wolfsburg,1,0,H,0,0,D,1.571,3.5,5,1.68,3.46,5.37,1.6,3.4,4.6,1.571,3.5,5,1.53,3.5,5.5,1.571,3.5,5.5,1.57,3.25,5.5,1.65,1.95,,
D1,10/08/02,Stuttgart,Kaiserslautern,1,1,D,1,0,H,2.1,3.2,3,2.05,3.21,3.21,2,3.1,3.2,2.1,3.2,3,2.1,3.25,3,2.05,3.2,3.2,2.1,3,3.2,1.8,1.91,,
D1,11/08/02,Bielefeld,Werder Bremen,3,0,H,1,0,H,2.625,3.2,2.3,2.63,3.16,2.6,2.5,3,2.5,2.6,3.2,2.375,,,,2.6,3.1,2.5,2.5,3.1,2.5,1.82,1.95,,
D1,11/08/02,Hamburg,Hannover,2,1,H,0,1,A,1.667,3.4,4.333,1.92,3.3,3.8,1.8,3.1,3.8,1.727,3.4,4,1.73,3.25,4.33,1.727,3.3,4.5,1.66,3.3,4.5,1.7,2.1,,
D1,14/08/02,Munich 1860,Hansa Rostock,0,2,A,0,1,A,1.727,3.2,4.333,1.76,3.31,4.61,1.75,3.2,4,1.727,3.4,4,1.66,3.4,4.5,1.727,3.3,4.5,1.66,3.3,4.5,1.69,1.95,,
D1,17/08/02,Bayern Munich,Bielefeld,6,2,H,3,0,H,1.222,5,9,1.24,5.15,10.75,1.25,4.5,9,1.25,4.5,10,1.22,5,10,1.222,5,11,1.22,5,9.5,1.57,2.12,,
D1,17/08/02,Bochum,Cottbus,5,0,H,3,0,H,1.833,3.2,3.75,1.9,3.3,3.85,1.9,3.1,3.5,1.8,3.2,4,1.8,3.2,4,1.909,3.2,3.75,1.8,3.3,3.75,1.67,1.97,,
D1,17/08/02,Hannover,Munich 1860,1,3,A,1,2,A,2.1,3.2,3,1.95,3.3,3.15,2,3.1,3.2,2,3.2,3.2,2.1,3.25,3,2.1,3.2,3.2,2,3.1,3.3,1.67,1.97,,
D1,17/08/02,Hansa Rostock,Nurnberg,2,0,H,1,0,H,1.833,3.2,3.75,1.7,3.36,4.01,1.75,3.2,4,1.667,3.25,4.5,1.73,3.25,4.33,1.8,3.25,4.2,1.72,3.25,4.2,1.77,1.87,,
D1,17/08/02,Hertha,Stuttgart,1,1,D,0,1,A,1.615,3.5,4.5,1.5,3.4,5.25,1.55,3.5,4.8,1.571,3.5,5,1.53,3.5,5.5,1.615,3.5,5,1.57,3.5,5,1.67,1.98,,
D1,17/08/02,Kaiserslautern,Schalke 04,1,3,A,1,0,H,2.25,3.2,2.75,2.3,3.15,2.87,2.1,3,3.1,2.25,3.2,2.75,2.2,3.25,2.8,2.3,3.1,2.875,2.1,3,3.2,1.77,1.87,,
D1,17/08/02,Leverkusen,Dortmund,1,1,D,1,0,H,2.1,3,3.2,2.16,3.18,3.2,2.1,3,3.1,2.1,3.2,3,2,3.2,3.3,2.1,3.1,3.2,2.1,3,3.2,1.77,1.87
D1,18/08/02,Werder Bremen,Hamburg,2,1,H,1,1,D,2.1,3,3.2,2.1,3.2,3.31,2.2,3,2.9,1.909,3.25,3.4,2,3.2,3.3,2.1,3.2,3.25,2.1,3,3.2,1.6,2.07
D1,18/08/02,Wolfsburg,M'gladbach,1,0,H,0,0,D,1.833,3.2,3.75,1.8,3.3,3.96,1.8,3.1,3.8,1.8,3.25,3.75,1.73,3.25,4.33,1.8,3.2,4.333,1.8,3.1,4,1.72,1.93
D1,24/08/02,Bielefeld,Wolfsburg,1,0,H,1,0,H,2.3,3.2,2.625,2.41,3.2,2.9,2.3,3,2.7,2.25,3.2,2.75,2.3,3.2,2.7,2.3,3.2,2.8,2.4,3.1,2.6,1.67,1.95
D1,24/08/02,Cottbus,Hansa Rostock,0,4,A,0,2,A,2.2,3,3,2.21,3.25,3.25,2.1,3,3.1,2.2,3,3,2,3.25,3.25,2.2,3.1,3.1,2.25,3,2.87,1.75,1.85
D1,24/08/02,Dortmund,Stuttgart,3,1,H,1,0,H,1.5,3.4,6,1.49,3.7,6.8,1.5,3.7,5,1.5,3.4,6,1.5,3.5,6,1.5,3.5,6.5,1.44,3.6,6.5,1.65,1.95
D1,24/08/02,Hamburg,Bayern Munich,0,3,A,0,1,A,3.5,3.2,1.909,3.6,3.3,1.93,3.5,3.1,1.9,3.5,3.2,1.909,3.5,3.25,1.91,3.6,3.3,1.909,3.6,3.1,1.9,1.77,1.9
D1,24/08/02,Leverkusen,Bochum,2,4,A,1,3,A,1.444,3.6,6.5,1.41,4.35,7.5,1.4,3.9,6,1.4,3.75,7,1.4,3.75,7.5,1.444,3.75,7,1.36,4,7,1.55,2.25
D1,24/08/02,M'gladbach,Kaiserslautern,3,0,H,2,0,H,2.375,3.1,2.625,2.29,3.2,2.85,2.2,3,2.9,2.25,3.2,2.75,2.25,3.2,2.8,2.25,3.2,2.9,2.3,3,2.8,1.7,1.9
D1,24/08/02,Munich 1860,Werder Bremen,3,0,H,1,0,H,2.2,3.2,2.8,2.12,3.21,3.25,2.1,3,3.1,2.2,3.25,2.75,2.2,3.25,2.8,2.1,3.2,3.2,2,3.1,3.3,1.65,1.97
D1,25/08/02,Nurnberg,Hannover,3,1,H,2,0,H,2,3.2,3.2,2.06,3.25,3.6,2.1,3,3.1,2.1,3.2,3,2.1,3.25,3,2,3.2,3.4,2,3.2,3.2,1.74,1.95
D1,25/08/02,Schalke 04,Hertha,0,0,D,0,0,D,2,3.2,3.2,2,3.2,3.6,1.9,3.1,3.5,1.909,3.2,3.5,1.91,3.25,3.5,2,3.2,3.4,1.83,3.2,3.75,1.65,2.05
D1,10/09/02,Bayern Munich,Munich 1860,3,1,H,1,1,D,1.444,3.6,6.5,1.45,3.75,6.75,1.5,3.7,5,1.444,3.6,6.5,1.44,3.6,7,1.444,3.6,7.5,1.44,3.5,7,1.54,2.22
D1,10/09/02,Bochum,Dortmund,0,0,D,0,0,D,2.875,3,2.25,3.31,3.04,2.38,2.9,3,2.2,2.625,3.4,2.25,2.88,3.1,2.2,3,3.1,2.25,2.75,3.1,2.3,1.69,1.98
D1,10/09/02,Hertha,M'gladbach,1,2,A,0,1,A,1.5,3.4,6,1.57,3.6,6.25,1.55,3.5,4.8,1.571,3.5,5,1.53,3.5,5.5,1.533,3.5,6,1.57,3.3,5.5,1.63,2.1
D1,10/09/02,Werder Bremen,Nurnberg,4,1,H,1,0,H,1.615,3.25,5,1.64,3.4,5.4,1.55,3.5,4.8,1.533,3.5,5.5,1.62,3.4,5,1.615,3.5,5,1.61,3.3,5,1.67,1.97
D1,11/09/02,Hannover,Cottbus,1,3,A,1,1,D,1.727,3.2,4.333,1.83,3.4,4.25,1.8,3.1,3.8,1.8,3.2,4,1.83,3.25,3.75,1.727,3.25,4.5,1.83,3,4,1.68,2
D1,11/09/02,Hansa Rostock,Leverkusen,1,3,A,0,2,A,2.625,3.1,2.375,2.7,3.1,2.45,2.7,3,2.3,2.5,3.25,2.4,2.7,3.1,2.38,2.7,3.1,2.4,2.6,3.1,2.4,1.7,1.96
D1,11/09/02,Kaiserslautern,Bielefeld,1,1,D,0,0,D,1.571,3.25,5.5,1.61,3.5,5.25,1.5,3.7,5,1.571,3.5,5,1.62,3.4,5,1.533,3.75,5.5,1.57,3.3,5.5,1.67,2.05
D1,11/09/02,Stuttgart,Schalke 04,1,1,D,1,0,H,2.5,3.1,2.5,2.54,3.05,2.73,2.5,3,2.5,2.375,3.2,2.6,2.5,3.2,2.5,2.3,3.25,2.7,2.5,3.1,2.5,1.7,1.95
D1,11/09/02,Wolfsburg,Hamburg,2,1,H,0,0,D,2,3.2,3.2,1.96,3.3,3.5,2,3.1,3.2,1.909,3.2,3.5,2,3,3.5,1.95,3.1,3.6,2,3.1,3.3,1.82,1.95
D1,14/09/02,Bielefeld,Hertha,0,1,A,0,0,D,2.625,3.1,2.375,2.7,3.3,2.45,2.5,3,2.5,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.5,3.1,2.5,1.8,1.9
D1,14/09/02,Cottbus,Werder Bremen,0,1,A,0,0,D,2.5,3.1,2.5,2.6,3.2,2.53,2.4,3,2.6,2.5,3.25,2.4,2.5,3.2,2.5,2.5,3.25,2.5,2.6,3.1,2.4,1.65,2.05
D1,14/09/02,Dortmund,Schalke 04,1,1,D,0,0,D,1.909,3,3.75,1.9,3.33,3.9,1.85,3.1,3.6,1.833,3.4,3.5,1.91,3.2,3.6,1.909,3.2,3.75,1.9,3,3.75,1.85,1.8
D1,14/09/02,Leverkusen,Hannover,1,3,A,1,1,D,1.333,4,8,1.3,4.5,10,1.35,4,7,1.25,4.5,10,1.29,4.33,10,1.3,4.333,9.5,1.3,4.2,8.5,1.65,2.1
D1,14/09/02,M'gladbach,Stuttgart,1,1,D,0,0,D,2,3.2,3.2,2.15,3.25,3.3,2,3.1,3.2,2,3.2,3.2,2,3.25,3.25,2,3.2,3.4,2,3.2,3.2,1.8,1.85
D1,14/09/02,Munich 1860,Wolfsburg,2,2,D,0,0,D,1.909,3.2,3.5,1.95,3.2,3.6,2.1,3,3.1,1.8,3.25,3.75,1.91,3.25,3.5,1.909,3.2,3.75,1.83,3.3,3.6,1.7,2.05
D1,14/09/02,Nurnberg,Bayern Munich,1,2,A,1,1,D,4.5,3.25,1.667,5,3.5,1.67,4.6,3.4,1.6,5,3.25,1.615,5,3.4,1.62,5,3.5,1.615,4.5,3.3,1.66,1.65,2.05
D1,15/09/02,Bochum,Hansa Rostock,0,1,A,0,1,A,1.833,3.2,3.75,1.9,3.2,3.86,1.9,3.1,3.5,1.833,3.4,3.5,1.83,3.25,3.75,1.833,3.25,4,1.83,3.2,3.75,1.75,1.96
D1,15/09/02,Hamburg,Kaiserslautern,2,0,H,0,0,D,2.1,3.2,3,2.12,3.2,3.3,2,3.1,3.2,2,3.4,3,2,3.25,3.25,2,3.2,3.4,2,3.1,3.3,1.7,2.05
D1,21/09/02,Bayern Munich,Cottbus,3,1,H,1,1,D,1.2,5,11,1.2,5.35,12.1,1.2,5,10,,,,1.17,6,10,1.167,6,13,1.2,5,11,1.5,2.25
D1,21/09/02,Hannover,Bochum,2,2,D,1,1,D,2.25,3.2,2.75,2.25,3.15,2.95,2.1,3,3.1,,,,2.2,3.2,2.88,2.25,3.2,2.875,2.2,3.2,2.8,1.65,2.06
D1,21/09/02,Hansa Rostock,Dortmund,0,1,A,0,1,A,2.625,3.2,2.3,2.83,3.17,2.35,2.7,3,2.3,,,,2.63,3.2,2.38,2.7,3.2,2.375,2.7,3,2.37,1.9,1.85
D1,21/09/02,Hertha,Hamburg,2,0,H,0,0,D,1.727,3.2,4.333,1.8,3.35,4.7,1.7,3.2,4.2,,,,1.73,3.25,4.33,1.75,3.25,4.333,1.66,3.3,4.5,1.63,2.05
D1,21/09/02,Kaiserslautern,Munich 1860,0,0,D,0,0,D,2,3,3.4,2.02,3.25,3.6,1.9,3.1,3.5,,,,2,3.25,3.25,2.05,3.25,3.25,2,3.1,3.3,1.72,2.05
D1,21/09/02,Werder Bremen,Leverkusen,3,2,H,3,2,H,2.1,3.2,3,2.17,3.3,3.1,2.1,3,3.1,,,,2.2,3.2,2.88,2.2,3.25,2.875,2.3,3.1,2.75,1.65,2.2
D1,21/09/02,Wolfsburg,Nurnberg,0,2,A,0,0,D,1.615,3.25,5,1.62,3.5,5.63,1.55,3.5,4.8,,,,1.62,3.4,5,1.571,3.5,5.5,1.57,3.5,5,1.7,2
D1,22/09/02,Schalke 04,M'gladbach,2,1,H,2,1,H,1.615,3.25,5,1.6,3.45,6,1.6,3.4,4.6,,,,1.57,3.4,5.5,1.6,3.4,5.5,1.57,3.5,5,1.85,1.87
D1,22/09/02,Stuttgart,Bielefeld,3,0,H,1,0,H,1.667,3.25,4.5,1.7,3.4,4.7,1.7,3.2,4.2,,,,1.67,3.4,4.5,1.667,3.3,4.75,1.66,3.3,4.5,1.82,1.9
