Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
D2,25/07/97,Ein Frankfurt,Dusseldorf,3,2,H,1,1,D,,,,,,,,,,,
D2,26/07/97,CZ Jena,Wattenscheid,1,1,D,0,1,A,,,,,,,,,,,
D2,26/07/97,Meppen,Zwickau,2,1,H,2,0,H,,,,,,,,,,,
D2,27/07/97,Freiburg,Cottbus,2,0,H,0,0,D,,,,,,,,,,,
D2,27/07/97,Greuther Furth,St Pauli,0,0,D,0,0,D,,,,,,,,,,,
D2,27/07/97,Gutersloh,Nurnberg,4,2,H,1,0,H,,,,,,,,,,,
D2,27/07/97,Leipzig,Stuttgarter K,3,1,H,1,1,D,,,,,,,,,,,
D2,27/07/97,Uerdingen,F Koln,2,0,H,2,0,H,,,,,,,,,,,
D2,27/07/97,Unterhaching,Mainz,3,2,H,3,0,H,,,,,,,,,,,
D2,01/08/97,Dusseldorf,Uerdingen,1,1,D,0,0,D,,,,,,,,,,,
D2,01/08/97,F Koln,Meppen,2,2,D,1,1,D,,,,,,,,,,,
D2,01/08/97,St Pauli,Gutersloh,0,0,D,0,0,D,,,,,,,,,,,
D2,03/08/97,Cottbus,Leipzig,1,1,D,1,1,D,,,,,,,,,,,
D2,03/08/97,Mainz,Greuther Furth,4,1,H,4,0,H,,,,,,,,,,,
D2,03/08/97,Stuttgarter K,CZ Jena,2,1,H,1,1,D,,,,,,,,,,,
D2,03/08/97,Wattenscheid,Ein Frankfurt,0,1,A,0,1,A,,,,,,,,,,,
D2,03/08/97,Zwickau,Unterhaching,0,4,A,0,2,A,,,,,,,,,,,
D2,04/08/97,Nurnberg,Freiburg,4,1,H,1,1,D,,,,,,,,,,,
D2,08/08/97,Meppen,Dusseldorf,2,2,D,1,1,D,,,,,,,,,,,
D2,08/08/97,Uerdingen,Wattenscheid,2,1,H,2,1,H,,,,,,,,,,,
D2,08/08/97,Unterhaching,F Koln,0,1,A,0,0,D,,,,,,,,,,,
D2,10/08/97,CZ Jena,Cottbus,0,3,A,0,2,A,,,,,,,,,,,
D2,10/08/97,Ein Frankfurt,Stuttgarter K,1,0,H,1,0,H,,,,,,,,,,,
D2,10/08/97,Greuther Furth,Zwickau,1,0,H,1,0,H,,,,,,,,,,,
D2,10/08/97,Gutersloh,Freiburg,1,2,A,0,2,A,,,,,,,,,,,
D2,10/08/97,Leipzig,Nurnberg,2,1,H,1,1,D,,,,,,,,,,,
D2,11/08/97,St Pauli,Mainz,2,0,H,1,0,H,,,,,,,,,,,
D2,22/08/97,Cottbus,Ein Frankfurt,0,1,A,0,1,A,,,,,,,,,,,
D2,22/08/97,F Koln,Greuther Furth,1,1,D,1,1,D,,,,,,,,,,,
D2,22/08/97,Mainz,Gutersloh,1,1,D,0,1,A,,,,,,,,,,,
D2,23/08/97,Stuttgarter K,Uerdingen,2,2,D,1,1,D,,,,,,,,,,,
D2,24/08/97,Dusseldorf,Unterhaching,1,1,D,1,0,H,,,,,,,,,,,
D2,24/08/97,Freiburg,Leipzig,5,2,H,3,1,H,,,,,,,,,,,
D2,24/08/97,Nurnberg,CZ Jena,1,3,A,1,1,D,,,,,,,,,,,
D2,24/08/97,Wattenscheid,Meppen,1,1,D,0,0,D,,,,,,,,,,,
D2,24/08/97,Zwickau,St Pauli,4,0,H,3,0,H,,,,,,,,,,,
D2,29/08/97,Mainz,Zwickau,2,2,D,0,0,D,,,,,,,,,,,
D2,29/08/97,Uerdingen,Cottbus,2,1,H,2,1,H,,,,,,,,,,,
D2,29/08/97,Unterhaching,Wattenscheid,0,0,D,0,0,D,,,,,,,,,,,
D2,30/08/97,Gutersloh,Leipzig,1,0,H,1,0,H,,,,,,,,,,,
D2,31/08/97,CZ Jena,Freiburg,1,4,A,0,2,A,,,,,,,,,,,
D2,31/08/97,Ein Frankfurt,Nurnberg,4,1,H,3,0,H,,,,,,,,,,,
D2,31/08/97,Greuther Furth,Dusseldorf,2,2,D,0,0,D,,,,,,,,,,,
D2,31/08/97,Meppen,Stuttgarter K,1,1,D,0,1,A,,,,,,,,,,,
D2,31/08/97,St Pauli,F Koln,1,1,D,0,0,D,,,,,,,,,,,
D2,12/09/97,Freiburg,Ein Frankfurt,0,0,D,0,0,D,,,,,,,,,,,
D2,12/09/97,Nurnberg,Uerdingen,0,0,D,0,0,D,,,,,,,,,,,
D2,13/09/97,Zwickau,Gutersloh,2,2,D,0,1,A,,,,,,,,,,,
D2,14/09/97,Cottbus,Meppen,1,0,H,1,0,H,,,,,,,,,,,
D2,14/09/97,F Koln,Mainz,2,1,H,1,0,H,,,,,,,,,,,
D2,14/09/97,Leipzig,CZ Jena,0,0,D,0,0,D,,,,,,,,,,,
D2,14/09/97,Stuttgarter K,Unterhaching,2,3,A,2,2,D,,,,,,,,,,,
D2,14/09/97,Wattenscheid,Greuther Furth,2,1,H,0,0,D,,,,,,,,,,,
D2,15/09/97,Dusseldorf,St Pauli,1,3,A,0,1,A,,,,,,,,,,,
D2,19/09/97,Ein Frankfurt,Leipzig,3,2,H,2,0,H,,,,,,,,,,,
D2,19/09/97,St Pauli,Wattenscheid,1,1,D,0,1,A,,,,,,,,,,,
D2,20/09/97,Unterhaching,Cottbus,0,0,D,0,0,D,,,,,,,,,,,
D2,20/09/97,Zwickau,F Koln,0,1,A,0,0,D,,,,,,,,,,,
D2,21/09/97,Greuther Furth,Stuttgarter K,1,2,A,0,0,D,,,,,,,,,,,
D2,21/09/97,Gutersloh,CZ Jena,1,0,H,1,0,H,,,,,,,,,,,
D2,21/09/97,Mainz,Dusseldorf,2,0,H,0,0,D,,,,,,,,,,,
