Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LB,LB,LB,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,
D2,07/08/04,Dresden,Duisburg,3,1,H,0,0,D,2.25,3.2,2.75,2.2,3.3,2.9,2.2,3.1,3,2.3,2.9,2.8,2.25,3.2,2.75,2.38,3.1,2.88,2.37,3.3,2.5,1.75,1.95,2.2,1.52,-0.5,,,,,,
D2,07/08/04,Essen,Erzgebirge Aue,1,5,A,0,4,A,2.2,3.2,2.8,1.9,3.3,3.65,1.95,3.2,3.5,1.9,3.1,3.5,2,3.2,3.2,1.9,3.3,3.75,2.1,3.2,3,1.79,1.9,1.95,1.67,-0.5,,,,,,
D2,07/08/04,Karlsruhe,Burghausen,1,1,D,0,0,D,2,3.2,3.2,2,3.25,3.4,2.1,3.1,3.2,2.1,3,3.1,1.909,3.2,3.5,2,3.3,3.4,1.83,3.3,3.6,1.85,1.85,2.1,1.57,-0.5,,,,,,
D2,08/08/04,FC Koln,Cottbus,0,0,D,0,0,D,1.8,3.25,4,1.8,3.4,4,1.85,3.25,3.8,1.8,3.1,3.8,,,,1.8,3.4,4,1.72,3.4,4,1.71,2,1.85,1.75,-0.5,,,,,,
D2,08/08/04,Greuther Furth,Ahlen,1,0,H,0,0,D,1.9,3.25,3.4,1.85,3.3,3.85,1.9,3.2,3.65,1.8,3.1,3.8,,,,1.8,3.4,4,1.66,3.3,4.5,1.71,2,1.9,1.71,-0.5,,,,,,
D2,08/08/04,Munich 1860,Unterhaching,2,2,D,2,1,H,1.72,3.5,4,1.8,3.4,4,1.75,3.3,4.2,1.8,3.1,3.8,,,,1.75,3.5,4.2,1.72,3.25,4.2,1.75,1.95,1.7,1.91,-0.5,,,,,,
D2,08/08/04,Oberhausen,Ein Trier,1,1,D,1,1,D,1.83,3.25,3.75,1.85,3.3,3.85,1.95,3.2,3.5,1.9,3.1,3.5,,,,1.9,3.3,3.75,1.83,3.3,3.6,1.71,2,1.95,1.67,-0.5,,,,,,
D2,08/08/04,Saarbrucken,Erfurt,0,2,A,0,1,A,2,3.2,3.2,1.9,3.3,3.65,1.95,3.2,3.5,1.9,3.1,3.5,,,,1.95,3.3,3.6,2.1,3.2,3,1.71,2,1.95,1.67,-0.5,,,,,,
D2,09/08/04,Aachen,Ein Frankfurt,1,1,D,0,0,D,2.4,3.2,2.5,2.3,3.2,2.8,2.3,3.2,2.75,2.3,3,2.7,2.25,3.2,2.75,2.4,3,2.88,2.2,3.1,2.87,1.75,1.95,2.3,1.48,-0.5,,,,,,
D2,13/08/04,Burghausen,FC Koln,4,2,H,2,1,H,2.6,3.2,2.37,3,3.4,2.1,2.95,3.22,2.2,3.2,2.9,2.1,,,,3,3.25,2.2,2.75,3.1,2.3,1.71,2,1.54,2.2,0.5,,,,,,
D2,13/08/04,Duisburg,Saarbrucken,2,1,H,1,0,H,1.72,3.2,4.33,1.55,3.6,5.5,1.65,3.4,5,1.65,3.3,4.4,,,,1.6,3.75,5,1.65,3.3,4.6,1.75,1.95,1.65,2.02,-0.5,,,,,,
D2,13/08/04,Erzgebirge Aue,Munich 1860,3,1,H,2,1,H,2.5,3.1,2.5,2.5,3.3,2.5,2.52,3.25,2.52,2.5,3,2.5,,,,2.6,3.1,2.6,2.5,3.1,2.5,1.75,1.95,2.52,1.42,-0.5,,,,,,
D2,15/08/04,Ahlen,Aachen,1,1,D,1,1,D,2.37,3.1,2.62,2.25,3.3,2.8,2.3,3.25,2.8,2.4,2.9,2.7,,,,2.4,3.1,2.8,2.25,3.1,2.8,1.71,2,2.3,1.5,-0.5,,,,,,
D2,15/08/04,Ein Frankfurt,Karlsruhe,2,1,H,0,0,D,1.57,3.25,5.5,1.6,3.6,5,1.6,3.6,5,1.65,3.3,4.4,,,,1.6,3.75,5,1.7,3.2,4.5,1.71,2,1.6,2.09,-0.5,,,,,,
D2,15/08/04,Ein Trier,Essen,1,1,D,0,1,A,1.9,3.25,3.4,1.7,3.5,4.4,1.75,3.55,4,1.8,3.1,3.8,,,,1.75,3.5,4.2,1.7,3.25,4.4,1.71,2,1.75,1.88,-0.5,,,,,,
D2,15/08/04,Erfurt,Oberhausen,1,1,D,1,0,H,2.25,3.2,2.75,2.25,3.3,2.8,2.3,3.25,2.8,2.2,3,2.9,,,,2.2,3.2,3.1,2.3,3.1,2.75,1.79,1.9,2.3,1.5,-0.5,,
D2,15/08/04,Unterhaching,Greuther Furth,1,2,A,1,1,D,2.2,3,2.7,2.15,3.2,3.1,2.15,3.2,3.1,2.2,2.9,3,,,,2.2,3.2,3.1,2.15,3.15,2.95,1.71,2,2.15,1.57,-0.5,,
D2,16/08/04,Cottbus,Dresden,2,1,H,1,1,D,1.8,3.25,3.75,1.75,3.4,4.2,1.8,3.25,4.25,1.75,3.1,4.2,,,,1.67,3.6,4.5,1.75,3.3,4,1.75,1.95,1.8,1.84,-0.5,,
D2,27/08/04,Aachen,Karlsruhe,4,0,H,2,0,H,,,,1.65,3.4,4.7,1.7,3.4,4.6,1.8,3.1,3.8,1.73,3.2,4.33,1.7,3.5,4.5,1.7,3.2,4.5,1.65,2.05,1.88,1.85,-0.75,,
D2,27/08/04,Essen,Erfurt,0,0,D,0,0,D,,,,2,3.25,3.3,2.1,3.2,3.2,2,3.1,3.2,2.1,3.2,3,2.1,3.2,3.25,2.15,3.1,2.95,1.71,2,1.88,1.85,-0.25,,
D2,27/08/04,Munich 1860,Ein Trier,2,0,H,1,0,H,,,,1.7,3.4,4.3,1.7,3.4,4.6,1.7,3.2,4.2,1.62,3.5,4.5,1.67,3.6,4.5,1.7,3.2,4.5,1.65,2.05,1.88,1.85,-0.75,,
D2,29/08/04,Ahlen,Unterhaching,1,2,A,0,1,A,2.1,3.2,3,2.05,3.2,3.2,2.1,3.2,3.2,2.1,3,3.1,,,,2.15,3.2,3.2,2.05,3.15,3.15,1.65,2.05,1.83,1.9,-0.25,,
D2,29/08/04,Dresden,Burghausen,1,1,D,0,1,A,2.1,3.2,3,1.9,3.3,3.55,1.9,3.3,3.7,2,3,3.3,,,,1.9,3.3,3.75,2.05,3.1,3.2,1.71,2,1.9,1.74,-0.5,,
D2,29/08/04,Greuther Furth,Erzgebirge Aue,1,0,H,1,0,H,2,3.2,3.2,1.9,3.3,3.55,2,3.25,3.4,1.9,3.1,3.5,,,,2,3.3,3.4,1.85,3.2,3.7,1.65,2.05,2,1.66,-0.5,,
D2,29/08/04,Oberhausen,Duisburg,0,2,A,0,1,A,2.25,3,2.875,2.3,3.2,2.75,2.3,3.2,2.85,2.4,2.9,2.7,,,,2.4,3.1,2.8,2.25,3,2.9,1.71,2,1.95,1.8,-0.25,,
D2,29/08/04,Saarbrucken,Cottbus,0,0,D,0,0,D,2.75,3,2.375,2.9,3.2,2.2,2.9,3.2,2.25,2.9,3,2.2,,,,3.1,3.2,2.2,2.9,3.1,2.2,1.71,2,1.85,1.88,0.25,,
D2,30/08/04,FC Koln,Ein Frankfurt,2,0,H,1,0,H,1.9,3.25,3.4,1.9,3.25,3.6,1.9,3.25,3.8,1.9,3.1,3.5,1.909,3.25,3.4,2,3.1,3.75,2,3.1,3.3,1.71,2,1.9,1.75,-0.5,,
D2,10/09/04,Burghausen,Saarbrucken,1,2,A,1,0,H,1.727,3.2,4.333,1.7,3.4,4.3,1.7,3.5,4.4,1.7,3.2,4.2,1.727,3.2,4.333,1.7,3.6,4.33,1.75,3.25,4.1,1.65,2.05,1.95,1.8,-0.75,,
D2,10/09/04,Cottbus,Oberhausen,1,0,H,0,0,D,1.833,3.2,3.75,1.7,3.4,4.3,1.8,3.4,4,1.8,3.1,3.8,1.727,3.2,4.333,1.72,3.5,4.33,1.7,3.3,4.3,1.75,1.95,1.75,1.89,-0.5,,
D2,10/09/04,Ein Frankfurt,Dresden,2,1,H,1,0,H,1.571,3.5,5,1.55,3.7,5.1,1.55,3.7,5.4,1.55,3.5,4.8,1.571,3.25,5.5,1.53,3.8,5.5,1.6,3.35,5,1.65,2.05,1.95,1.77,-0.75,,
D2,12/09/04,Duisburg,Essen,1,0,H,0,0,D,1.667,3.4,4.333,1.6,3.6,4.8,1.7,3.5,4.4,1.7,3.2,4.2,,,,1.66,3.6,4.5,1.65,3.3,4.7,1.6,2.15,1.9,1.85,-0.75,,
