Div,Date,HT,AT,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5,GBAHH,GBAHA,GBAH,,,,,,,,,,,
G1,18/09/04,Ergotelis,Iraklis,0,1,A,0,0,D,,,,3.75,3.2,1.9,3.4,3.25,1.95,3.6,3,1.9,2.9,3.2,2.1,3.3,3.2,2,,,,1.83,1.83,1.66,1.95,0.5,,,,,,,,,,,
G1,18/09/04,Xanthi,Aris,3,1,H,1,1,D,,,,2,3.15,3.45,1.9,3.15,3.75,1.85,3.1,3.8,1.91,3.2,3.4,2.05,3.2,3.2,,,,2,1.65,1.9,1.71,-0.5,,,,,,,,,,,
G1,19/09/04,Chalkidona,Panionios,1,0,H,1,0,H,,,,2.7,2.85,2.6,2.55,2.9,2.65,2.55,2.8,2.65,2.4,2.9,2.7,2.38,3.1,2.7,,,,2,1.65,1.85,1.85,0,,,,,,,,,,,
G1,19/09/04,Egaleo,AEK,1,1,D,0,0,D,,,,3.75,3.2,1.9,3.75,3,1.95,3.6,3,1.9,3.1,3.2,2,3.6,3.2,1.91,3.2,3.2,2,1.83,1.83,1.67,1.95,0.5,,,,,,,,,,,
G1,19/09/04,Kalamaria,OFI,1,0,H,1,0,H,,,,2.65,3,2.55,2.6,3,2.55,2.45,3.1,2.45,2.5,3,2.5,2.5,3.2,2.5,,,,1.85,1.79,1.85,1.85,0,,,,,,,,,,,
G1,19/09/04,Olympiakos,Kalithea,2,1,H,1,1,D,,,,1.13,6.5,15,1.13,6,16,1.1,7,15,1.1,6.5,15,1.14,6,13,,,,,,,,,,,,,,,,,,,
G1,19/09/04,Panathinaikos,Ionikos,3,0,H,2,0,H,,,,1.15,6,14,1.17,5.5,13,1.15,6,12,1.14,6,11,1.14,6,13,,,,,,,,,,,,,,,,,,,
G1,19/09/04,PAOK,Kerkyra,1,0,H,0,0,D,,,,1.45,4,6.1,1.35,4.25,7.5,1.4,3.9,6,1.3,4.2,8,1.33,4.33,7.5,,,,1.6,2.1,1.45,2.4,-0.5,,,,,,,,,,,
G1,25/09/04,Aris,Olympiakos,0,1,A,0,0,D,,,,10,4.5,1.28,8,4,1.33,9,4.5,1.25,8,3.75,1.36,7.5,3.75,1.4,7,4.2,1.35,1.6,2.1,1.92,1.79,1.25,,,,,,,,,,,
G1,25/09/04,Iraklis,Chalkidona,1,0,H,0,0,D,,,,1.75,3.15,4.75,1.73,3.2,4.25,1.7,3,4.6,1.73,3.25,4,1.73,3.25,4.33,,,,1.83,1.83,1.7,1.86,-0.5,,,,,,,,,,,
