Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
N1,02/08/13,Ajax,Roda,3,0,H,2,0,H,1.14,8,16,1.11,7.5,15,1.15,6,13,1.13,7.5,21,1.16,8.66,18.13,1.12,7,15,1.14,8,13,1.1,9,22,36,1.15,1.13,9.5,8.05,26,15.97,24,1.36,1.31,3.75,3.26,16,-2.5,2.15,2.05,1.87,1.81
N1,03/08/13,Den Haag,PSV Eindhoven,2,3,A,1,3,A,6.5,4.5,1.45,7.5,4.33,1.48,6,3.9,1.45,6.5,4.6,1.4,7.1,4.94,1.46,6.5,4,1.44,6.5,4.33,1.44,6.5,4.8,1.45,36,7.34,6.46,4.94,4.44,1.48,1.44,20,1.45,1.38,3.35,2.9,15,1,2.25,2.19,1.75,1.71
N1,03/08/13,Heerenveen,AZ Alkmaar,4,2,H,1,0,H,2.63,3.5,2.5,2.8,3.4,2.55,2.55,3.1,2.55,,,,2.69,3.66,2.6,2.3,3.5,2.7,2.6,3.4,2.5,2.6,3.6,2.6,34,2.71,2.58,3.7,3.4,2.7,2.55,21,1.63,1.55,2.56,2.35,14,0,1.99,1.93,1.96,1.91
N1,03/08/13,Nijmegen,Groningen,1,4,A,1,2,A,2.25,3.4,3.1,2.2,3.25,2.95,2.2,3.1,3,2.25,3.1,3,2.27,3.56,3.24,2.25,3.4,2.8,2.2,3.4,3.13,2.2,3.5,3.2,35,2.3,2.23,3.56,3.32,3.25,3.07,32,1.92,1.81,2.1,1.98,14,0,1.68,1.63,2.41,2.3
N1,03/08/13,Twente,Waalwijk,0,0,D,0,0,D,1.44,4.33,7,1.4,4,7.25,1.35,4.2,7.5,1.4,4.1,7,1.43,4.68,8.36,1.36,4.5,7,1.4,4.33,7,1.44,4.6,7.5,35,1.45,1.41,4.68,4.32,9.2,7.55,32,1.85,1.74,2.18,2.06,15,-1,1.77,1.74,2.2,2.14
N1,04/08/13,Cambuur,NAC Breda,0,0,D,0,0,D,2.2,3.5,3.1,2.15,3.3,3,2.3,3.1,2.8,2.2,3.25,2.9,2.24,3.61,3.26,2.1,3.4,3.1,2.1,3.4,3.2,2.15,3.6,3.25,35,2.3,2.17,3.61,3.4,3.3,3.11,30,1.81,1.72,2.2,2.09,13,-0.25,1.93,1.89,2.02,1.98
N1,04/08/13,Utrecht,Go Ahead Eagles,1,1,D,1,0,H,1.67,4,4.75,1.57,3.8,5,1.55,3.7,5,1.65,3.6,4.8,1.7,4.03,5.13,1.62,3.8,5,1.67,3.8,4.8,1.65,4,5.4,35,1.72,1.64,4.03,3.76,5.75,4.92,23,1.7,1.6,2.38,2.25,17,-1,2.3,2.19,1.74,1.71
N1,04/08/13,Vitesse,Heracles,3,1,H,2,0,H,1.62,4,5,1.55,3.9,5,1.55,3.7,5,1.62,3.6,4.8,1.65,4.18,5.42,1.57,4,4.8,1.62,4,5,1.67,4.1,4.8,35,1.67,1.62,4.18,3.87,5.8,5.04,24,1.62,1.54,2.64,2.38,17,-1,2.16,2.08,1.83,1.78
N1,04/08/13,Zwolle,Feyenoord,2,1,H,0,0,D,4,3.75,1.83,4,3.6,1.95,4,3.2,1.8,4.2,3.5,1.75,4.12,3.92,1.88,4.2,3.6,1.73,4,3.5,1.8,4.2,3.9,1.83,35,4.5,4.12,3.96,3.53,1.88,1.81,23,1.67,1.58,2.48,2.29,15,0.5,2.1,2.05,1.88,1.83
N1,09/08/13,Roda,Cambuur,2,0,H,1,0,H,1.73,3.8,4.5,1.72,3.7,4,1.7,3.4,4.3,1.75,3.6,4,1.79,3.85,4.81,1.75,3.5,4.33,1.73,3.6,4.33,1.8,3.9,4.5,32,1.93,1.76,3.95,3.7,4.74,4.3,31,1.82,1.75,2.15,2.06,15,-0.75,2.22,2,1.91,1.87
