Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC0,04/08/12,Celtic,Aberdeen,1,0,H,0,0,D,9,5,5,2,5,9,6,4,0,1,0,0,1.25,5.5,12,1.2,5.25,13,1.2,5.25,13,1.22,5.2,10.5,1.25,5.5,12,1.3,5.72,12.78,1.3,5,11,1.27,5.75,10,1.29,5.75,13,1.2,6,11,34,1.3,1.25,6,5.56,13,10.74,29,1.86,1.78,2.1,2.01,16,-1.5,1.98,1.92,2.02,1.93
SC0,04/08/12,Hearts,St Johnstone,2,0,H,1,0,H,18,5,7,3,12,10,6,6,2,1,0,1,1.95,3.3,4,2.05,3.1,3.5,2.05,3.1,3.5,1.85,3.3,3.7,1.91,3.3,4.2,2.08,3.45,3.98,2.1,3.25,3.6,2,3.3,3.75,2.05,3.4,4.1,1.91,3.5,3.6,34,2.12,1.99,3.6,3.32,4.2,3.72,27,2.3,2.18,1.74,1.65,15,-0.25,1.83,1.76,2.16,2.08
SC0,04/08/12,Kilmarnock,Dundee,0,0,D,0,0,D,16,4,8,1,9,16,6,1,0,2,0,0,2,3.4,3.75,1.85,3.3,3.9,1.85,3.3,3.9,2,3.2,3.3,2,3.4,3.75,2.05,3.53,3.94,1.83,3.2,3.75,1.91,3.4,3.8,2.05,3.5,3.9,1.91,3.5,3.6,30,2.04,1.94,3.6,3.39,4.02,3.79,27,2.1,1.97,1.92,1.81,12,-0.5,2.04,1.99,1.9,1.86
SC0,04/08/12,Ross County,Motherwell,0,0,D,0,0,D,6,6,1,2,9,13,6,8,1,0,0,0,2.7,3.2,2.63,2.65,3.1,2.5,2.65,3.1,2.5,2.6,3.2,2.4,2.75,3.3,2.5,2.75,3.33,2.78,2.75,3.3,2.5,2.75,3.2,2.6,2.75,3.3,2.75,2.6,3.3,2.5,34,2.8,2.66,3.4,3.24,2.72,2.57,29,2.23,2.09,1.75,1.71,17,0,1.99,1.92,1.96,1.91
SC0,04/08/12,St Mirren,Inverness C,2,2,D,1,0,H,13,11,5,7,18,15,4,10,3,4,1,0,2.38,3.25,3,2.3,3.1,2.9,2.3,3.1,2.9,2.3,3.1,2.8,2.38,3.25,3,2.37,3.38,3.25,2.3,3.3,3.1,2.38,3.25,2.88,2.4,3.3,3.2,2.2,3.2,3.1,34,2.42,2.33,3.35,3.23,3.3,2.99,29,2.21,2.1,1.76,1.7,17,0,1.74,1.67,2.29,2.18
SC0,05/08/12,Dundee United,Hibernian,3,0,H,1,0,H,17,6,11,2,11,16,10,3,0,1,0,0,1.67,3.75,5,1.7,3.5,4.4,1.7,3.5,4.4,1.65,3.5,4.5,1.67,3.8,5,1.68,3.98,5.54,1.67,3.8,5,1.67,3.75,5,1.67,4,5.5,1.67,3.6,4.75,34,1.73,1.65,4.05,3.68,5.54,4.99,28,1.92,1.84,2.03,1.94,15,-0.75,1.92,1.88,2.01,1.98
SC0,11/08/12,Aberdeen,Ross County,0,0,D,0,0,D,11,4,5,1,10,12,5,4,2,2,0,0,1.91,3.4,4,1.83,3.2,4.1,1.83,3.2,4.1,1.7,3.4,4.3,1.8,3.5,4.5,2,3.45,4.25,2,3.1,4.2,1.95,3.25,4,1.98,3.4,4.2,1.95,3.4,3.8,35,2,1.91,3.55,3.32,4.5,4.03,26,2.37,2.21,1.75,1.63,15,-0.5,2.01,1.97,1.95,1.9
SC0,11/08/12,Dundee,St Mirren,0,2,A,0,1,A,7,4,1,4,6,6,8,5,0,2,0,0,2.5,3.25,2.8,2.4,3.1,2.75,2.4,3.1,2.75,2.3,3.1,2.8,2.6,3.2,2.75,2.68,3.29,2.88,2.62,3.1,2.8,2.5,3.13,2.88,2.62,3.25,2.8,2.5,3.3,2.75,35,2.73,2.55,3.31,3.15,3,2.76,22,2.31,2.17,1.75,1.65,19,0,1.94,1.88,2,1.96
SC0,11/08/12,Inverness C,Kilmarnock,1,1,D,1,1,D,11,12,7,5,11,8,4,6,1,1,1,0,2.25,3.25,3.2,2.3,3.1,2.9,2.3,3.1,2.9,2.2,3.1,3,2.25,3.25,3.2,2.29,3.4,3.38,2.38,3.2,3,2.3,3.13,3.2,2.3,3.3,3.3,2.38,3.3,2.88,35,2.4,2.26,3.4,3.22,3.38,3.1,29,2.22,2.1,1.8,1.71,17,0,1.67,1.6,2.43,2.32
SC0,11/08/12,Motherwell,St Johnstone,1,1,D,0,0,D,10,15,6,6,8,8,5,7,1,2,1,1,2.1,3.3,3.5,2.1,3.1,3.3,2.1,3.1,3.3,1.8,3.3,3.9,2.05,3.3,3.6,2.24,3.38,3.53,2.25,3.2,3.3,2.1,3.25,3.5,2.2,3.3,3.5,2.15,3.3,3.3,35,2.2,2.1,3.45,3.25,3.9,3.45,29,2.24,2.12,1.75,1.7,16,-0.5,2.2,2.13,1.79,1.75
SC0,12/08/12,Hibernian,Hearts,1,1,D,1,1,D,10,10,6,3,15,21,3,9,3,3,0,0,3.25,3.3,2.2,3.2,3.1,2.15,3.2,3.1,2.15,2.75,3.2,2.3,3.2,3.25,2.25,3.57,3.41,2.21,3.3,3.1,2.3,3,3.25,2.3,3.5,3.3,2.25,3.3,3.3,2.2,35,3.57,3.24,3.41,3.23,2.3,2.2,29,2.22,2.12,1.8,1.69,16,0.25,2.05,2,1.93,1.85
SC0,18/08/12,Hearts,Inverness C,2,2,D,2,0,H,7,8,3,1,14,16,6,3,3,4,0,1,1.91,3.3,4.2,1.95,3.2,3.6,1.95,3.2,3.6,1.8,3.2,4,1.91,3.2,4.33,1.96,3.49,4.29,1.91,3.4,4,1.91,3.3,4,1.95,3.5,4.2,1.8,3.6,4.33,35,1.96,1.91,3.6,3.32,4.33,4.05,31,2.2,2.09,1.77,1.71,16,-0.5,1.96,1.93,1.97,1.93
SC0,18/08/12,Kilmarnock,Motherwell,1,2,A,1,2,A,8,12,6,3,7,14,3,5,2,2,0,0,2.7,3.25,2.6,2.5,3,2.7,2.5,3,2.7,2.5,3.1,2.6,2.6,3.25,2.7,2.72,3.31,2.77,2.62,3.25,2.7,2.75,3.13,2.63,2.7,3.3,2.75,2.62,3.3,2.62,35,2.75,2.64,3.31,3.17,2.77,2.65,31,2.22,2.13,1.74,1.69,19,0,1.97,1.92,1.97,1.92
SC0,18/08/12,Ross County,Celtic,1,1,D,0,0,D,7,19,4,10,12,14,1,9,1,0,0,0,7.5,4.2,1.44,7.25,4,1.4,7.25,4,1.4,6.5,4,1.4,7,4.33,1.44,7.81,4.37,1.49,8,4.2,1.44,7.5,4,1.44,8,4.4,1.45,6.5,4.2,1.5,35,8,7.17,4.45,4.19,1.5,1.44,31,1.95,1.86,1.99,1.93,18,1,2.13,2.09,1.81,1.78
SC0,18/08/12,St Johnstone,Aberdeen,1,2,A,0,1,A,9,8,5,4,16,11,1,4,2,3,0,0,2.2,3.2,3.4,2.2,3.1,3.1,2.2,3.1,3.1,2.35,3.1,2.75,2.25,3.25,3.2,2.31,3.28,3.41,2.2,3.1,3.5,2.2,3.25,3.2,2.25,3.25,3.4,2.25,3.3,3.2,35,2.4,2.25,3.3,3.2,3.41,3.17,26,2.44,2.22,1.7,1.58,17,-0.25,2,1.96,1.94,1.91
SC0,18/08/12,St Mirren,Hibernian,1,2,A,0,1,A,13,9,6,2,9,11,9,2,3,2,0,0,2.2,3.2,3.4,2.15,3.1,3.2,2.15,3.1,3.2,2.2,3.1,3,2.25,3.25,3.2,2.28,3.36,3.4,2.3,3.2,3.2,2.25,3.2,3.13,2.25,3.3,3.4,2.25,3.25,3.25,35,2.38,2.23,3.36,3.21,3.4,3.18,29,2.25,2.18,1.71,1.65,17,-0.25,1.98,1.94,1.97,1.93
SC0,19/08/12,Dundee United,Dundee,3,0,H,3,0,H,11,6,8,4,8,7,6,3,2,2,1,1,1.44,4.2,7.5,1.48,3.8,6.25,1.48,3.8,6.25,1.55,3.7,5,1.53,3.75,7,1.47,4.47,7.95,1.5,4,7,1.5,4,6.5,1.45,4.4,8,1.44,4.33,7.5,35,1.55,1.47,4.47,4.06,7.95,6.96,31,1.91,1.82,2.03,1.96,17,-1,1.82,1.78,2.12,2.07
SC0,25/08/12,Dundee,Ross County,0,1,A,0,0,D,10,6,3,3,15,5,3,4,2,1,0,0,2.88,3.3,2.4,2.8,3,2.45,2.8,3,2.45,2.6,3.1,2.5,2.75,3.3,2.5,3.1,3.26,2.5,2.6,3.1,2.4,2.8,3.2,2.5,3.1,3.25,2.45,2.75,3.25,2.38,34,3.15,2.83,3.3,3.21,2.54,2.45,24,2.36,2.2,1.72,1.62,17,0,2.2,2.09,1.81,1.75
