Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,,,,,,,,,,,
SC0,31/07/99,Dundee United,Dundee,2,1,H,1,0,H,,,,,,,,,,,
SC0,31/07/99,Hibernian,Motherwell,2,2,D,1,0,H,,,,,,,,,,,
SC0,31/07/99,Rangers,Kilmarnock,2,1,H,1,0,H,,,,,,,,,,,
SC0,31/07/99,St Johnstone,Hearts,1,4,A,0,1,A,,,,,,,,,,,
SC0,01/08/99,Aberdeen,Celtic,0,5,A,0,3,A,,,,,,,,,,,
SC0,07/08/99,Celtic,St Johnstone,3,0,H,2,0,H,,,,,,,,,,,
SC0,07/08/99,Hearts,Rangers,0,4,A,0,2,A,,,,,,,,,,,
SC0,07/08/99,Kilmarnock,Aberdeen,2,0,H,1,0,H,,,,,,,,,,,
SC0,07/08/99,Motherwell,Dundee United,2,2,D,2,0,H,,,,,,,,,,,
SC0,08/08/99,Dundee,Hibernian,3,4,A,0,1,A,,,,,,,,,,,
SC0,14/08/99,Aberdeen,Dundee,0,2,A,0,2,A,,,,,,,,,,,
SC0,14/08/99,Hibernian,Hearts,1,1,D,1,0,H,,,,,,,,,,,
SC0,15/08/99,Dundee United,Celtic,2,1,H,2,0,H,,,,,,,,,,,
SC0,15/08/99,Rangers,Motherwell,4,1,H,2,0,H,,,,,,,,,,,
SC0,15/08/99,St Johnstone,Kilmarnock,2,0,H,0,0,D,,,,,,,,,,,
SC0,21/08/99,Dundee,Celtic,1,2,A,0,0,D,,,,,,,,,,,
SC0,21/08/99,Kilmarnock,Motherwell,0,1,A,0,1,A,,,,,,,,,,,
SC0,21/08/99,Rangers,Dundee United,4,1,H,1,0,H,,,,,,,,,,,
SC0,21/08/99,St Johnstone,Hibernian,1,1,D,1,0,H,,,,,,,,,,,
SC0,22/08/99,Hearts,Aberdeen,3,0,H,1,0,H,,,,,,,,,,,
SC0,28/08/99,Hibernian,Rangers,0,1,A,0,0,D,,,,,,,,,,,
SC0,28/08/99,Motherwell,Dundee,0,2,A,0,1,A,,,,,,,,,,,
SC0,29/08/99,Aberdeen,St Johnstone,0,3,A,0,1,A,,,,,,,,,,,
SC0,29/08/99,Celtic,Hearts,4,0,H,2,0,H,,,,,,,,,,,
SC0,29/08/99,Dundee United,Kilmarnock,0,0,D,0,0,D,,,,,,,,,,,
SC0,11/09/99,Dundee United,Hibernian,3,1,H,1,0,H,,,,,,,,,,,
SC0,11/09/99,Hearts,Dundee,4,0,H,1,0,H,,,,,,,,,,,
SC0,11/09/99,Rangers,Aberdeen,3,0,H,1,0,H,,,,,,,,,,,
SC0,11/09/99,St Johnstone,Motherwell,1,1,D,1,0,H,,,,,,,,,,,
SC0,12/09/99,Kilmarnock,Celtic,0,1,A,0,0,D,,,,,,,,,,,
