Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC1,08/08/09,Ayr,Partick,1,1,D,1,1,D,2.8,3.6,2.3,2.55,3.4,2.3,2.75,3.4,2.2,2.7,3.2,2.2,2.88,3.6,2.3,2.7,3.4,2.2,2.75,3.4,2.15,2.7,3.5,2.2,2.75,3.4,2.2,2.75,3.4,2.25,14,2.85,2.73,3.6,3.46,2.3,2.22,4,2.08,1.99,1.8,1.76,2,0,2.1,2.1,1.65,1.65
SC1,08/08/09,Dundee,Morton,1,0,H,0,0,D,1.62,4,5,1.55,3.75,4.8,1.62,3.6,4.5,1.6,3.5,4.4,1.67,4,4.6,1.57,3.6,5,1.67,3.6,4,1.57,3.6,5,1.62,3.5,4.75,1.67,3.5,4.5,14,1.7,1.63,4,3.67,5,4.53,4,2.08,2.04,1.73,1.73,2,0,1.35,1.35,2.9,2.9
SC1,08/08/09,Dunfermline,Inverness C,0,1,A,0,0,D,2.5,3.6,2.6,2.4,3.4,2.45,2.4,3.4,2.5,2.3,3.2,2.5,2.4,3.6,2.62,2.4,3.4,2.5,2.38,3.3,2.5,2.38,3.6,2.38,2.4,3.4,2.5,2.37,3.3,2.6,14,2.5,2.37,3.6,3.44,2.65,2.54,4,2.05,1.97,1.8,1.77,2,0,1.98,1.89,1.88,1.86
SC1,08/08/09,Queen of Sth,Raith Rvs,1,1,D,0,1,A,1.91,3.6,3.8,1.85,3.5,3.4,1.83,3.5,3.6,1.8,3.3,3.5,1.91,3.6,3.75,1.83,3.4,3.6,1.8,3.5,3.5,1.73,3.5,4,1.83,3.5,3.6,1.83,3.5,3.6,14,1.91,1.82,3.6,3.51,4,3.65,4,2,1.93,1.85,1.82,2,-0.5,1.98,1.98,1.88,1.88
SC1,08/08/09,Ross County,Airdrie Utd,2,1,H,2,1,H,1.61,4,5,1.55,3.75,4.8,,,,,,,,,,,,,1.57,4,4.2,,,,,,,1.73,3.5,4,,,,,,,,,,,,,,,,,,
SC1,15/08/09,Airdrie Utd,Queen of Sth,1,1,D,0,0,D,2.88,3.5,2.3,2.65,3.4,2.25,2.6,3.4,2.3,2.7,3.2,2.2,2.62,3.5,2.2,,,,2.5,3.4,2.3,2.75,3.4,2.2,2.6,3.4,2.3,2.75,3.4,2.25,19,2.97,2.72,3.6,3.4,2.41,2.28,6,2.03,2.02,1.88,1.86,7,0,2.2,2.09,1.82,1.74
SC1,15/08/09,Inverness C,Ayr,0,0,D,0,0,D,1.67,3.75,5,1.65,3.6,4.2,1.65,3.5,4.5,1.65,3.5,4,1.57,3.75,4.5,1.62,3.6,4.5,1.62,3.6,4.33,1.62,3.75,4.33,1.6,3.6,4.5,1.62,3.75,4.5,21,1.67,1.62,3.8,3.66,5.5,4.65,6,2.15,2.13,1.67,1.66,6,-0.75,1.86,1.83,2.07,2.04
SC1,15/08/09,Morton,Dunfermline,0,2,A,0,1,A,2.4,3.5,2.75,2.3,3.4,2.55,2.35,3.5,2.5,2.3,3.2,2.5,2.25,3.5,2.5,2.3,3.5,2.5,2.3,3.4,2.5,2.4,3.5,2.4,2.3,3.4,2.6,2.25,3.4,2.75,21,2.46,2.34,3.75,3.42,2.83,2.6,6,2.15,2.09,1.7,1.69,6,0,1.85,1.78,2.1,2.03
SC1,15/08/09,Partick,Ross County,0,0,D,0,0,D,1.8,3.75,4,1.75,3.5,3.8,1.77,3.6,3.75,1.8,3.3,3.6,1.73,3.5,3.75,1.73,3.6,3.75,1.73,3.5,3.8,1.73,3.75,3.75,1.8,3.5,3.6,1.73,3.75,3.8,21,1.89,1.77,3.8,3.61,4,3.8,6,2.3,2.27,1.62,1.58,6,-0.5,1.91,1.87,2.02,2
SC1,15/08/09,Raith Rvs,Dundee,2,2,D,2,1,H,3.4,3.75,2,3.1,3.5,1.95,3.2,3.5,1.95,3.3,3.3,1.9,2.88,3.6,2,3.1,3.6,1.91,3.2,3.5,1.91,3,3.5,2,3.25,3.3,2,3.1,3.5,2,21,3.86,3.35,3.8,3.53,2,1.91,6,2.3,2.27,1.62,1.58,6,0.5,2,1.95,1.93,1.93
SC1,22/08/09,Ayr,Morton,0,2,A,0,1,A,2.4,3.6,2.7,2.25,3.4,2.6,2.3,3.5,2.55,2.3,3.2,2.5,2.3,3.6,2.8,2.3,3.5,2.5,2.3,3.4,2.5,2.3,3.5,2.5,2.2,3.4,2.7,2.38,3.5,2.5,21,2.4,2.3,3.6,3.51,2.8,2.59,3,2.02,1.96,1.7,1.7,2,0,1.76,1.74,1.9,1.9
SC1,22/08/09,Dundee,Inverness C,2,2,D,2,2,D,2.05,3.6,3.3,2,3.4,3.05,2,3.5,3.1,1.9,3.3,3.3,2,3.6,3.5,1.95,3.5,3.1,1.95,3.3,3.25,2,3.5,3,2,3.4,3.2,2,3.4,3.2,22,2.05,1.99,3.7,3.49,3.5,3.18,3,2.1,2,1.7,1.68,2,0,1.52,1.5,2.3,2.29
SC1,22/08/09,Dunfermline,Airdrie Utd,2,0,H,1,0,H,1.67,3.75,5,1.55,3.75,4.8,1.6,3.6,4.75,1.6,3.5,4.4,1.57,4,5.5,1.57,3.75,4.6,1.57,3.6,4.8,1.53,3.75,5,1.6,3.75,4.5,1.67,3.5,4.5,21,1.8,1.64,4,3.67,5.5,4.62,3,2.02,1.91,1.8,1.75,2,0,1.34,1.31,3.2,2.98
SC1,22/08/09,Queen of Sth,Partick,1,0,H,0,0,D,2.4,3.6,2.7,2.3,3.4,2.55,2.3,3.5,2.55,2.3,3.2,2.5,2.38,3.6,2.75,2.25,3.5,2.55,2.25,3.3,2.62,2.2,3.5,2.63,2.3,3.5,2.6,2.38,3.5,2.5,22,2.4,2.31,3.6,3.5,2.75,2.6,3,2.1,2.02,1.65,1.65,2,0,1.7,1.69,1.98,1.96
SC1,22/08/09,Ross County,Raith Rvs,0,1,A,0,1,A,1.95,3.75,3.5,1.9,3.5,3.25,1.9,3.6,3.25,1.85,3.3,3.4,1.91,3.6,3.75,1.91,3.6,3.1,1.95,3.3,3.25,1.91,3.6,3.2,1.9,3.6,3.2,1.91,3.4,3.5,22,1.95,1.91,3.75,3.57,3.75,3.34,3,2.1,1.97,1.75,1.7,2,0,1.46,1.44,2.5,2.48
SC1,29/08/09,Airdrie Utd,Dundee,1,1,D,1,1,D,5,3.6,1.73,4.95,3.65,1.55,4.5,3.5,1.65,4.2,3.4,1.65,4.33,3.75,1.73,4.75,3.5,1.6,5.5,3.4,1.67,4.33,3.6,1.62,4.33,3.5,1.65,4.2,3.5,1.7,25,6,4.67,3.97,3.62,1.73,1.65,11,2.09,1.99,1.8,1.76,7,0.75,2.12,2.09,1.83,1.8
SC1,29/08/09,Dunfermline,Raith Rvs,0,2,A,0,1,A,1.73,3.75,4.5,1.65,3.6,4.2,1.67,3.6,4.33,1.6,3.5,4.4,1.67,3.6,4,1.67,3.6,4.2,1.6,3.6,4.5,1.67,3.6,4.33,1.7,3.5,4.33,1.67,3.6,4.33,25,1.76,1.66,3.82,3.64,5.2,4.5,10,2.1,2.02,1.83,1.74,6,-0.75,1.98,1.96,1.94,1.91
SC1,29/08/09,Inverness C,Ross County,1,3,A,0,1,A,1.67,3.8,5,1.6,3.6,4.6,1.62,3.75,4.5,1.55,3.6,4.6,1.62,3.5,4.5,1.62,3.75,4.33,1.53,3.75,4.8,1.57,3.75,5,1.6,3.6,4.5,1.62,3.75,4.5,25,1.73,1.63,3.94,3.68,5.2,4.65,12,2.2,2.03,1.79,1.74,7,-0.75,1.96,1.91,2,1.97
SC1,29/08/09,Partick,Morton,5,0,H,3,0,H,2.05,3.6,3.4,2,3.4,3.05,2,3.5,3.1,2,3.2,3.1,1.83,3.5,3.4,2,3.5,3,1.91,3.4,3.25,2,3.5,3,2.1,3.4,3,2,3.5,3.1,26,2.22,2.04,3.6,3.47,3.4,3.12,11,2.35,2.19,1.62,1.59,7,-0.5,2.22,2.18,1.77,1.75
SC1,29/08/09,Queen of Sth,Ayr,2,0,H,1,0,H,1.8,3.75,4.2,1.8,3.5,3.55,1.8,3.5,3.75,1.7,3.4,3.8,1.8,3.5,3.5,1.73,3.6,3.8,1.73,3.5,3.8,1.8,3.5,3.6,1.8,3.3,4,1.73,3.6,4,25,1.8,1.72,3.9,3.59,5.12,4.21,10,2.25,2.14,1.65,1.62,6,-0.75,1.95,1.94,1.97,1.93
SC1,12/09/09,Ayr,Airdrie Utd,1,1,D,0,1,A,2.25,3.6,2.9,1.9,3.5,3.25,2.1,3.4,2.9,2.1,3.2,2.9,2.1,3.75,3,2.1,3.5,2.8,2.05,3.5,2.88,2.1,3.5,2.88,2.1,3.4,3,2.2,3.5,2.75,24,2.25,2.1,3.75,3.47,3.25,2.94,7,2.25,2.15,1.65,1.62,7,0,1.58,1.54,2.43,2.27
SC1,12/09/09,Dundee,Dunfermline,1,0,H,1,0,H,1.91,3.75,3.6,1.85,3.5,3.45,1.85,3.5,3.5,1.8,3.3,3.6,1.83,3.75,3.75,1.8,3.6,3.5,1.83,3.5,3.4,1.83,3.5,3.5,1.85,3.5,3.5,1.83,3.5,3.6,25,1.95,1.86,3.75,3.52,3.8,3.52,7,2.09,2,1.77,1.75,7,0,1.4,1.38,2.81,2.69
SC1,12/09/09,Morton,Inverness C,0,3,A,0,1,A,2.8,3.6,2.3,2.65,3.5,2.2,2.6,3.4,2.3,2.7,3.2,2.2,2.75,3.6,2.3,2.55,3.5,2.25,2.6,3.4,2.25,2.6,3.4,2.3,2.7,3.4,2.25,2.75,3.5,2.2,26,2.95,2.7,3.6,3.45,2.3,2.24,8,2.09,2.01,1.8,1.75,8,0,2.2,2.06,1.73,1.66
SC1,12/09/09,Raith Rvs,Partick,1,1,D,0,0,D,2.5,3.5,2.63,2.35,3.5,2.45,2.4,3.4,2.5,2.3,3.2,2.5,2.4,3.6,2.6,2.3,3.4,2.55,2.38,3.3,2.5,2.4,3.5,2.4,2.4,3.5,2.4,2.25,3.4,2.7,25,2.5,2.38,3.8,3.45,2.7,2.54,7,2.25,2.11,1.65,1.64,7,0,1.85,1.79,2.05,1.94
SC1,12/09/09,Ross County,Queen of Sth,3,2,H,0,1,A,2.4,3.5,2.75,2.3,3.5,2.5,2.3,3.4,2.6,2.2,3.2,2.7,2.38,3.6,2.62,2.25,3.5,2.55,2.15,3.5,2.7,2.25,3.5,2.63,2.3,3.4,2.62,2.38,3.3,2.6,26,2.4,2.3,3.8,3.47,2.8,2.63,8,2.2,2.05,1.72,1.69,8,0,1.72,1.67,2.14,2.04
SC1,19/09/09,Airdrie Utd,Inverness C,1,1,D,1,0,H,3.6,3.75,1.91,3.55,3.5,1.8,3.5,3.5,1.85,3.6,3.3,1.8,3.4,3.5,1.83,3.6,3.5,1.8,3.25,3.4,1.91,3.5,3.5,1.83,3.5,3.5,1.85,3.4,3.5,1.91,27,4.5,3.74,3.75,3.5,1.91,1.83,8,2.2,2.03,1.7,1.68,8,0.5,2.09,2.08,1.86,1.81
SC1,19/09/09,Partick,Dunfermline,2,0,H,1,0,H,2.25,3.6,2.88,2.15,3.5,2.7,2.2,3.5,2.7,2.3,3.2,2.5,2.2,3.5,2.62,2.25,3.5,2.55,2.38,3.3,2.5,2.25,3.4,2.63,2.25,3.3,2.7,2.25,3.5,2.7,27,2.4,2.27,3.6,3.43,3,2.73,7,2.25,2.08,1.7,1.66,7,0,1.68,1.64,2.2,2.08
SC1,19/09/09,Queen of Sth,Dundee,2,0,H,1,0,H,3,3.6,2.2,2.8,3.5,2.1,2.9,3.5,2.05,3,3.3,2,2.88,3.6,2,3,3.5,2,3.5,3.4,1.83,2.88,3.4,2.1,2.8,3.5,2.1,2.88,3.5,2.1,28,3.42,3.02,3.75,3.45,2.2,2.09,8,2.2,2.03,1.7,1.68,8,0.25,2.03,2,1.9,1.88
SC1,19/09/09,Raith Rvs,Morton,3,0,H,1,0,H,1.91,3.6,3.75,1.8,3.5,3.55,1.85,3.5,3.5,1.9,3.3,3.3,1.8,3.5,3.5,1.8,3.5,3.6,1.91,3.4,3.25,1.83,3.5,3.5,1.8,3.5,3.6,1.83,3.5,3.6,27,1.91,1.84,3.75,3.5,4.21,3.68,7,2.2,2.05,1.7,1.67,7,0,1.4,1.35,2.95,2.82
SC1,19/09/09,Ross County,Ayr,2,1,H,2,0,H,1.73,3.8,4.5,1.7,3.5,4.05,1.67,3.6,4.25,1.6,3.6,4.2,1.67,3.6,4,1.7,3.6,4,1.67,3.5,4.2,1.67,3.6,4.33,1.7,3.6,4,1.73,3.6,4,27,1.73,1.69,3.8,3.59,5.2,4.36,7,2.02,1.92,1.9,1.85,7,0,1.3,1.25,3.85,3.41
SC1,26/09/09,Ayr,Raith Rvs,1,0,H,1,0,H,2.9,3.6,2.25,2.65,3.5,2.2,2.75,3.4,2.2,2.7,3.2,2.2,2.8,3.75,2.2,2.6,3.5,2.2,2.75,3.4,2.15,2.75,3.4,2.2,2.7,3.5,2.25,2.88,3.5,2.1,20,2.9,2.75,3.8,3.49,2.3,2.21,5,2,1.99,1.75,1.73,3,0,2.28,2.13,1.64,1.61
SC1,26/09/09,Dundee,Ross County,2,0,H,0,0,D,1.85,3.6,4,1.7,3.5,4.05,1.75,3.6,3.75,1.8,3.3,3.6,1.8,3.75,4,1.73,3.6,3.8,1.7,3.5,4,1.73,3.5,4,1.75,3.6,3.75,1.73,3.6,4,20,1.85,1.76,3.75,3.54,4.4,3.94,5,1.87,1.85,1.85,1.84,3,0,1.33,1.3,3.49,3.13
SC1,26/09/09,Dunfermline,Queen of Sth,1,4,A,1,4,A,2.3,3.5,2.88,2.25,3.35,2.65,2.2,3.4,2.75,2.2,3.2,2.7,2.25,3.75,2.75,2.2,3.5,2.6,2.1,3.4,2.8,2.1,3.5,2.75,2.38,3.5,2.5,2.3,3.4,2.6,20,2.4,2.24,3.8,3.47,2.9,2.7,5,2.1,2.09,1.67,1.65,3,0,1.64,1.61,2.28,2.13
