Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SYH,SYD,SYA,WHH,WHD,WHA
SP1,25/08/01,Valencia,Real Madrid,1,0,H,1,0,H,,,,2.4,2.9,2.4,,,,,,,2.6,3,2.5,2.75,3.1,2.3
SP1,26/08/01,La Coruna,Valladolid,4,0,H,1,0,H,,,,1.35,3.8,6.2,1.25,4.5,10,,,,1.33,4.33,7,1.3,4.2,8.5
SP1,26/08/01,Espanol,Zaragoza,2,1,H,1,1,D,,,,1.85,2.9,3.4,1.73,3.4,4,,,,1.91,3.2,3.5,1.83,3.4,3.5
SP1,26/08/01,Malaga,Betis,3,2,H,1,1,D,,,,1.7,3.1,3.8,1.8,3.2,4,,,,1.83,3.2,3.75,1.8,3.4,3.6
SP1,26/08/01,Mallorca,Las Palmas,0,3,A,0,1,A,,,,1.45,3.5,5,1.5,3.4,6,,,,1.44,3.6,6.5,1.44,3.5,7
SP1,26/08/01,Osasuna,Celta,0,3,A,0,1,A,,,,2.4,2.9,2.4,2.6,3.2,2.37,,,,2.6,3.2,2.38,,,
SP1,26/08/01,Sociedad,Ath Bilbao,1,3,A,1,1,D,,,,2.1,2.9,2.9,2.1,3.2,3,,,,2.2,3,3,2.2,3.2,2.8
SP1,26/08/01,Vallecano,Villarreal,1,2,A,1,2,A,,,,2.1,2.9,2.9,2.2,3.25,2.75,,,,2.2,3.2,2.8,2.25,3.2,2.75
SP1,26/08/01,Sevilla,Barcelona,1,2,A,0,1,A,,,,3.2,2.9,1.9,3.4,3.25,1.91,,,,3.75,3.25,1.8,3.75,3.2,1.83
SP1,26/08/01,Tenerife,Alaves,0,2,A,0,1,A,,,,2.1,2.9,2.9,2.4,3.25,2.5,,,,2.38,3.2,2.6,2.25,3.2,2.75
SP1,08/09/01,Ath Bilbao,Mallorca,0,1,A,0,0,D,,,,1.9,2.9,3.2,2.1,3.2,3,2.1,3.1,3.1,2.1,3.2,3,2,3.2,3.2
SP1,08/09/01,Las Palmas,La Coruna,0,1,A,0,0,D,,,,2.4,2.9,2.4,3,3,2.2,2.9,3,2.25,2.88,3,2.25,2.8,3,2.3
SP1,08/09/01,Real Madrid,Malaga,1,1,D,1,0,H,,,,1.25,4.3,8,1.3,4,9,1.3,4.33,8,1.33,4.33,7,1.25,4.5,10
SP1,08/09/01,Villarreal,Osasuna,3,0,H,1,0,H,,,,1.55,3.3,4.5,1.5,3.4,6,1.5,3.4,6,1.5,3.4,6,,,
SP1,09/09/01,Alaves,Sociedad,2,0,H,1,0,H,,,,1.8,3,3.5,1.73,3.2,4.33,1.7,3.25,4.33,1.8,3,4.33,1.8,3.3,3.75
SP1,09/09/01,Barcelona,Vallecano,1,1,D,0,0,D,,,,1.2,4.7,9,1.25,4.5,10,1.3,4.33,8,1.29,4.5,8,1.28,4.5,8
SP1,09/09/01,Betis,Espanol,2,0,H,2,0,H,,,,2,2.9,3,2.37,3.2,2.6,2.2,3,3,2.38,3.2,2.62,2.2,3,3
SP1,09/09/01,Celta,Tenerife,3,0,H,2,0,H,,,,1.4,3.6,5.5,1.36,3.75,8,1.36,3.8,7.5,1.4,3.75,7,1.36,3.75,8
SP1,09/09/01,Valladolid,Valencia,1,1,D,1,0,H,,,,2.4,2.9,2.4,2.8,3.2,2.2,3,3,2.2,2.8,3.2,2.2,2.8,3.1,2.25
SP1,09/09/01,Zaragoza,Sevilla,1,1,D,0,0,D,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.7,3.25,4.33,1.67,3.25,4.5,1.61,3.3,5
SP1,15/09/01,Betis,Real Madrid,3,1,H,1,1,D,,,,3,2.9,2,4,3.2,1.8,3.5,3.2,1.91,3.75,3.2,1.83,3.4,3.25,1.9
SP1,15/09/01,La Coruna,Ath Bilbao,1,2,A,0,1,A,,,,1.45,3.5,5,1.3,4,9,1.36,3.75,8,1.4,3.75,7,1.36,3.75,8
SP1,15/09/01,Mallorca,Alaves,0,0,D,0,0,D,,,,1.85,2.9,3.4,1.8,3.2,4,1.73,3.2,4.33,1.67,3.25,4.5,1.72,3.2,4.33
SP1,15/09/01,Osasuna,Barcelona,0,0,D,0,0,D,,,,3.6,3.1,1.75,4.5,3.25,1.67,4,3.4,1.73,3.75,3.25,1.8,,,
SP1,16/09/01,Espanol,Sevilla,2,3,A,1,1,D,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.67,3.25,4.6,1.67,3.25,4.5,1.61,3.3,5
SP1,16/09/01,Malaga,Valladolid,1,2,A,0,1,A,,,,1.7,3.1,3.8,1.57,3.25,5.5,1.62,3.3,5,1.67,3.25,4.5,1.61,3.3,5
SP1,16/09/01,Sociedad,Celta,0,0,D,0,0,D,,,,2.4,2.9,2.4,2.75,3.2,2.25,3,3.2,2.1,2.8,3.2,2.2,2.7,3.1,2.3
SP1,16/09/01,Vallecano,Zaragoza,1,2,A,1,0,H,,,,2.1,2.9,2.9,2,3.2,3.2,2,3.1,3.3,2.1,3,3.2,1.9,3.2,3.5
SP1,16/09/01,Tenerife,Villarreal,2,0,H,1,0,H,,,,2.3,2.9,2.5,2.75,3.2,2.25,2.62,3.1,2.38,2.38,3.1,2.62,2.5,3.1,2.5
SP1,16/09/01,Valencia,Las Palmas,1,0,H,0,0,D,,,,1.4,3.6,5.5,1.33,4,8,1.33,4,8,1.36,4,7,1.5,2.87,9
SP1,22/09/01,Alaves,La Coruna,2,3,A,0,1,A,,,,2.2,2.9,2.7,2.5,3.2,2.5,2.3,3.1,2.7,2.5,3.1,2.5,2.37,3.1,2.62
SP1,22/09/01,Barcelona,Tenerife,2,0,H,1,0,H,,,,1.25,4.3,8,1.33,4,8,1.3,4.33,8,1.29,4.5,8,1.25,4.5,10
SP1,22/09/01,Las Palmas,Malaga,0,0,D,0,0,D,,,,2.1,2.9,2.9,2.2,3,3,2.2,3,3,2.2,3,3,2.1,3.1,3.1
SP1,22/09/01,Real Madrid,Espanol,5,1,H,3,0,H,,,,1.3,4,7,1.33,3.75,9,1.33,4,8,1.33,4.33,7.5,1.3,4.2,8.5
SP1,22/09/01,Villarreal,Sociedad,1,0,H,0,0,D,,,,1.7,3.1,3.8,1.67,3.25,4.5,1.67,3.3,4.6,1.73,3.2,4.33,1.61,3.3,5
SP1,23/09/01,Ath Bilbao,Valencia,2,2,D,0,1,A,,,,2.2,2.9,2.7,2.5,2.87,2.62,2.5,3,2.6,2.5,3.1,2.5,2.3,3,2.8
SP1,23/09/01,Celta,Mallorca,2,0,H,1,0,H,,,,1.75,3.1,3.6,1.73,3.2,4.33,1.83,3.1,4,1.8,3.25,4,1.66,3.3,4.5
SP1,23/09/01,Sevilla,Vallecano,2,1,H,0,1,A,,,,1.9,2.8,3.3,2,3.2,3.2,2,3.2,3.25,2.1,3,3.2,1.9,3.2,3.5
SP1,23/09/01,Valladolid,Betis,0,2,A,0,0,D,,,,2.1,2.8,3,2.2,3.2,2.8,2.2,3.2,2.88,2.2,3,3,2.1,3.1,3.1
SP1,23/09/01,Zaragoza,Osasuna,0,1,A,0,1,A,,,,1.55,3.3,4.5,1.61,3.25,5,1.62,3.4,5,1.67,3.4,4.33,,,
SP1,29/09/01,Espanol,Vallecano,3,1,H,1,0,H,,,,1.8,3,3.5,1.8,3.2,4,1.85,3.2,3.7,1.8,3.25,3.75,1.72,3.2,4.33
SP1,29/09/01,Malaga,Ath Bilbao,1,2,A,0,1,A,,,,2.1,2.9,2.9,2.1,3.2,3,2.1,3.1,3.1,2,3.2,3.2,2.1,3.2,3
SP1,29/09/01,Real Madrid,Valladolid,2,2,D,2,1,H,,,,1.25,4.3,8,1.25,4.5,10,1.22,5,9,1.22,5,9,1.22,5,9.5
SP1,29/09/01,Sociedad,Barcelona,0,2,A,0,1,A,,,,3.1,3,1.9,3.75,3.25,1.8,3.75,3.1,1.91,3.75,3.2,1.83,3.5,3.2,1.9
SP1,30/09/01,Betis,Las Palmas,1,0,H,0,0,D,,,,1.65,3.1,4,1.73,3.2,4.33,1.62,3.3,5,1.73,3.2,4.33,1.61,3.1,5.5
SP1,30/09/01,La Coruna,Celta,2,2,D,0,1,A,,,,1.7,3,4,1.8,3.2,4,1.85,3.2,3.75,1.8,3.2,4,1.72,3.1,4.5
SP1,30/09/01,Mallorca,Villarreal,0,1,A,0,1,A,,,,1.7,3,4,1.91,3.2,3.5,1.85,3.2,3.8,1.8,3.25,3.75,1.83,3.2,3.75
SP1,30/09/01,Osasuna,Sevilla,1,0,H,0,0,D,,,,2.2,2.8,2.8,2.25,3.2,2.75,2.2,3,3,2.1,3.1,3.1,,,
SP1,30/09/01,Tenerife,Zaragoza,0,0,D,0,0,D,,,,2,2.8,3.1,2.1,3.2,3,2.1,3.1,3.1,2.2,3.1,2.88,2.1,3.2,3
SP1,30/09/01,Valencia,Alaves,0,0,D,0,0,D,,,,1.55,3.3,4.5,1.53,3.4,5.5,1.57,3.3,5.5,1.53,3.4,5.5,1.53,3.4,5.5
SP1,03/10/01,Alaves,Malaga,1,0,H,0,0,D,,,,1.75,3.1,3.6,1.8,3.2,4,1.73,3.25,4.33,,,,1.66,3.3,4.5
SP1,03/10/01,Ath Bilbao,Betis,0,0,D,0,0,D,,,,1.85,2.9,3.4,1.91,3.2,3.5,1.91,3.2,3.5,,,,1.9,3.2,3.5
SP1,03/10/01,Barcelona,Mallorca,3,0,H,3,0,H,,,,1.45,3.5,5,1.33,4,8,1.4,3.8,7,,,,1.4,3.75,7
SP1,03/10/01,Las Palmas,Real Madrid,4,2,H,2,2,D,,,,3.2,2.9,1.9,4,3,1.83,3.75,3.2,1.85,,,,3.75,3.2,1.83
SP1,03/10/01,Vallecano,Osasuna,0,1,A,0,1,A,,,,1.8,2.9,3.6,2,3.2,3.2,1.95,3.2,3.4,,,,,,
SP1,03/10/01,Sevilla,Tenerife,2,0,H,1,0,H,,,,1.65,3.1,4,1.8,3.2,4,1.75,3.2,4.33,,,,1.72,3.2,4.33
SP1,03/10/01,Valladolid,Espanol,0,1,A,0,1,A,,,,2,2.9,3,2,3.2,3.2,2,3.2,3.25,,,,2,3.2,3.2
SP1,03/10/01,Villarreal,La Coruna,1,1,D,1,0,H,,,,2.4,2.9,2.4,2.6,3.2,2.37,2.5,3.1,2.5,,,,2.4,3.1,2.6
SP1,03/10/01,Zaragoza,Sociedad,3,2,H,1,1,D,,,,1.85,2.9,3.4,1.61,3.25,5,1.62,3.25,5,,,,1.72,3.2,4.33
SP1,04/10/01,Celta,Valencia,1,1,D,0,1,A,,,,1.9,2.9,3.2,2.1,3,3.2,1.91,3.2,3.5,,,,2,3.2,3.2
SP1,06/10/01,La Coruna,Barcelona,2,1,H,0,1,A,,,,2.1,2.9,2.9,2.2,3.25,2.75,2.25,3.2,2.75,2.2,3.2,2.8,2.25,3.1,2.8
SP1,06/10/01,Real Madrid,Ath Bilbao,2,0,H,0,0,D,,,,1.6,3.3,4,1.5,3.4,6,1.4,3.75,7,1.44,3.75,6,1.44,3.6,6.5
SP1,07/10/01,Betis,Alaves,1,0,H,0,0,D,,,,2,2.9,3,2,3.2,3.2,1.91,3.2,3.5,2,3.2,3.2,1.83,3.3,3.6
