Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,GBH,GBD,GBA,IWH,IWD,IWA
SP2,02/09/00,Albacete,Tenerife,1,0,H,1,0,H,,,,2.2,2.8,2.8
SP2,02/09/00,Getafe,Cordoba,0,0,D,0,0,D,,,,2.3,2.8,2.6
SP2,02/09/00,Lleida,Eibar,0,0,D,0,0,D,,,,1.7,2.8,4.2
SP2,03/09/00,Compostela,Betis,0,0,D,0,0,D,,,,2.6,2.8,2.3
SP2,03/09/00,Elche,Salamanca,2,0,H,1,0,H,,,,2.6,2.8,2.3
SP2,03/09/00,Jaen,Ferrol,1,0,H,0,0,D,,,,1.85,2.8,3.5
SP2,03/09/00,Leganes,Extremadura,1,1,D,1,0,H,,,,2.2,2.8,2.8
SP2,03/09/00,Levante,Ath Madrid,4,1,H,0,1,A,,,,2.8,2.8,2.2
SP2,03/09/00,Recreativo,Badajoz,0,0,D,0,0,D,,,,2.2,2.7,2.9
SP2,03/09/00,Sevilla,Murcia,2,1,H,0,0,D,,,,1.4,3.4,5.6
SP2,03/09/00,Sp Gijon,U.Las Palmas,0,0,D,0,0,D,,,,1.6,3,4.5
SP2,09/09/00,Ath Madrid,Recreativo,0,1,A,0,1,A,,,,1.5,3.3,4.8
SP2,09/09/00,U.Las Palmas,Getafe,0,1,A,0,0,D,,,,2.1,2.7,3.1
SP2,10/09/00,Badajoz,Jaen,0,1,A,0,0,D,,,,1.8,2.7,3.8
SP2,10/09/00,Betis,Elche,1,2,A,0,2,A,,,,1.45,3.3,5.2
SP2,10/09/00,Cordoba,Levante,1,1,D,1,1,D,,,,2.1,2.7,3.1
SP2,10/09/00,Eibar,Leganes,0,1,A,0,0,D,,,,1.9,2.6,3.5
SP2,10/09/00,Extremadura,Albacete,1,1,D,1,0,H,,,,1.75,2.8,3.9
SP2,10/09/00,Murcia,Lleida,0,0,D,0,0,D,,,,2.3,2.6,2.8
SP2,10/09/00,Ferrol,Compostela,1,3,A,0,1,A,,,,2.3,2.9,2.5
SP2,10/09/00,Salamanca,Sevilla,0,1,A,0,1,A,,,,2.2,2.7,2.9
SP2,10/09/00,Tenerife,Sp Gijon,1,0,H,0,0,D,,,,1.9,2.6,3.5
SP2,16/09/00,Albacete,Eibar,1,3,A,0,2,A,,,,1.7,2.9,4
SP2,16/09/00,Elche,Sevilla,1,2,A,0,1,A,,,,2.5,2.9,2.3
SP2,17/09/00,Betis,Ferrol,2,1,H,2,0,H,,,,1.4,3.6,5.5
SP2,17/09/00,Compostela,Badajoz,0,1,A,0,0,D,,,,1.9,2.8,3.3
SP2,17/09/00,Getafe,Tenerife,0,5,A,0,2,A,,,,2.2,2.9,2.7
SP2,17/09/00,Jaen,Ath Madrid,1,0,H,0,0,D,,,,2.4,2.9,2.4
SP2,17/09/00,Leganes,Murcia,3,2,H,2,1,H,,,,1.7,2.9,4
SP2,17/09/00,Levante,U.Las Palmas,2,0,H,2,0,H,,,,1.6,3.2,4.2
SP2,17/09/00,Lleida,Salamanca,0,3,A,0,3,A,,,,2.1,2.8,3
SP2,17/09/00,Recreativo,Cordoba,1,0,H,1,0,H,,,,1.9,2.7,3.4
SP2,17/09/00,Sp Gijon,Extremadura,2,0,H,2,0,H,,,,2.2,2.7,2.9
SP2,23/09/00,Ath Madrid,Compostela,2,0,H,1,0,H,,,,1.65,3.2,4
SP2,23/09/00,Cordoba,Jaen,1,0,H,0,0,D,,,,1.9,3.1,3
SP2,23/09/00,Ferrol,Elche,2,1,H,1,0,H,,,,2.5,2.9,2.3
SP2,23/09/00,Tenerife,Levante,1,1,D,0,1,A,,,,1.75,3.1,3.6
SP2,23/09/00,U.Las Palmas,Recreativo,0,0,D,0,0,D,,,,,,
SP2,24/09/00,Badajoz,Betis,0,0,D,0,0,D,,,,2.35,3,2.35
SP2,24/09/00,Eibar,Sp Gijon,0,0,D,0,0,D,,,,2,2.9,3
SP2,24/09/00,Extremadura,Getafe,1,0,H,0,0,D,,,,1.6,3.2,4.2
SP2,24/09/00,Murcia,Albacete,2,0,H,1,0,H,,,,2.3,2.9,2.5
SP2,24/09/00,Salamanca,Leganes,1,1,D,0,1,A,,,,1.7,3.1,3.8
SP2,24/09/00,Sevilla,Lleida,2,0,H,1,0,H,,,,1.4,3.6,5.5
SP2,30/09/00,Elche,Lleida,2,1,H,0,0,D,,,,1.8,3,3.5
SP2,30/09/00,Leganes,Sevilla,1,1,D,0,0,D,,,,2.8,2.8,2.2
SP2,30/09/00,Ferrol,Badajoz,2,2,D,1,1,D,,,,2.3,2.9,2.5
SP2,30/09/00,Recreativo,Tenerife,0,0,D,0,0,D,,,,2.2,2.8,2.8
SP2,01/10/00,Albacete,Salamanca,1,0,H,0,0,D,,,,2.1,2.9,2.9
SP2,01/10/00,Betis,Ath Madrid,1,1,D,1,0,H,,,,1.75,3.1,3.6
SP2,01/10/00,Compostela,Cordoba,0,1,A,0,0,D,,,,1.85,3,3.3
SP2,01/10/00,Getafe,Eibar,0,0,D,0,0,D,,,,2.1,2.8,3
SP2,01/10/00,Jaen,U.Las Palmas,1,0,H,0,0,D,,,,1.6,3.2,4.2
SP2,01/10/00,Levante,Extremadura,1,0,H,0,0,D,,,,1.8,3.1,3.4
SP2,01/10/00,Sp Gijon,Murcia,2,2,D,0,2,A,,,,1.55,3.3,4.5
SP2,07/10/00,Cordoba,Betis,1,0,H,1,0,H,,,,2.45,2.8,2.45
SP2,07/10/00,Eibar,Levante,0,0,D,0,0,D,,,,2.3,2.6,2.8
SP2,08/10/00,Ath Madrid,Ferrol,1,1,D,0,0,D,,,,1.45,3.5,5
SP2,08/10/00,Badajoz,Elche,1,1,D,0,1,A,,,,2.1,2.7,3.1
SP2,08/10/00,Extremadura,Recreativo,1,1,D,0,1,A,,,,1.75,2.9,3.8
SP2,08/10/00,Lleida,Leganes,1,0,H,1,0,H,,,,2.3,2.7,2.7
