Country, #, Position, FIFA Display Name, Last Name, First Name, Shirt Name, Date of Birth, Club, Club Country, Height
Algeria, 1, Goalkeeper, Lounes GAOUAOUI, GAOUAOUI, Lounes, GAOUAOUI, 28 Sep 1977, Chlef, ALG, 188
Algeria, 2, Defender, Madjid BOUGHERRA, BOUGHERRA, Madjid, BOUGHERRA, 07 Oct 1982, Rangers, SCO, 190
Algeria, 3, Defender, Nadir BELHADJ, BELHADJ, Nadir, BELHADJ, 18 Jun 1982, Portsmouth, ENG, 180
Algeria, 4, Defender, Anther YAHIA, YAHIA, Anther, YAHIA, 21 Mar 1982, Bochum, GER, 185
Algeria, 5, Defender, Rafik HALLICHE, HALLICHE, Rafik, HALLICHE, 02 Sep 1986, Nacional Madeira, POR, 187
Algeria, 6, Midfielder, Yazid MANSOURI, MANSOURI, Yazid, MANSOURI, 25 Feb 1978, Lorient, FRA, 175
Algeria, 7, Midfielder, Ryad BOUDEBOUZ, BOUDEBOUZ, Ryad, BOUDEBOUZ, 19 Feb 1990, Sochaux, FRA, 178
Algeria, 8, Midfielder, Medhi LACEN, LACEN, Medhi Gregory Guiseppe, LACEN, 15 Mar 1984, Racing Santander, ESP, 178
Algeria, 9, Forward, Abdelkader GHEZZAL, GHEZZAL, Abdelkader Mohamed, GHEZZAL, 05 Dec 1984, Siena, ITA, 186
Algeria, 10, Forward, Rafik SAIFI, SAIFI, Rafik, SAIFI, 07 Feb 1975, Istres, FRA, 178
Algeria, 11, Forward, Rafik DJEBBOUR, DJEBBOUR, Rafik Zoheir, DJEBBOUR, 08 Mar 1984, AEK Athens, GRE, 185
Algeria, 12, Defender, Habib BELLAID, BELLAID, Habib Mohamed, BELLAID, 28 Mar 1986, Boulogne, FRA, 189
Algeria, 13, Midfielder, Karim MATMOUR, MATMOUR, Karim, MATMOUR, 25 Jun 1985, Borussia Moenchengladbach, GER, 181
Algeria, 14, Defender, Abdelkader LAIFAOUI, LAIFAOUI, Abdelkader, LAIFAOUI, 29 Jul 1981, Setif, ALG, 177
Algeria, 15, Midfielder, Karim ZIANI, ZIANI, Karim Koceila Yanis, ZIANI, 17 Aug 1982, Wolfsburg, GER, 168
Algeria, 16, Goalkeeper, Faouzi CHAOUCHI, CHAOUCHI, Faouzi, CHAOUCHI, 05 Dec 1984, Setif, ALG, 180
Algeria, 17, Midfielder, Adlane GUEDIOURA, GUEDIOURA, Adlane, GUEDIOURA, 12 Nov 1985, Wolverhampton, ENG, 183
Algeria, 18, Defender, Carl MEDJANI, MEDJANI, Carl, MEDJANI, 15 May 1985, Ajaccio, FRA, 184
Algeria, 19, Midfielder, Hassan YEBDA, YEBDA, Hassan, YEBDA, 14 May 1984, Portsmouth, ENG, 188
Algeria, 20, Defender, Djamel MESBAH, MESBAH, Djamel, Eddine, MESBAH 09 Oct 1984, Lecce, ITA, 180
Algeria, 21, Midfielder, Foued KADIR, KADIR, Foued, KADIR, 05 Dec 1983, Valenciennes, FRA, 180
Algeria, 22, Midfielder, Djamal ABDOUN, ABDOUN, Djamal, ABDOUN, 14 Feb 1986, Nantes, FRA, 180
Algeria, 23, Goalkeeper, Rais M BOLHI, M'BOLHI, Adi Rais Cobos Adrien, MBOLHI, 25 Apr 1986, Slavia Sofia, BUL, 190
Argentina, 1, Goalkeeper, Diego POZO, POZO, Diego, POZO, 16 Feb 1978, Atletico Colon, ARG, 183
Argentina, 2, Defender, Martin DEMICHELIS, DEMICHELIS, Martin Gaston, DEMICHELIS, 20 Dec 1980, Bayern Munich, GER, 184
Argentina, 3, Defender, Clemente RODRIGUEZ, RODRIGUEZ, Clemente Juan, RODRIGUEZ C., 31 Jul 1981, Estudiantes La Plata, ARG, 166
Argentina, 4, Defender, Nicolas BURDISSO, BURDISSO, Nicolas Andres, BURDISSO, 12 Apr 1981, AS Roma, ITA, 174
Argentina, 5, Midfielder, Mario BOLATTI, BOLATTI, Mario Ariel, BOLATTI, 17 Feb 1985, Fiorentina, ITA, 189
Argentina, 6, Defender, Gabriel HEINZE, HEINZE, Gabriel Ivan, HEINZE, 19 Apr 1978, Marseille, FRA, 178
Argentina, 7, Midfielder, Angel DI MARIA, DI MARIA, Angel Fabian, DI MARIA, 14 Feb 1988, Benfica, POR, 180
Argentina, 8, Midfielder, Juan VERON, VERON, Juan Sebastian, VERON, 09 Mar 1975, Estudiantes La Plata, ARG, 183
Argentina, 9, Forward, Gonzalo HIGUAIN, HIGUAIN, Gonzalo Gerardo, HIGUAIN, 10 Dec 1987, Real Madrid, ESP, 182
Argentina, 10, Forward, Lionel MESSI, MESSI CUCCITTINI, Lionel Andres, MESSI, 24 Jun 1987, Barcelona, ESP, 170
Argentina, 11, Forward, Carlos TEVEZ, TEVEZ, Carlos Alberto, CARLITOS, 05 Feb 1984, Manchester City, ENG, 173
Argentina, 12, Defender, Ariel GARCE, GARCE, Ariel Hernan, GARCE, 14 Jul 1979, Atletico Colon, ARG, 175
Argentina, 13, Defender, Walter SAMUEL, SAMUEL, Walter Adrian, SAMUEL, 23 Mar 1978, Inter, ITA, 182
Argentina, 14, Midfielder, Javier MASCHERANO, MASCHERANO, Javier Alejandro, MASCHERANO, 08 Jun 1984, Liverpool, ENG, 171
Argentina, 15, Defender, Nicolas OTAMENDI, OTAMENDI, Nicolas Hernan, OTAMENDI, 12 Feb 1988, Velez Sarsfield, ARG, 171
Argentina, 16, Forward, Sergio AGUERO, AGÜERO, Sergio Leonel, KUN AGUERO, 02 Jun 1988, Atletico Madrid, ESP, 170
Argentina, 17, Midfielder, Jonas GUTIERREZ, GUTIERREZ, Jonas Manuel, JONAS, 05 Jul 1983, Newcastle Utd., ENG, 182
Argentina, 18, Forward, Martin PALERMO, PALERMO, Martin, PALERMO, 07 Nov 1973, Boca Juniors, ARG, 188
Argentina, 19, Forward, Diego MILITO, MILITO, Diego, MILITO D., 12 Jun 1979, Inter, ITA, 177
Argentina, 20, Midfielder, Maxi RODRIGUEZ, RODRIGUEZ, Maximiliano Ruben, RODRIGUEZ M., 02 Jan 1981, Liverpool, ENG, 173
Argentina, 21, Goalkeeper, Mariano ANDUJAR, ANDUJAR, Mariano, ANDUJAR, 30 Jul 1983, Catania, ITA, 180
Argentina, 22, Goalkeeper, Sergio ROMERO, ROMERO, Sergio German, ROMERO, 22 Feb 1987, AZ Alkmaar, NED, 191
Argentina, 23, Midfielder, Javier PASTORE, PASTORE, Javier, PASTORE, 20 Jun 1989, Palermo, ITA, 173
Australia, 1, Goalkeeper, Mark SCHWARZER, SCHWARZER, Mark, SCHWARZER, 06 Oct 1972, Fulham, ENG, 196
Australia, 2, Defender, Lucas NEILL, NEILL, Lucas Edward, NEILL, 09 Mar 1978, Galatasaray, TUR, 185
Australia, 3, Defender, Craig MOORE, MOORE, Craig Andrew, MOORE, 12 Dec 1975, No club affiliation, UNK, 186
Australia, 4, Forward, Tim CAHILL, CAHILL, Timothy Filiga, CAHILL, 06 Dec 1979, Everton, ENG, 180
Australia, 5, Midfielder, Jason CULINA, CULINA, Jason, CULINA, 05 Aug 1980, Gold Coast United, AUS, 175
Australia, 6, Defender, Michael BEAUCHAMP, BEAUCHAMP, Michael Francis, BEAUCHAMP, 08 Mar 1981, Al Jazira, UAE, 191
Australia, 7, Midfielder, Brett EMERTON, EMERTON, Brett Michael, EMERTON, 22 Feb 1979, Blackburn Rovers, ENG, 185
Australia, 8, Defender, Luke WILKSHIRE, WILKSHIRE, Luke, WILKSHIRE, 02 Oct 1981, Dynamo Moscow, RUS, 177
Australia, 9, Forward, Joshua KENNEDY, KENNEDY, Joshua Blake, KENNEDY, 20 Aug 1982, Nagoya Grampus Eight, JPN, 192
Australia, 10, Forward, Harry KEWELL, KEWELL, Harry, KEWELL, 22 Sep 1978, Galatasaray, TUR, 183
