Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,GBAHH,GBAHA,GBAH,,,,,,,,,,,,,,,
SC1,07/08/04,Airdrie Utd,St Johnstone,1,0,H,0,0,D,2.75,3.5,2.1,2.8,3.5,2.1,2.8,3.4,2.1,2.7,3.2,2.1,2.5,3.5,2.25,2.8,3.4,2.1,3,3.4,2,1.54,2.1,0.5,,,,,,,,,,,,,,,
SC1,07/08/04,Clyde,Partick,2,1,H,2,0,H,2.5,3.5,2.25,2.6,3.5,2.2,2.55,3.5,2.25,2.7,3.2,2.1,2.5,3.5,2.25,2.62,3.4,2.2,2.8,3.4,2.1,1.48,2.25,0.5,,,,,,,,,,,,,,,
SC1,07/08/04,Hamilton,Raith Rvs,2,0,H,0,0,D,1.9,3.5,3.2,1.8,3.5,3.55,2,3.4,3,1.9,3.3,3,1.91,3.5,3.2,2,3.4,3,2,3.4,3,2,1.59,-0.5,,,,,,,,,,,,,,,
SC1,07/08/04,Queen of Sth,Ross County,0,1,A,0,1,A,2.37,3.5,2.37,2.5,3.5,2.3,2.45,3.3,2.4,2.4,3.1,2.4,2.2,3.5,2.62,2.5,3.25,2.38,2.5,3.4,2.3,1.41,2.4,0.5,,,,,,,,,,,,,,,
SC1,07/08/04,St Mirren,Falkirk,2,0,H,0,0,D,2.5,3.4,2.3,2.5,3.5,2.3,2.45,3.3,2.4,2.4,3.1,2.4,2.5,3.5,2.25,2.5,3.4,2.3,2.4,3.4,2.4,1.41,2.4,0.5,,,,,,,,,,,,,,,
SC1,14/08/04,Falkirk,Hamilton,1,1,D,0,1,A,1.8,3.5,3.5,1.9,3.5,3.2,1.8,3.4,3.6,1.8,3.3,3.2,1.8,3.5,3.5,1.8,3.4,3.6,1.8,3.5,3.5,1.8,1.75,-0.5,,,,,,,,,,,,,,,
SC1,14/08/04,Partick,Airdrie Utd,3,2,H,1,1,D,1.66,3.6,4,1.75,3.6,3.65,1.75,3.4,3.85,1.8,3.3,3.2,1.67,3.6,4,1.73,3.4,4,1.72,3.4,4,1.75,1.81,-0.5,,,,,,,,,,,,,,,
SC1,14/08/04,Raith Rvs,Clyde,2,3,A,0,2,A,2.5,3.5,2.25,2.5,3.45,2.3,2.6,3.4,2.25,2.6,3.3,2.1,2.62,3.5,2.2,2.62,3.4,2.2,2.75,3.5,2.1,1.47,2.25,0.5,,,,,,,,,,,,,,,
SC1,14/08/04,Ross County,St Mirren,1,1,D,1,0,H,2,3.4,3,2.1,3.5,2.75,2,3.4,3,1.9,3.2,3.1,1.8,3.5,3.5,1.91,3.5,3.2,1.8,3.6,3.4,2,1.59,-0.5,,,,,,,,,,,,,,,
SC1,14/08/04,St Johnstone,Queen of Sth,1,3,A,0,2,A,1.61,3.6,4.33,1.55,3.75,4.75,1.67,3.5,4.2,1.65,3.4,3.8,1.67,3.6,4,1.67,3.6,4,1.66,3.6,4,1.67,1.91,-0.5,,,,,,,,,,,,,,,
SC1,21/08/04,Airdrie Utd,Raith Rvs,1,1,D,0,1,A,1.61,3.6,4.33,,,,1.63,3.6,4.25,,,,1.62,4,4,1.73,3.6,3.75,1.61,3.75,4.2,1.63,1.95,-0.5,,,,,,,,,,,,,,,
SC1,21/08/04,Clyde,Ross County,1,0,H,0,0,D,2.2,3.5,2.6,2.1,3.45,2.8,2.15,3.4,2.75,2.1,3.2,2.7,2,3.4,3,2.2,3.4,2.62,2.25,3.4,2.6,2.15,1.52,-0.5,,,,,,,,,,,,,,,
SC1,21/08/04,Hamilton,Partick,0,1,A,0,1,A,2.6,3.5,2.2,2.6,3.4,2.25,2.6,3.4,2.25,2.6,3.2,2.2,2.5,3.5,2.25,2.5,3.4,2.3,2.6,3.4,2.25,1.47,2.25,0.5,,,,,,,,,,,,,,,
SC1,21/08/04,Queen of Sth,Falkirk,1,3,A,1,1,D,2.37,3.5,2.37,2.5,3.5,2.3,2.4,3.45,2.4,2.4,3.2,2.3,2.25,3.5,2.5,2.38,3.5,2.38,2.3,3.4,2.5,2.4,1.42,-0.5,,,,,,,,,,,,,,,
SC1,21/08/04,St Mirren,St Johnstone,2,1,H,0,1,A,2.37,3.5,2.37,2.5,3.5,2.3,2.4,3.45,2.4,2.4,3.2,2.3,2.25,3.5,2.5,2.38,3.5,2.38,2.4,3.4,2.4,2.4,1.42,-0.5,,,,,,,,,,,,,,,
SC1,28/08/04,Falkirk,Airdrie Utd,5,0,H,2,0,H,1.72,3.6,3.75,1.75,3.5,3.75,1.77,3.5,3.7,1.8,3.3,3.3,1.73,3.5,3.75,1.75,3.6,3.6,1.8,3.6,3.4,1.77,1.8,-0.5,,,,,,,,,,,,
SC1,28/08/04,Queen of Sth,Clyde,0,1,A,0,1,A,2.75,3.5,2.1,2.5,3.5,2.3,2.6,3.5,2.2,2.6,3.3,2.1,2.62,3.5,2.2,2.62,3.4,2.2,2.7,3.6,2.1,1.49,2.2,0.5,,,,,,,,,,,,
SC1,28/08/04,Ross County,Partick,0,1,A,0,0,D,2.62,3.4,2.2,2.4,3.45,2.4,2.55,3.5,2.25,2.5,3.3,2.2,2.5,3.5,2.25,2.62,3.4,2.2,2.5,3.6,2.25,1.48,2.25,0.5,,,,,,,,,,,,
SC1,28/08/04,St Johnstone,Raith Rvs,1,0,H,0,0,D,1.66,3.6,4,1.7,3.75,3.75,1.65,3.6,4.2,1.65,3.4,3.8,1.67,3.6,4,1.62,3.6,4.33,1.53,4,4.5,1.65,1.94,-0.5,,,,,,,,,,,,
SC1,28/08/04,St Mirren,Hamilton,1,0,H,1,0,H,2,3.4,3,2,3.45,2.95,2,3.45,3,2.1,3.2,2.7,2.2,3.5,2.62,2,3.4,3,1.95,3.6,3,2,1.6,-0.5,,,,,,,,,,,,
SC1,04/09/04,Airdrie Utd,Queen of Sth,0,1,A,0,1,A,2,3.4,3,2.1,3.45,2.8,2.1,3.4,2.8,2,3.3,2.8,2,3.4,3,2.1,3.4,2.8,2.1,3.6,2.7,2.1,1.54,-0.5,,,,,,,,,,,,
SC1,04/09/04,Clyde,St Mirren,0,0,D,0,0,D,1.83,3.5,3.4,1.9,3.5,3.2,1.9,3.4,3.25,1.9,3.3,3,1.73,3.5,3.75,1.91,3.4,3.25,1.83,3.75,3.2,1.9,1.66,-0.5,,,,,,,,,,,,
SC1,04/09/04,Hamilton,St Johnstone,1,1,D,0,0,D,2.5,3.5,2.25,2.5,3.5,2.3,2.4,3.4,2.4,2.4,3.1,2.4,2.2,3.5,2.62,2.5,3.4,2.3,2.37,3.5,2.37,2.4,1.41,-0.5,,,,,,,,,,,,
SC1,04/09/04,Partick,Falkirk,1,4,A,0,2,A,1.8,3.5,3.5,1.9,3.5,3.2,1.9,3.4,3.25,1.9,3.3,3,1.8,3.5,3.5,1.91,3.4,3.25,1.9,3.6,3.1,1.9,1.66,-0.5,,,,,,,,,,,,
SC1,04/09/04,Raith Rvs,Ross County,1,2,A,0,1,A,2.75,3.5,2.1,2.5,3.5,2.3,2.6,3.4,2.25,2.5,3.3,2.2,2.38,3.5,2.38,2.75,3.5,2.1,2.62,3.6,2.15,1.47,2.25,0.5,,,,,,,,,,,,
SC1,11/09/04,Clyde,Airdrie Utd,1,2,A,1,1,D,1.5,3.6,5.5,1.5,4.25,4.5,1.4,3.85,6.25,,,,,,,1.44,3.75,6,1.44,3.75,6,,,,,,,,,,,,,,,
SC1,11/09/04,Falkirk,Raith Rvs,4,2,H,0,1,A,1.364,4,7,1.4,4.4,5.5,1.37,4.2,6.5,1.35,4,5.8,1.444,4,5.5,1.4,3.75,7,1.36,4.2,6.5,1.37,2.55,-0.5,,,,,,,,,,,,
SC1,11/09/04,Queen of Sth,Hamilton,1,1,D,0,1,A,2.2,3.5,2.6,2.3,3.5,2.5,2.25,3.4,2.6,2.2,3.3,2.5,2.2,3.5,2.625,2.25,3.5,2.5,2.2,3.5,2.62,2.25,1.47,-0.5,,,,,,,,,,,,
SC1,11/09/04,Ross County,St Johnstone,0,1,A,0,1,A,2.25,3.5,2.5,2.4,3.45,2.4,2.35,3.4,2.5,2.3,3.2,2.4,2.25,3.5,2.5,2.37,3.5,2.37,2.3,3.4,2.5,2.35,1.44,-0.5,,,,,,,,,,,,
SC1,11/09/04,St Mirren,Partick,2,1,H,0,1,A,2.5,3.5,2.25,2.4,3.45,2.4,2.4,3.45,2.4,2.35,3.2,2.35,2.375,3.5,2.375,2.37,3.5,2.37,2.37,3.5,2.37,2.4,1.42,-0.5,,,,,,,,,,,,
SC1,18/09/04,Airdrie Utd,Ross County,1,2,A,1,1,D,2.5,3.4,2.3,2.2,3.45,2.65,2.35,3.65,2.35,2.3,3.4,2.3,2.2,3.5,2.62,2.38,3.5,2.38,2.5,3.6,2.25,2.35,1.43,-0.5,,,,,,,,,,,,
