Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,,,,,,,,,,,,,,,,,,,,,
SC2,04/08/98,Alloa,Forfar,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC2,04/08/98,Arbroath,East Fife,0,2,A,,,,,,,,,,,,,,,,,,,,,
SC2,04/08/98,Clyde,Queen of Sth,2,0,H,,,,,,,,,,,,,,,,,,,,,
SC2,04/08/98,Livingston,Stirling,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC2,04/08/98,Partick,Inverness C,0,1,A,,,,,,,,,,,,,,,,,,,,,
SC2,15/08/98,East Fife,Alloa,2,2,D,,,,,,,,,,,,,,,,,,,,,
SC2,15/08/98,Forfar,Partick,0,1,A,,,,,,,,,,,,,,,,,,,,,
SC2,15/08/98,Inverness C,Livingston,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC2,15/08/98,Queen of Sth,Arbroath,0,0,D,,,,,,,,,,,,,,,,,,,,,
SC2,15/08/98,Stirling,Clyde,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC2,22/08/98,Alloa,Inverness C,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC2,22/08/98,Arbroath,Stirling,0,3,A,,,,,,,,,,,,,,,,,,,,,
SC2,22/08/98,Clyde,East Fife,0,0,D,,,,,,,,,,,,,,,,,,,,,
SC2,22/08/98,Livingston,Forfar,1,1,D,,,,,,,,,,,,,,,,,,,,,
SC2,22/08/98,Partick,Queen of Sth,2,2,D,,,,,,,,,,,,,,,,,,,,,
SC2,29/08/98,Alloa,Stirling,7,0,H,,,,,,,,,,,,,,,,,,,,,
SC2,29/08/98,Arbroath,Forfar,2,1,H,,,,,,,,,,,,,,,,,,,,,
SC2,29/08/98,Clyde,Partick,1,2,A,,,,,,,,,,,,,,,,,,,,,
SC2,29/08/98,East Fife,Inverness C,1,5,A,,,,,,,,,,,,,,,,,,,,,
SC2,29/08/98,Queen of Sth,Livingston,0,1,A,,,,,,,,,,,,,,,,,,,,,
