Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,PSH,PSD,PSA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
SC3,11/08/12,Berwick,Elgin,0,0,D,0,0,D,2.3,3.6,2.8,2.25,3.5,2.65,2.25,3.5,2.65,2.3,3.2,2.5,2.25,3.5,2.5,2.27,3.74,3.06,2.3,3.75,2.75,2.25,3.4,2.88,2.25,3.7,3,2.3,3.4,2.75,31,2.4,2.25,3.81,3.38,3.11,2.83,16,1.55,1.49,2.62,2.52,14,0,1.69,1.65,2.32,2.28
SC3,11/08/12,East Stirling,Queens Park,0,2,A,0,0,D,4.5,4,1.7,4.1,3.6,1.7,4.1,3.6,1.7,3.4,3.3,1.85,4.5,4,1.53,4.78,4.01,1.74,4.8,3.6,1.73,4.33,3.5,1.73,4.6,3.9,1.73,4.33,3.75,1.7,31,5,4.31,4.01,3.61,1.8,1.71,17,1.66,1.61,2.33,2.24,14,0.5,2.21,2.17,1.74,1.72
SC3,11/08/12,Montrose,Clyde,2,3,A,2,0,H,2.1,3.5,3.25,2.1,3.3,3,2.1,3.3,3,2.2,3.2,2.7,2,3.5,3,2.13,3.7,3.38,2.1,3.75,3.1,2.1,3.4,3,2.1,3.7,3.3,2.15,3.5,2.88,31,2.2,2.12,3.75,3.37,3.5,3.04,17,1.69,1.63,2.31,2.21,14,-0.25,1.89,1.86,2.02,1.99
SC3,11/08/12,Peterhead,Rangers,2,2,D,0,1,A,9,5.5,1.3,8.5,4.75,1.28,8.5,4.75,1.28,7,4,1.35,8,5.5,1.22,10.95,5.73,1.31,9,5.5,1.29,8.5,5,1.29,8.5,5.75,1.3,8,5.5,1.29,31,11.12,8.61,6,5.24,1.35,1.28,16,1.46,1.43,3,2.71,15,1.25,2.42,2.36,1.65,1.6
SC3,11/08/12,Stirling,Annan Athletic,5,1,H,4,0,H,2.1,3.5,3.25,2,3.3,3.25,2,3.3,3.25,2,3.3,3,1.91,3.3,3.3,2.14,3.63,3.43,2.15,3.4,3.25,2.05,3.4,3.25,2.1,3.6,3.4,2.1,3.4,3.1,31,2.15,2.05,3.63,3.36,3.45,3.23,16,1.76,1.7,2.15,2.08,14,-0.25,1.88,1.84,2.05,2.01
SC3,18/08/12,Annan Athletic,Berwick,3,2,H,0,2,A,2.4,3.5,2.75,2.35,3.3,2.6,2.35,3.3,2.6,2.2,3.2,2.7,2.25,3.5,2.75,2.52,3.6,2.78,2.3,3.4,2.5,2.4,3.3,2.75,2.5,3.5,2.75,2.4,3.5,2.6,31,2.53,2.38,3.6,3.36,2.8,2.68,17,1.65,1.6,2.32,2.25,14,-0.25,2.22,2.14,1.77,1.72
SC3,18/08/12,Clyde,Peterhead,0,2,A,0,2,A,3.6,3.5,2,3.1,3.2,2.1,3.1,3.2,2.1,2.7,3.2,2.2,3.2,3.5,2,3.55,3.6,2.1,3.1,3.75,1.85,3.5,3.5,1.83,3.4,3.6,2.1,3.5,3.6,1.91,31,3.63,3.19,3.75,3.43,2.2,2.07,17,1.78,1.7,2.2,2.09,14,0.25,2.18,2.09,1.82,1.76
SC3,18/08/12,Elgin,Stirling,3,1,H,1,1,D,2.75,3.5,2.4,2.6,3.4,2.3,2.6,3.4,2.3,2.5,3.2,2.3,2.5,3.5,2.5,2.9,3.67,2.39,2.3,3.4,2.5,2.75,3.3,2.4,2.8,3.6,2.4,2.5,3.4,2.5,31,2.85,2.63,3.63,3.37,2.52,2.41,17,1.59,1.54,2.5,2.38,14,0.25,1.8,1.75,2.19,2.11
SC3,18/08/12,Queens Park,Montrose,2,2,D,0,1,A,1.53,4.33,5.5,1.55,3.8,5,1.55,3.8,5,1.5,3.7,5,1.53,4,5,1.54,4.49,6.06,1.53,4,4.5,1.53,4,5.25,1.53,4.4,6,1.5,4,5.5,31,1.57,1.53,4.49,3.99,6.06,5.26,17,1.56,1.5,2.62,2.5,11,-0.75,1.7,1.66,2.28,2.24
SC3,18/08/12,Rangers,East Stirling,5,1,H,2,1,H,1.06,12,29,1.06,8,23,1.06,8,23,1.07,8,16,1.05,10,26,1.03,11,26,1.05,9,17,1.07,10,19,1.07,12,29,1.05,11,26,26,1.08,1.06,13,10.03,29,22.01,15,1.33,1.31,3.5,3.29,9,-2.25,1.53,1.49,2.66,2.56
