Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,GBH,GBD,GBA,IWH,IWD,IWA,SBH,SBD,SBA,WHH,WHD,WHA,GB>2.5,GB<2.5
SP2,31/08/02,Almeria,Salamanca,1,2,A,1,0,H,2.4,2.9,2.75,2.5,2.9,2.63,2.4,2.8,2.5,2.375,3,2.625,2.4,2.9,2.65,,
SP2,31/08/02,Elche,Xerez,0,1,A,0,0,D,2,3,3.4,1.95,3,3.55,2,2.8,3.1,1.909,3,3.6,2.1,3,3.1,,
SP2,31/08/02,Getafe,Levante,2,2,D,0,2,A,,,,2.1,2.95,3.2,2,2.9,3,2.2,3,2.9,2,3.1,3.2,,
SP2,31/08/02,Las Palmas,Ferrol,2,0,H,2,0,H,1.667,3.25,4.5,1.6,3.3,5,1.65,3,4.2,1.571,3.4,5,1.75,3.15,4,,
SP2,31/08/02,Terrassa,Albacete,1,1,D,1,1,D,2.4,2.9,2.75,2.4,2.9,2.72,2.4,2.9,2.4,2.375,3,2.625,2.55,2.8,2.6,,
SP2,01/09/02,Badajoz,Leganes,0,0,D,0,0,D,2,2.875,3.6,2.2,3,3.4,2,2.8,3.1,2,2.875,3.5,2.1,3,3.1,,
SP2,01/09/02,Compostela,Tenerife,1,1,D,1,0,H,2.7,3,2.375,2.7,2.95,2.4,2.6,2.8,2.3,2.625,3,2.375,2.8,3,2.25,,
SP2,01/09/02,Eibar,Poli Ejido,0,0,D,0,0,D,1.833,3,4,1.82,3.15,4.15,1.8,2.9,3.6,1.727,3.1,4.333,1.85,3,3.8,,
SP2,01/09/02,Numancia,Sp Gijon,1,0,H,1,0,H,2.25,2.875,3,2.3,2.9,2.88,2.3,2.8,2.6,2.2,2.875,3,2.25,2.85,3,,
SP2,01/09/02,Oviedo,Murcia,0,1,A,0,0,D,1.8,3.2,3.8,1.75,3.15,4.15,1.8,2.9,3.6,1.727,3.1,4.333,1.9,2.9,3.75,,
SP2,01/09/02,Zaragoza,Cordoba,0,0,D,0,0,D,1.667,3.25,4.5,1.6,3.4,4.75,1.6,3.1,4.4,1.5,3.5,5.5,1.7,3.2,4.2,,
SP2,14/09/02,Cordoba,Almeria,3,0,H,1,0,H,1.727,3.2,4.333,1.75,3.1,4.15,1.7,2.8,4.2,1.727,3.1,4.333,,,,2.15,1.55
SP2,14/09/02,Ferrol,Compostela,1,1,D,1,1,D,1.909,3,3.75,1.85,3,3.85,1.85,2.8,3.5,1.909,3,3.6,,,,2.05,1.6
SP2,14/09/02,Tenerife,Oviedo,1,1,D,0,1,A,1.727,3.2,4.333,1.7,3.1,4.5,1.65,3,4.2,1.667,3.2,4.5,,,,1.95,1.65
SP2,15/09/02,Albacete,Badajoz,1,0,H,1,0,H,1.833,2.875,4.333,1.86,2.9,4,1.8,2.8,3.7,1.85,2.9,4,2,3,3.3,2.15,1.55
SP2,15/09/02,Leganes,Numancia,2,1,H,0,0,D,2.1,2.8,3.4,2.1,2.9,3.2,2.1,2.8,3,2.1,2.8,3.3,2.1,2.85,3.25,2.15,1.55
SP2,15/09/02,Levante,Zaragoza,3,2,H,0,0,D,2.75,3,2.3,2.75,2.9,2.35,2.7,2.7,2.3,2.8,3,2.25,,,,2.05,1.6
SP2,15/09/02,Murcia,Getafe,2,0,H,1,0,H,1.8,3,4.2,1.76,3.1,4.15,1.75,2.9,3.8,1.75,3,4.333,1.9,3,3.6,2.05,1.6
SP2,15/09/02,Poli Ejido,Terrassa,1,2,A,0,1,A,1.8,3,4.2,1.85,3,3.85,1.8,2.9,3.6,1.9,3,3.6,,,,2.15,1.55
SP2,15/09/02,Salamanca,Eibar,0,0,D,0,0,D,1.909,3,3.75,1.85,3,3.85,1.8,2.8,3.7,1.833,3,4,2,3,3.3,2.05,1.6
SP2,15/09/02,Sp Gijon,Elche,0,0,D,0,0,D,2.4,3,3.4,1.9,2.95,3.7,1.85,2.8,3.5,1.9,2.9,3.8,2,3,3.3,2.15,1.55
SP2,15/09/02,Xerez,Las Palmas,2,2,D,0,1,A,2.25,2.875,3,2.2,2.9,3,2.3,2.7,2.7,2.2,2.875,3,2.2,2.85,3,1.95,1.65
SP2,21/09/02,Almeria,Levante,2,2,D,2,0,H,,,,2.3,2.8,3,2.2,2.8,2.8,2.25,2.8,3,2.35,2.85,2.8,1.8,1.8
SP2,21/09/02,Eibar,Cordoba,1,0,H,0,0,D,,,,1.85,2.95,4,1.9,2.8,3.4,1.85,2.875,4,2,2.9,3.4,2.15,1.55
SP2,21/09/02,Las Palmas,Compostela,1,1,D,0,1,A,,,,1.58,3.25,5.35,1.55,3.2,4.6,1.533,3.2,6,1.65,3,5,1.85,1.75
SP2,21/09/02,Numancia,Albacete,1,2,A,0,1,A,,,,2.08,2.87,3.35,2,2.8,3.1,2.1,3,3.1,2.3,2.85,2.85,2.05,1.6
SP2,21/09/02,Oviedo,Ferrol,1,2,A,0,0,D,,,,1.8,2.95,4.25,1.75,3,3.9,1.75,3,4.333,1.9,3,3.6,1.95,1.65
SP2,22/09/02,Badajoz,Poli Ejido,0,2,A,0,1,A,,,,1.97,2.9,3.65,1.9,2.8,3.4,1.909,2.9,3.75,1.9,3,3.6,2.15,1.55
SP2,22/09/02,Elche,Leganes,1,1,D,1,1,D,,,,1.8,2.95,4.5,1.75,2.9,3.8,1.8,3,4,1.9,3,3.6,2.25,1.55
SP2,22/09/02,Getafe,Tenerife,2,1,H,1,1,D,,,,2.85,2.85,2.35,2.6,2.8,2.3,2.6,2.875,2.5,2.6,2.75,2.6,1.8,1.8
