Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,WHH,WHD,WHA,SJH,SJD,SJA,VCH,VCD,VCA,BSH,BSD,BSA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA
T1,14/08/10,Bucaspor,Besiktas,0,1,A,0,0,D,6,3.8,1.57,6,3.75,1.5,6,3.6,1.53,5.5,3.8,1.5,6.5,3.6,1.44,6.5,4,1.45,6.5,3.6,1.5,6.5,3.75,1.53,6,3.8,1.5,7,3.75,1.44,31,7,6.24,4.18,3.75,1.57,1.5,23,1.96,1.87,2,1.87,11,1,1.95,1.9,1.99,1.96
T1,14/08/10,Eskisehirspor,Genclerbirligi,0,0,D,0,0,D,2,3.4,3.75,1.88,3.3,3.8,2,3.25,3.5,2,3.2,3.3,1.91,3.2,3.5,2,3.25,3.4,1.91,3.25,3.75,2,3.25,3.75,1.95,3.2,3.6,2.1,3.25,3.1,30,2.1,1.98,3.52,3.27,4.12,3.57,24,2.21,2.03,1.8,1.73,12,-0.5,2.02,1.99,1.94,1.86
T1,14/08/10,Gaziantepspor,Kasimpasa,0,0,D,0,0,D,1.91,3.4,4,2,3.2,3.5,1.95,3.25,3.6,2,3.2,3.3,2,3.2,3.2,2,3.1,3.6,2,3.2,3.5,1.95,3.25,4,1.91,3.2,3.8,1.8,3.4,3.75,31,2.03,1.96,3.48,3.27,4.16,3.65,16,2.2,2.09,1.85,1.66,12,-0.5,2.03,1.98,1.92,1.86
T1,14/08/10,Sivasspor,Galatasaray,2,1,H,1,1,D,5.25,3.6,1.67,4.25,3.4,1.75,4.5,3.4,1.73,4,3.2,1.8,4.33,3.2,1.73,4.2,3.4,1.75,4.5,3.4,1.73,4.5,3.6,1.73,4.75,3.3,1.73,4,3.4,1.8,32,5.28,4.58,3.87,3.46,1.8,1.72,24,2.04,1.92,1.93,1.82,12,0.5,2.26,2.18,1.73,1.71
T1,15/08/10,Ankaragucu,Trabzonspor,0,2,A,0,0,D,3.75,3.4,2,3.5,3.4,1.91,3.5,3.3,1.95,2.9,3.2,2.2,3.5,3.2,1.91,3.5,3.2,2,3.6,3.25,1.95,3.75,3.5,1.91,3.6,3.2,1.95,3.1,3.25,2.1,31,4.08,3.57,3.51,3.28,2.2,1.98,24,2.2,2.03,1.81,1.73,12,0.5,1.91,1.86,2.05,1.99
T1,15/08/10,Fenerbahce,Antalyaspor,4,0,H,4,0,H,1.44,4.33,7,1.35,4.4,7.5,1.35,4.33,8,1.35,4.2,7.5,1.25,4.5,10,1.36,4,8.5,1.36,4.33,7.5,1.36,4.33,9,1.4,4,7.5,1.4,4.2,6.5,32,1.47,1.39,4.56,4.16,9,7.5,17,1.8,1.71,2.15,2.02,11,-1.25,2.11,2.04,1.93,1.83
T1,15/08/10,Karabukspor,Manisaspor,2,1,H,0,0,D,2.3,3.2,3.2,2.2,3.2,3,2.25,3.2,2.9,2.2,3.2,2.9,2.25,3.2,2.75,2.3,3.1,2.9,2.3,3.25,2.8,2.35,3.2,3,2.2,3.1,3.1,2.3,3.25,2.75,22,2.44,2.28,3.3,3.19,3.2,2.95,17,2.3,2.12,1.7,1.64,11,0,1.69,1.64,2.25,2.12
T1,16/08/10,Bursaspor,Konyaspor,1,0,H,1,0,H,1.33,5,9,1.37,4.33,7.25,1.33,4.5,8,1.4,4,6.5,1.29,4.33,8.5,1.3,4.5,9,1.33,4.5,8,1.36,4.5,8.5,1.36,4.33,7.5,1.36,4.33,7,30,1.4,1.35,5,4.37,9.25,7.93,16,1.79,1.72,2.1,2.01,10,-1.5,2.25,2.2,1.73,1.69
T1,16/08/10,Buyuksehyr,Kayserispor,0,2,A,0,0,D,2.1,3.3,3.5,2.1,3.2,3.2,2.1,3.2,3.2,2.1,3.2,3.1,2.1,3.2,3,2.15,3.1,3.2,2,3.2,3.5,2.15,3.2,3.4,2.05,3.2,3.3,2.1,3.25,3.1,27,2.26,2.12,3.48,3.21,3.57,3.25,20,2.13,2,1.85,1.76,8,-0.25,1.92,1.87,2.04,2
T1,20/08/10,Kayserispor,Karabukspor,1,0,H,1,0,H,1.83,3.4,4.5,1.75,3.4,4.25,1.8,3.3,4.1,1.65,3.5,4.5,1.73,3.2,4.33,1.67,3.6,4.5,1.8,3.3,4.33,1.73,3.5,4.5,1.8,3.2,4.4,1.8,3.4,4,32,2.02,1.82,3.5,3.37,4.7,4.16,25,2.14,2,1.9,1.76,13,0,1.4,1.32,3.5,3.11
